,data_type,input_data,output_message
34,valid,머신러닝 모델 평가하는 방법 알려줘,
35,valid,Accuracy 계산 어떻게 하지?,
36,valid,True Positive 가 뭐야?,
37,valid,True Negative 는 뭔지 궁금해 그럼,
38,valid,False Positive 알려줘,
39,valid,False Negative (FN),
40,valid,Recall 계산법 어떻게 하는 거지?,
41,valid,Recall 이 뭐야?,
42,valid,Precision 어떻게 계산하는지 정말 궁금해,
43,valid,Recall Precision 이거 헷갈리는데 잘 외우는 법 없을까?,
44,valid,F1 Score 가 뭐야?,
45,valid,F1 Score 계산식 알려줘,
46,valid,F1 Score 는 왜 쓰는 거지?,
47,valid,IoU 라는 게 있는데 뭔지 궁금해,
48,valid,특이도는 뭐야?,
49,valid,이진 분류에서는 어떤 성능평가 지표가 쓰이지?,
50,valid,"PR-AUC, ROC-AUC 가 뭐야?",
51,valid,PR-AUC 에 대해 아주 자세히 알려줘,
52,valid,ROC-AUC 는 뭔지 정말 궁금해,
53,valid,True Positive Rate 구하는 방법을 알려줘,
54,valid,False Positive Rate 가 뭔지 정말 궁금하다,
55,valid,Confusion Matrix (혼동 행렬) 이 뭐야?,
56,valid,Confusion Matrix 는 그럼 어떻게 만들어?,
57,valid,불량품 최소화해야 하면 불량이 Positive 일 때 Recall 이랑 Precision 중에 뭐가 더 좋지?,
58,valid,Normalization 정규화 그게 뭐야?,
59,valid,정규화가 뭐지? 정말 궁금해!,
