,img_no,img_path,gender_score,quality_score,age_score,glass_score
40,40,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000040.jpg,1.0,1.0,0.0,0.0
41,41,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000041.jpg,0.0,1.0,1.0,0.0
42,42,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000042.jpg,1.0,1.0,0.0,0.0
43,43,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000043.jpg,1.0,1.0,0.0,0.0
44,44,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000044.jpg,0.0,1.0,0.0,0.0
45,45,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000045.jpg,1.0,1.0,0.0,0.0
46,46,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000046.jpg,1.0,1.0,1.0,0.0
47,47,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000047.jpg,0.0,1.0,0.0,0.0
48,48,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000048.jpg,1.0,1.0,0.0,0.0
49,49,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000049.jpg,1.0,1.0,0.0,0.0
50,50,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000050.jpg,1.0,1.0,0.0,0.0
51,51,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000051.jpg,1.0,1.0,0.0,0.0
52,52,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000052.jpg,1.0,1.0,0.0,0.0
53,53,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000053.jpg,1.0,1.0,0.0,0.0
54,54,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000054.jpg,1.0,1.0,0.0,0.0
55,55,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000055.jpg,1.0,1.0,0.0,0.0
56,56,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000056.jpg,0.0,1.0,0.0,0.0
57,57,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000057.jpg,1.0,1.0,0.0,0.0
58,58,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000058.jpg,1.0,1.0,0.0,0.0
59,59,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000059.jpg,1.0,1.0,0.0,0.0
60,60,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000060.jpg,1.0,1.0,0.0,1.0
61,61,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000061.jpg,0.0,1.0,1.0,0.0
62,62,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000062.jpg,1.0,1.0,0.0,0.0
63,63,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000063.jpg,1.0,1.0,0.0,0.0
64,64,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000064.jpg,1.0,0.0,0.0,0.0
65,65,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000065.jpg,0.0,0.0,0.0,0.0
66,66,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000066.jpg,1.0,1.0,1.0,0.0
67,67,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000067.jpg,1.0,1.0,0.0,0.0
68,68,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000068.jpg,1.0,1.0,0.0,0.0
69,69,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000069.jpg,1.0,1.0,0.0,0.0
70,70,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000070.jpg,1.0,1.0,0.0,0.0
71,71,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000071.jpg,1.0,1.0,0.0,0.0
72,72,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000072.jpg,1.0,1.0,0.0,1.0
73,73,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000073.jpg,1.0,1.0,0.0,0.0
74,74,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000074.jpg,1.0,1.0,0.0,0.0
75,75,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000075.jpg,1.0,1.0,0.0,0.0
76,76,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000076.jpg,1.0,1.0,0.0,0.0
77,77,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000077.jpg,1.0,1.0,0.0,0.0
78,78,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000078.jpg,1.0,0.0,0.0,0.0
79,79,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000079.jpg,1.0,1.0,0.0,0.0
80,80,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000080.jpg,1.0,1.0,0.0,0.0
81,81,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000081.jpg,0.0,1.0,0.0,0.0
82,82,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000082.jpg,1.0,1.0,0.0,0.0
83,83,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000083.jpg,1.0,1.0,0.0,0.0
84,84,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000084.jpg,1.0,1.0,0.0,0.0
85,85,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000085.jpg,1.0,1.0,0.0,0.0
86,86,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000086.jpg,1.0,1.0,0.0,0.0
87,87,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000087.jpg,1.0,0.0,0.0,0.0
88,88,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000088.jpg,1.0,1.0,0.0,0.0
89,89,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000089.jpg,1.0,1.0,0.0,0.0
90,90,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000090.jpg,1.0,1.0,0.0,0.0
91,91,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000091.jpg,1.0,1.0,0.0,0.0
92,92,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000092.jpg,1.0,1.0,0.0,0.0
93,93,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000093.jpg,1.0,1.0,0.0,0.0
94,94,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000094.jpg,1.0,1.0,1.0,0.0
95,95,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000095.jpg,1.0,1.0,0.0,0.0
96,96,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000096.jpg,1.0,1.0,0.0,0.0
97,97,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000097.jpg,1.0,1.0,1.0,1.0
98,98,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000098.jpg,1.0,1.0,0.0,0.0
99,99,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000099.jpg,1.0,1.0,0.0,0.0
100,100,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000100.jpg,1.0,1.0,0.0,0.0
101,101,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000101.jpg,0.0,1.0,0.0,0.0
102,102,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000102.jpg,1.0,1.0,0.0,0.0
103,103,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000103.jpg,1.0,1.0,0.0,0.0
104,104,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000104.jpg,1.0,1.0,0.0,0.0
105,105,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000105.jpg,1.0,1.0,0.0,0.0
106,106,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000106.jpg,1.0,1.0,0.0,0.0
107,107,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000107.jpg,1.0,1.0,0.0,0.0
108,108,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000108.jpg,1.0,1.0,0.0,0.0
109,109,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000109.jpg,1.0,1.0,0.0,0.0
110,110,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000110.jpg,1.0,1.0,0.0,0.0
111,111,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000111.jpg,1.0,1.0,0.0,0.0
112,112,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000112.jpg,1.0,1.0,0.0,0.0
113,113,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000113.jpg,1.0,1.0,0.0,0.0
114,114,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000114.jpg,1.0,1.0,0.0,0.0
115,115,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000115.jpg,1.0,1.0,0.0,0.0
116,116,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000116.jpg,1.0,1.0,0.0,0.0
117,117,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000117.jpg,1.0,1.0,1.0,1.0
118,118,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000118.jpg,1.0,1.0,0.0,0.0
119,119,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000119.jpg,1.0,1.0,0.0,0.0
120,120,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000120.jpg,1.0,1.0,1.0,0.0
121,121,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000121.jpg,0.0,1.0,0.0,0.0
122,122,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000122.jpg,1.0,1.0,0.0,0.0
123,123,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000123.jpg,1.0,1.0,0.0,0.0
124,124,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000124.jpg,1.0,1.0,0.0,0.0
125,125,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000125.jpg,1.0,1.0,0.0,1.0
126,126,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000126.jpg,1.0,1.0,0.0,0.0
127,127,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000127.jpg,1.0,1.0,0.0,0.0
128,128,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000128.jpg,1.0,1.0,0.0,0.0
129,129,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000129.jpg,1.0,1.0,0.0,0.0
130,130,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000130.jpg,0.0,1.0,0.0,0.0
131,131,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000131.jpg,1.0,1.0,0.0,0.0
132,132,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000132.jpg,1.0,1.0,0.0,0.0
133,133,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000133.jpg,1.0,1.0,0.0,0.0
134,134,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000134.jpg,1.0,1.0,0.0,0.0
135,135,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000135.jpg,1.0,1.0,1.0,0.0
136,136,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000136.jpg,1.0,1.0,0.0,0.0
137,137,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000137.jpg,1.0,1.0,0.0,0.0
138,138,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000138.jpg,1.0,1.0,0.0,0.0
139,139,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000139.jpg,1.0,1.0,0.0,0.0
140,140,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000140.jpg,1.0,1.0,0.0,0.0
141,141,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000141.jpg,1.0,1.0,0.0,0.0
142,142,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000142.jpg,1.0,1.0,0.0,0.0
143,143,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000143.jpg,1.0,1.0,0.0,0.0
144,144,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000144.jpg,1.0,1.0,0.0,0.0
145,145,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000145.jpg,1.0,1.0,0.0,0.0
146,146,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000146.jpg,1.0,1.0,0.0,0.0
147,147,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000147.jpg,1.0,1.0,0.0,0.0
148,148,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000148.jpg,1.0,1.0,0.0,0.0
149,149,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000149.jpg,1.0,1.0,0.0,0.0
150,150,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000150.jpg,1.0,1.0,0.0,0.0
151,151,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000151.jpg,1.0,1.0,0.0,0.0
152,152,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000152.jpg,1.0,1.0,0.0,0.0
153,153,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000153.jpg,1.0,1.0,0.0,0.0
154,154,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000154.jpg,1.0,1.0,0.0,0.0
155,155,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000155.jpg,1.0,1.0,0.0,0.0
156,156,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000156.jpg,1.0,1.0,0.0,0.0
157,157,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000157.jpg,1.0,1.0,0.0,0.0
158,158,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000158.jpg,1.0,1.0,0.0,0.0
159,159,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000159.jpg,1.0,1.0,0.0,0.0
160,160,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000160.jpg,1.0,1.0,0.0,0.0
161,161,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000161.jpg,1.0,1.0,0.0,0.0
162,162,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000162.jpg,1.0,1.0,0.0,0.0
163,163,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000163.jpg,1.0,1.0,0.0,0.0
164,164,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000164.jpg,1.0,1.0,0.0,0.0
165,165,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000165.jpg,0.0,1.0,0.0,0.0
166,166,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000166.jpg,1.0,1.0,0.0,0.0
167,167,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000167.jpg,1.0,1.0,0.0,1.0
168,168,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000168.jpg,1.0,1.0,0.0,0.0
169,169,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000169.jpg,1.0,1.0,0.0,0.0
170,170,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000170.jpg,1.0,1.0,0.0,0.0
171,171,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000171.jpg,1.0,1.0,0.0,0.0
172,172,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000172.jpg,1.0,1.0,0.0,0.0
173,173,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000173.jpg,1.0,1.0,0.0,0.0
174,174,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000174.jpg,1.0,1.0,0.0,0.0
175,175,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000175.jpg,1.0,1.0,0.0,0.0
176,176,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000176.jpg,0.0,1.0,0.0,0.0
177,177,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000177.jpg,1.0,1.0,0.0,0.0
178,178,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000178.jpg,1.0,1.0,0.0,0.0
179,179,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000179.jpg,1.0,1.0,0.0,0.0
180,180,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000180.jpg,1.0,1.0,0.0,0.0
181,181,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000181.jpg,1.0,1.0,0.0,0.0
182,182,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/000182.jpg,1.0,1.0,0.0,0.0
