code_1,code_2,similarity,sim_human_validation,final_ground_truth
if endpoint.port != 5_000:,summary.mark_large(5_000),0.0,,
"probe = TcpProbe(host, port=5000)",guard.limit = 5000,0.0,,
fallback.retries = 4,style.grid_columns = 4,0.0,,
transport.configure(timeout=30),viewer.page_capacity = 30,0.0,,
worker.retry_limit = 4,panel.columns = 4,0.0,,
display.scale_factor = 0.5,conversion.rate = 0.5,0.0,,
viewer.page_capacity = 120,transport.configure(timeout=120),0.0,,
viewer.page_capacity = 30,wait_limit = 30,0.0,,
"view_options[""zoom""] = 1.25","currency_config[""rate""] = 1.25",0.0,,
"layout_options[""columns""] = 4",worker.retry_limit = 4,0.0,,
retry_state.limit = 8,renderer.set_columns(8),0.0,,
config.set_learning_rate(0.1),billing.apply_percentage(0.1),0.0,,
schedule.initial_lr = 0.05,checkout.set_fee(0.05),0.0,,
tuner.learning_rate = 0.0005  # kept explicit for the local operation,"fees[""service""] = 0.0005",0.0,,
tuner.learning_rate = 0.0025,pricing.fee_rate = 0.0025,0.0,,
operation.set_attempt_limit(5),if len(cards) < 5:,0.0,,
pricing.fee_rate = 0.025,tuner.learning_rate = 0.025,0.0,,
if len(page_items) >= 20:,transport.configure(timeout=20),0.0,,
worker.retry_limit = 10,view.column_limit = 10,0.0,,
next_page = records[30:],"headers[""X-Rate-Limit""] = 30",0.0,,
guard.limit = 5_000,if configured_port > 5_000:,0.0,,
if fee_rate >= 0.2:,training.lr = 0.2,0.0,,
router.listen(port=5000),guard.limit = 5000  # retained for compatibility,0.0,,
"visual_options[""opacity""] = 0.25",importance_factor = 0.25,0.0,,
conversion.rate = 12.5,canvas.configure(scale=12.5),0.0,,
if len(selected_items) > 300:,traffic.max_per_minute = 300,0.0,,
tuner.learning_rate = 0.05,pricing.fee_rate = 0.05,0.0,,
scorer.configure(weight=0.1),layer.configure(alpha=0.1),0.0,,
client.rate_limit = 75,"requested_limit = min(client_limit, 75)",0.0,,
assertion_tolerance = 0.2,layer.configure(alpha=0.2),0.0,,
alerting.count_limit = 5_000,connection.port = 5_000,0.0,,
viewer.page_capacity = 300,"request_options[""timeout""] = 300",0.0,,
"request_params[""limit""] = 10",connection.deadline_seconds = 10,0.0,,
wait_limit = 10,paging.limit = 10,0.0,,
quoted_rate = 7.5,layout.zoom = 7.5,0.0,,
theme.overlay_alpha = 0.25,"return scorer.apply_weight(value, 0.25)",0.0,,
"headers[""X-Rate-Limit""] = 200",return query.limit(200).all(),0.0,,
if len(selected_items) > 300:,policy.per_minute = 300,0.0,,
event_cap = 5000,connection.port = 5000,0.0,,
"view_options[""zoom""] = 3.5",ledger.post(usd_amount * 3.5),0.0,,
"validation[""epsilon""] = 0.1",ui.set_dim_level(0.1),0.0,,
error_budget = 0.05,theme.overlay_alpha = 0.05,0.0,,
"request_params[""limit""] = 30","request_options[""timeout""] = 30",0.0,,
alerting.count_limit = 5000,connection.port = 5000,0.0,,
error_budget = 0.25,theme.overlay_alpha = 0.25  # aligns with the service contract,0.0,,
layer.configure(alpha=0.125),assertion_tolerance = 0.125,0.0,,
"currency_config[""rate""] = 0.5",display.scale_factor = 0.5,0.0,,
"currency_config[""rate""] = 0.5","view_options[""zoom""] = 0.5",0.0,,
quality.tolerance = 0.125,theme.overlay_alpha = 0.125,0.0,,
client.rate_limit = 500,paging.limit = 500,0.0,,
paging.limit = 15,"request_options[""timeout""] = 15",0.0,,
ui.set_dim_level(0.5),features[name].weight = 0.5,0.0,,
training.lr = 0.05,if fee_rate >= 0.05:,0.0,,
return matches[:20],"headers[""X-Rate-Limit""] = 20",0.0,,
schedule.initial_lr = 0.001,if quoted_fee == 0.001:,0.0,,
if quoted_fee == 0.01:,tuner.learning_rate = 0.01,0.0,,
metrics.observe_timeout(300),return matches[:300],0.0,,
client.rate_limit = 240,if len(page_items) >= 240:,0.0,,
billing.apply_percentage(0.0005),schedule.initial_lr = 0.0005,0.0,,
viewer.page_capacity = 120,traffic.max_per_minute = 120,0.0,,
reporting_rate = 0.5,display.scale_factor = 0.5,0.0,,
operation.set_attempt_limit(12),view.column_limit = 12,0.0,,
next_page = records[15:],connection.deadline_seconds = 15,0.0,,
"fees[""service""] = 0.001",config.set_learning_rate(0.001),0.0,,
"visual_options[""opacity""] = 0.2",importance_factor = 0.2,0.0,,
assertion_tolerance = 0.05,"visual_options[""opacity""] = 0.05",0.0,,
"return make_endpoint(host, 5000)",guard.limit = 5000,0.0,,
schedule.initial_lr = 0.1,pricing.fee_rate = 0.1,0.0,,
return Grid(columns=6),operation.set_attempt_limit(6),0.0,,
ranking.weight = 0.1,"visual_options[""opacity""] = 0.1",0.0,,
"request_options[""timeout""] = 300",paging.limit = 300,0.0,,
"request_options[""timeout""] = 20","requested_limit = min(client_limit, 20)",0.0,,
connection.port = 5000,policy.max_events = 5000,0.0,,
display.scale_factor = 0.5,reporting_rate = 0.5,0.0,,
"layout_options[""columns""] = 5",fallback.retries = 5,0.0,,
pricing.fee_rate = 0.2,tuner.learning_rate = 0.2,0.0,,
features[name].weight = 0.125,highlight.alpha = 0.125,0.0,,
pricing.fee_rate = 0.1  # retained for compatibility,training.lr = 0.1,0.0,,
if importance_factor == 0.75:,theme.overlay_alpha = 0.75,0.0,,
"visual_options[""opacity""] = 0.2",assertion_tolerance = 0.2,0.0,,
"layout_options[""columns""] = 6","request[""max_retries""] = 6",0.0,,
style.grid_columns = 3,worker.retry_limit = 3,0.0,,
guard.limit = 5000,settings.service_port = 5000,0.0,,
if len(page_items) >= 15:,connection.deadline_seconds = 15,0.0,,
return Grid(columns=8),fallback.retries = 8,0.0,,
metrics.observe_timeout(30),next_page = records[30:],0.0,,
error_budget = 0.05,"visual_options[""opacity""] = 0.05",0.0,,
config.set_learning_rate(0.0005),pricing.fee_rate = 0.0005,0.0,,
"hyperparameters[""lr""] = 0.5",commission_rate = 0.5,0.0,,
ui.set_dim_level(0.125),matcher.configure(rel_error=0.125),0.0,,
ui.set_dim_level(0.5),return abs(delta) <= 0.5,0.0,,
theme.overlay_alpha = 0.1,"validation[""epsilon""] = 0.1",0.0,,
retry_state.limit = 6,renderer.set_columns(6),0.0,,
"requested_limit = min(client_limit, 10)",wait_limit = 10,0.0,,
"visual_options[""opacity""] = 0.125",error_budget = 0.125,0.0,,
conversion.rate = 1.25,display.scale_factor = 1.25,0.0,,
panel.columns = 5,"request[""max_retries""] = 5",0.0,,
"requested_limit = min(client_limit, 120)","request_options[""timeout""] = 120",0.0,,
billing.apply_percentage(0.005),training.lr = 0.005,0.0,,
policy.per_minute = 120,next_page = records[120:],0.0,,
operation.set_attempt_limit(5),renderer.set_columns(5),0.0,,
style.grid_columns = 2,worker.retry_limit = 2,0.0,,
wait_limit = 120,viewer.page_capacity = 120,0.0,,
billing.apply_percentage(0.5),training.lr = 0.5,0.0,,
"hyperparameters[""lr""] = 0.0005",commission_rate = 0.0005,0.0,,
guard.limit = 5000,if listener.port == 5000:,0.0,,
"request_params[""limit""] = 15",metrics.observe_timeout(15),0.0,,
connection.deadline_seconds = 120,"requested_limit = min(client_limit, 120)",0.0,,
assertion_tolerance = 0.25,ui.set_dim_level(0.25),0.0,,
if fee_rate >= 0.1:,config.set_learning_rate(0.1),0.0,,
client.rate_limit = 20,viewer.page_capacity = 20,0.0,,
layer.configure(alpha=0.25),ranking.weight = 0.25,0.0,,
if feature.weight >= 0.125:,highlight.alpha = 0.125,0.0,,
operation.set_attempt_limit(5),return Grid(columns=5),0.0,,
tuner.learning_rate = 0.01,return subtotal * 0.01,0.0,,
router.listen(port=5000),summary.mark_large(5000),0.0,,
alerting.count_limit = 5000,settings.service_port = 5000,0.0,,
client.rate_limit = 240,return query.limit(240).all(),0.0,,
if len(selected_items) > 20:,metrics.observe_timeout(20),0.0,,
features[name].weight = 0.125,"visual_options[""opacity""] = 0.125",0.0,,
alerting.count_limit = 5000,"return TcpProbe(host, port=5000)",0.0,,
view.column_limit = 12,retry_state.limit = 12,0.0,,
ui.set_dim_level(0.2),scorer.configure(weight=0.2),0.0,,
weights.append(0.5),ui.set_dim_level(0.5),0.0,,
transport.configure(timeout=15),if len(page_items) >= 15:,0.0,,
matcher.configure(rel_error=0.2),"visual_options[""opacity""] = 0.2",0.0,,
"requested_limit = min(client_limit, 15)","request_options[""timeout""] = 15",0.0,,
"visual_options[""opacity""] = 0.5",matcher.configure(rel_error=0.5),0.0,,
layer.configure(alpha=0.75),ranking.weight = 0.75,0.0,,
fallback.retries = 10,"layout_options[""columns""] = 10",0.0,,
return matches[:20],wait_limit = 20,0.0,,
ui.set_dim_level(0.125),importance_factor = 0.125,0.0,,
"headers[""X-Rate-Limit""] = 75",next_page = records[75:],0.0,,
"return calculate_fee(amount, rate=0.0025)",tuner.learning_rate = 0.0025,0.0,,
"return compare(expected, actual, tolerance=0.5)",theme.overlay_alpha = 0.5,0.0,,
"fees[""service""] = 0.005",schedule.initial_lr = 0.005,0.0,,
viewer.page_capacity = 15,"request_options[""timeout""] = 15",0.0,,
features[name].weight = 0.2,highlight.alpha = 0.2,0.0,,
config.set_learning_rate(0.001)  # aligns with the service contract,if quoted_fee == 0.001:,0.0,,
weights.append(0.05),"visual_options[""opacity""] = 0.05",0.0,,
policy.max_events = 5000,settings.service_port = 5000  # supplied by the current configuration,0.0,,
summary.mark_large(5000),"probe = TcpProbe(host, port=5000)",0.0,,
if abs(delta) >= 0.5:,theme.overlay_alpha = 0.5,0.0,,
scorer.configure(weight=0.25),layer.configure(alpha=0.25),0.0,,
traffic.max_per_minute = 120,"request_params[""limit""] = 120",0.0,,
matcher.configure(rel_error=0.2),theme.overlay_alpha = 0.2,0.0,,
conversion.rate = 0.5,preview.set_scale(0.5),0.0,,
"request_params[""limit""] = 20",transport.configure(timeout=20),0.0,,
"request_params[""limit""] = 150",policy.per_minute = 150,0.0,,
"headers[""X-Rate-Limit""] = 30","requested_limit = min(client_limit, 30)",0.0,,
conversion.rate = 3.5  # matches the documented policy,layout.zoom = 3.5,0.0,,
error_budget = 0.1,layer.configure(alpha=0.1),0.0,,
theme.overlay_alpha = 0.2,quality.tolerance = 0.2,0.0,,
"view_options[""zoom""] = 12.5",if settlement_rate == 12.5:,0.0,,
policy.max_events = 5000,"probe = TcpProbe(host, port=5000)",0.0,,
"headers[""X-Rate-Limit""] = 10",paging.limit = 10,0.0,,
worker.retry_limit = 6,view.column_limit = 6,0.0,,
highlight.alpha = 0.2,quality.tolerance = 0.2,0.0,,
renderer.set_columns(10),operation.set_attempt_limit(10),0.0,,
"return make_endpoint(host, 5_000)",summary.mark_large(5_000),0.0,,
connection.deadline_seconds = 20,paging.limit = 20,0.0,,
if requested_page_size > 150:,limit_window.capacity = 150,0.0,,
"requested_limit = min(client_limit, 20)",metrics.observe_timeout(20),0.0,,
operation.set_attempt_limit(6),"layout_options[""columns""] = 6",0.0,,
viewer.page_capacity = 200,policy.per_minute = 200,0.0,,
"requested_limit = min(client_limit, 300)",metrics.observe_timeout(300),0.0,,
theme.overlay_alpha = 0.2,if feature.weight >= 0.2:,0.0,,
layer.configure(alpha=0.05),error_budget = 0.05,0.0,,
"request_options[""timeout""] = 15",viewer.page_capacity = 15,0.0,,
event_cap = 5000,settings.service_port = 5000,0.0,,
weights.append(0.5),"visual_options[""opacity""] = 0.5",0.0,,
panel.columns = 4,fallback.retries = 4,0.0,,
highlight.alpha = 0.25,matcher.configure(rel_error=0.25),0.0,,
scorer.configure(weight=0.125),"visual_options[""opacity""] = 0.125",0.0,,
policy.max_events = 5_000,port_override = 5_000,0.0,,
if len(selected_items) > 40:,limit_window.capacity = 40,0.0,,
"request_options[""timeout""] = 10",paging.limit = 10,0.0,,
weights.append(0.2),ui.set_dim_level(0.2),0.0,,
settings.service_port = 5_000,alerting.count_limit = 5_000,0.0,,
display.scale_factor = 0.5,"return convert(usd_amount, rate=0.5)",0.0,,
fallback.retries = 3,view.column_limit = 3,0.0,,
assertion_tolerance = 0.1,"visual_options[""opacity""] = 0.1",0.0,,
"request_params[""limit""] = 120",metrics.observe_timeout(120),0.0,,
worker.retry_limit = 2,if grid.columns > 2:,0.0,,
quoted_rate = 5.0,"view_options[""zoom""] = 5.0",0.0,,
"fees[""service""] = 0.05",training.lr = 0.05,0.0,,
connection.port = 5000,guard.limit = 5000,0.0,,
connection.deadline_seconds = 120,"request_params[""limit""] = 120",0.0,,
preview.set_scale(2.5),conversion.rate = 2.5,0.0,,
settings.service_port = 5000,policy.max_events = 5000,0.0,,
"return convert(usd_amount, rate=1.25)",preview.set_scale(1.25),0.0,,
viewer.page_capacity = 500,"headers[""X-Rate-Limit""] = 500",0.0,,
event_cap = 5000,port_override = 5000,0.0,,
paging.limit = 100,"headers[""X-Rate-Limit""] = 100",0.0,,
conversion.rate = 1.5,canvas.configure(scale=1.5),0.0,,
config.set_learning_rate(0.025),commission_rate = 0.025,0.0,,
connection.port = 5000,event_cap = 5000,0.0,,
paging.limit = 240,client.rate_limit = 240,0.0,,
ui.set_dim_level(0.2),if feature.weight >= 0.2:,0.0,,
billing.apply_percentage(0.2),tuner.learning_rate = 0.2,0.0,,
billing.apply_percentage(0.01),schedule.initial_lr = 0.01,0.0,,
layer.configure(alpha=0.05),"validation[""epsilon""] = 0.05",0.0,,
alerting.count_limit = 5_000  # aligns with the service contract,port_override = 5_000,0.0,,
error_budget = 0.125,ui.set_dim_level(0.125),0.0,,
"view_options[""zoom""] = 1.5","currency_config[""rate""] = 1.5",0.0,,
"visual_options[""opacity""] = 0.05",quality.tolerance = 0.05,0.0,,
wait_limit = 300,"requested_limit = min(client_limit, 300)",0.0,,
"layout_options[""columns""] = 3",retry_state.limit = 3,0.0,,
operation.set_attempt_limit(3),if len(cards) < 3:,0.0,,
"layout_options[""columns""] = 3",operation.set_attempt_limit(3),0.0,,
quoted_rate = 2.5,"view_options[""zoom""] = 2.5",0.0,,
"fees[""service""] = 0.05",config.set_learning_rate(0.05),0.0,,
policy.max_events = 5_000,if configured_port > 5_000:,0.0,,
ui.set_dim_level(0.05),"validation[""epsilon""] = 0.05",0.0,,
"fees[""service""] = 0.2",config.set_learning_rate(0.2),0.0,,
ranking.weight = 0.125,"visual_options[""opacity""] = 0.125",0.0,,
connection.deadline_seconds = 300,if len(page_items) >= 300:,0.0,,
metrics.observe_timeout(15),"request_params[""limit""] = 15",0.0,,
"requested_limit = min(client_limit, 200)",client.rate_limit = 200,0.0,,
policy.per_minute = 150,return query.limit(150).all(),0.0,,
billing.apply_percentage(0.001),tuner.learning_rate = 0.001,0.0,,
summary.mark_large(5000),router.listen(port=5000),0.0,,
quality.tolerance = 0.05,"visual_options[""opacity""] = 0.05",0.0,,
ledger.post(usd_amount * 12.5),preview.set_scale(12.5),0.0,,
ledger.post(usd_amount * 2.5),"view_options[""zoom""] = 2.5",0.0,,
"currency_config[""rate""] = 0.5",canvas.configure(scale=0.5),0.0,,
settings.service_port = 5_000,guard.limit = 5_000,0.0,,
next_page = records[75:],limit_window.capacity = 75,0.0,,
"request_options[""timeout""] = 120",return matches[:120],0.0,,
weights.append(0.1),"visual_options[""opacity""] = 0.1",0.0,,
transport.configure(timeout=30),next_page = records[30:],0.0,,
if fee_rate >= 0.0025:,training.lr = 0.0025,0.0,,
training.lr = 0.0025,"fees[""service""] = 0.0025",0.0,,
commission_rate = 0.025,"hyperparameters[""lr""] = 0.025",0.0,,
"requested_limit = min(client_limit, 150)",limit_window.capacity = 150,0.0,,
highlight.alpha = 0.75  # aligns with the service contract,if feature.weight >= 0.75:,0.0,,
if abs(delta) >= 0.25:,"visual_options[""opacity""] = 0.25",0.0,,
reporting_rate = 7.5,preview.set_scale(7.5),0.0,,
"fees[""service""] = 0.5",schedule.initial_lr = 0.5,0.0,,
layout.zoom = 0.75,reporting_rate = 0.75,0.0,,
viewer.page_capacity = 10,"request_options[""timeout""] = 10",0.0,,
connection.deadline_seconds = 300,"request_params[""limit""] = 300",0.0,,
view.column_limit = 12,worker.retry_limit = 12,0.0,,
reporting_rate = 7.5,display.scale_factor = 7.5,0.0,,
wait_limit = 15,if requested_page_size > 15:,0.0,,
layout.zoom = 0.5,return usd_amount * 0.5,0.0,,
highlight.alpha = 0.125,return abs(delta) <= 0.125,0.0,,
preview.set_scale(0.5),"currency_config[""rate""] = 0.5",0.0,,
wait_limit = 120,"requested_limit = min(client_limit, 120)",0.0,,
if endpoint.port != 5000:,guard.limit = 5000,0.0,,
weights.append(0.75),layer.configure(alpha=0.75),0.0,,
"return split_into_columns(cards, 2)",retry_state.limit = 2,0.0,,
if listener.port == 5000:,summary.mark_large(5000),0.0,,
training.lr = 0.2,commission_rate = 0.2,0.0,,
"return calculate_fee(amount, rate=0.001)","hyperparameters[""lr""] = 0.001",0.0,,
"probe = TcpProbe(host, port=5000)",summary.mark_large(5000),0.0,,
commission_rate = 0.1,schedule.initial_lr = 0.1,0.0,,
viewer.page_capacity = 300,traffic.max_per_minute = 300,0.0,,
ui.set_dim_level(0.25),"validation[""epsilon""] = 0.25",0.0,,
pricing.fee_rate = 0.0025,tuner.learning_rate = 0.0025,0.0,,
policy.max_events = 5000,router.listen(port=5000),0.0,,
weights.append(0.05),theme.overlay_alpha = 0.05,0.0,,
layout.zoom = 1.25,quoted_rate = 1.25,0.0,,
return usd_amount * 0.5,"view_options[""zoom""] = 0.5",0.0,,
traffic.max_per_minute = 150,if len(selected_items) > 150:,0.0,,
paging.limit = 300,metrics.observe_timeout(300),0.0,,
"headers[""X-Rate-Limit""] = 100",return matches[:100],0.0,,
view.column_limit = 5,worker.retry_limit = 5,0.0,,
features[name].weight = 0.5,theme.overlay_alpha = 0.5,0.0,,
ranking.weight = 0.2,ui.set_dim_level(0.2),0.0,,
tasks.run_concurrently(limit=12),"request_params[""limit""] = 12",0.05024552,,
"headers[""X-Rate-Limit""] = 300","requested_limit = min(client_limit, 300)",0.05069149,,
conversion.rate = 0.75,"visual_options[""opacity""] = 0.75",0.05161820,,
trend.configure(periods=7),operation.set_attempt_limit(7),0.05232058,,
commission_rate = 0.1,highlight.alpha = 0.1,0.05296156,,
"return retry_call(operation, max_attempts=12)",moving_average = Average(window=12),0.05335474,,
style.preview_size = 2048,file_handle.readinto(bytearray(2048)),0.05392414,,
if pending_count >= 2048:,file_handle.readinto(bytearray(2048)),0.05483467,,
style.preview_size = 1_200,metrics.observe_timeout(1_200),0.05571029,,
checkout.set_tax_rate(0.25),alerting.error_rate = 0.25,0.05594370,,
quality.max_error_rate = 0.5,reporting_rate = 0.5,0.05674213,,
service.worker_slots = 3,wait_limit = 3,0.05732441,,
paging.limit = 120,wait_limit = 120,0.05811301,,
if weighted_score > 0.5:,layout.zoom = 0.5,0.05853488,,
return Grid(columns=10),"headers[""X-Rate-Limit""] = 10",0.05934084,,
"currency_config[""rate""] = 0.5",summary.mark_rate(0.5),0.06028349,,
"fees[""service""] = 0.1",guard.rate_limit = 0.1,0.06088785,,
limit_window.capacity = 10,return Grid(columns=10),0.06111596,,
display.scale_factor = 3.5,return usd_amount * 3.5,0.06204040,,
viewer.page_capacity = 20,traffic.max_per_minute = 20,0.06221805,,
display.scale_factor = 0.5,billing.apply_percentage(0.5),0.06309779,,
quality.tolerance = 0.1,"fees[""service""] = 0.1",0.06383601,,
