img_no,img_path,property_age_final_score,score_model_0,score_model_1,score_model_2,score_model_3,score_model_4
2012,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002012.jpg,0.0249,0.0502,0.0265,0.0243,0.005,0.0187
2013,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002013.jpg,0.2122,0.065,0.0274,0.2521,0.5673,0.1491
2014,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002014.jpg,0.0094,0.0174,0.013,0.0029,0.001,0.0126
2015,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002015.jpg,0.2323,0.1294,0.1206,0.5269,0.0245,0.3604
2016,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002016.jpg,0.0065,0.0064,0.0143,0.0069,0.0018,0.0029
2017,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002017.jpg,0.0115,0.02,0.0186,0.0072,0.0076,0.0042
2018,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002018.jpg,0.0264,0.0649,0.0275,0.019,0.0127,0.0079
2019,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002019.jpg,0.007,0.0129,0.0183,0.0017,0.0002,0.0021
2020,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002020.jpg,0.0057,0.0036,0.0194,0.0039,0.0001,0.0014
2021,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002021.jpg,0.0111,0.0288,0.0155,0.0045,0.0042,0.0028
2022,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002022.jpg,0.0076,0.0168,0.0021,0.009,0.0027,0.0071
2023,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002023.jpg,0.0009,0.0011,0.0005,0.001,0.0002,0.0019
2024,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002024.jpg,0.0008,0.0014,0.0015,0.0004,0.0002,0.0005
2025,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002025.jpg,0.0064,0.0105,0.0064,0.0028,0.0091,0.0034
2026,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002026.jpg,0.1086,0.2421,0.1707,0.0324,0.012,0.086
2027,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002027.jpg,0.0163,0.0444,0.0036,0.0164,0.0049,0.012
2028,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002028.jpg,0.0022,0.0034,0.0025,0.0025,0.0013,0.0016
2029,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002029.jpg,0.0428,0.0512,0.0701,0.0495,0.0315,0.0117
2030,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002030.jpg,0.0675,0.056,0.0255,0.1787,0.0466,0.0304
2031,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002031.jpg,0.0012,0.0009,0.0017,0.0026,0.0001,0.0007
2032,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002032.jpg,0.011,0.0246,0.0061,0.0063,0.0078,0.01
2033,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002033.jpg,0.546,0.7464,0.5874,0.605,0.5973,0.1941
2034,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002034.jpg,0.0021,0.0026,0.004,0.0028,0.0004,0.0008
2035,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002035.jpg,0.0163,0.0464,0.0113,0.0113,0.0038,0.0088
2036,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002036.jpg,0.0085,0.0139,0.013,0.0023,0.0018,0.0115
2037,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002037.jpg,0.1279,0.2283,0.0203,0.0804,0.1167,0.1938
2038,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002038.jpg,0.0064,0.0125,0.0039,0.0062,0.0014,0.0082
2039,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002039.jpg,0.0024,0.0056,0.0017,0.0011,0.0023,0.0013
2040,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002040.jpg,0.0079,0.0141,0.0062,0.0081,0.0047,0.0063
2041,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002041.jpg,0.0038,0.0014,0.0045,0.0087,0.0004,0.0038
2042,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002042.jpg,0.1103,0.166,0.1453,0.0852,0.1381,0.017
2043,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002043.jpg,0.0105,0.0174,0.0093,0.0131,0.0051,0.0076
2044,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002044.jpg,0.3439,0.2661,0.3138,0.3248,0.3737,0.4411
2045,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002045.jpg,0.0045,0.005,0.0042,0.0062,0.0009,0.0063
2046,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002046.jpg,0.0153,0.0382,0.0086,0.0068,0.0089,0.0141
2047,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002047.jpg,0.0011,0.0017,0.0015,0.0008,0.0005,0.001
2048,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002048.jpg,0.0026,0.0064,0.0034,0.0017,0.0004,0.0009
2049,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002049.jpg,0.0312,0.0071,0.107,0.0344,0.0001,0.0075
2050,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002050.jpg,0.0759,0.2221,0.0438,0.0309,0.0059,0.077
2051,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002051.jpg,0.0009,0.0016,0.0007,0.001,0.0004,0.0008
2052,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002052.jpg,0.0076,0.0099,0.0209,0.0034,0.001,0.0026
2053,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002053.jpg,0.0166,0.0278,0.0042,0.0119,0.0131,0.0263
2054,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002054.jpg,0.0049,0.0052,0.0022,0.0047,0.0022,0.0104
2055,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002055.jpg,0.0034,0.0043,0.0048,0.0007,0.0003,0.0068
2056,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002056.jpg,0.0017,0.0025,0.0025,0.0016,0.0001,0.0019
2057,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002057.jpg,0.0215,0.0478,0.0248,0.0074,0.0234,0.004
2058,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002058.jpg,0.9044,0.9692,0.9046,0.96,0.996,0.6923
2059,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002059.jpg,0.1537,0.3107,0.1824,0.1879,0.0212,0.0664
2060,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002060.jpg,0.0028,0.0092,0.0015,0.0021,0.0006,0.0008
2061,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002061.jpg,0.0065,0.011,0.0025,0.0084,0.0015,0.0093
2062,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002062.jpg,0.0036,0.006,0.0064,0.002,0.0008,0.0028
2063,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002063.jpg,0.0017,0.0025,0.0023,0.0008,0.0003,0.0023
2064,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002064.jpg,0.0124,0.017,0.0121,0.0053,0.0049,0.0226
2065,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002065.jpg,0.0007,0.0006,0.002,0.0005,0.0001,0.0002
2066,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002066.jpg,0.0011,0.0017,0.0017,0.0004,0.0004,0.0012
2067,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002067.jpg,0.0037,0.0063,0.0073,0.0033,0.0002,0.0012
2068,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002068.jpg,0.0032,0.0094,0.0023,0.0014,0.0011,0.0016
2069,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002069.jpg,0.0029,0.0051,0.0047,0.003,0.001,0.0007
2070,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002070.jpg,0.0005,0.0004,0.0014,0.0002,0.0001,0.0002
2071,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002071.jpg,0.4334,0.2351,0.5993,0.5143,0.4476,0.3707
2072,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002072.jpg,0.0007,0.0011,0.0014,0.0004,0.0,0.0004
2073,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002073.jpg,0.0879,0.0926,0.038,0.0532,0.014,0.2417
2074,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002074.jpg,0.0105,0.0227,0.0149,0.004,0.0079,0.003
2075,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002075.jpg,0.004,0.0076,0.0085,0.0021,0.0005,0.0011
2076,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002076.jpg,0.0006,0.0004,0.0018,0.0003,0.0001,0.0001
2077,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002077.jpg,0.0405,0.143,0.0185,0.0174,0.0038,0.0197
2078,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002078.jpg,0.0049,0.0104,0.0062,0.0032,0.0016,0.0031
2079,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002079.jpg,0.0069,0.0146,0.0132,0.0034,0.0011,0.0021
2080,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002080.jpg,0.0135,0.0089,0.0317,0.02,0.0014,0.0053
2081,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002081.jpg,0.0048,0.0127,0.0051,0.0023,0.0006,0.0033
2082,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002082.jpg,0.0012,0.0017,0.0027,0.0007,0.0001,0.0009
2083,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002083.jpg,0.0219,0.0264,0.0333,0.0427,0.0033,0.0039
2084,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002084.jpg,0.0231,0.0174,0.0479,0.0174,0.0265,0.0062
2085,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002085.jpg,0.0089,0.0142,0.0168,0.0089,0.0031,0.0016
2086,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002086.jpg,0.0043,0.0099,0.0062,0.003,0.0012,0.0013
2087,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002087.jpg,0.1217,0.2418,0.0894,0.2002,0.0249,0.0522
2088,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002088.jpg,0.0111,0.0151,0.0086,0.004,0.0239,0.0039
2089,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002089.jpg,0.0012,0.001,0.0039,0.0006,0.0001,0.0002
2090,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002090.jpg,0.0238,0.019,0.0581,0.0075,0.0061,0.0282
2091,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002091.jpg,0.2488,0.2303,0.4611,0.4384,0.0229,0.0911
2092,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002092.jpg,0.0015,0.0024,0.0025,0.0002,0.0001,0.0023
2093,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002093.jpg,0.0862,0.1818,0.0221,0.0671,0.056,0.1038
2094,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002094.jpg,0.0061,0.0096,0.0041,0.0052,0.005,0.0065
2095,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002095.jpg,0.0012,0.0022,0.0016,0.001,0.0001,0.0011
2096,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002096.jpg,0.0068,0.0061,0.0141,0.0022,0.0005,0.011
2097,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002097.jpg,0.0028,0.0083,0.0016,0.001,0.0005,0.0027
2098,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002098.jpg,0.0004,0.0006,0.0005,0.0003,0.0,0.0008
2099,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002099.jpg,0.0904,0.2775,0.0417,0.0511,0.0045,0.0775
2100,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002100.jpg,0.0289,0.0327,0.0063,0.0039,0.0863,0.015
2101,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002101.jpg,0.0036,0.0058,0.0058,0.0044,0.0002,0.0017
2102,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002102.jpg,0.2044,0.4538,0.1308,0.1863,0.0068,0.2443
2103,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002103.jpg,0.0465,0.1462,0.0102,0.0288,0.0114,0.0359
2104,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002104.jpg,0.0281,0.0058,0.06,0.0527,0.0008,0.021
2105,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002105.jpg,0.14,0.0501,0.0274,0.2967,0.0019,0.3237
2106,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002106.jpg,0.0,0.0001,0.0001,0.0,0.0,0.0
2107,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002107.jpg,0.001,0.0008,0.0023,0.001,0.0,0.0007
2108,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002108.jpg,0.0079,0.0098,0.0121,0.0137,0.0009,0.0031
2109,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002109.jpg,0.2286,0.4982,0.1868,0.2217,0.1635,0.073
2110,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002110.jpg,0.0005,0.0014,0.0006,0.0001,0.0,0.0002
2111,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002111.jpg,0.0022,0.0014,0.0064,0.0023,0.0002,0.0005
2112,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002112.jpg,0.0067,0.022,0.007,0.0015,0.0008,0.0022
2113,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002113.jpg,0.0058,0.0114,0.0058,0.0057,0.0052,0.001
2114,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002114.jpg,0.0006,0.0014,0.0008,0.0004,0.0001,0.0004
2115,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002115.jpg,0.0195,0.0111,0.0328,0.0332,0.0172,0.003
2116,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002116.jpg,0.0113,0.0296,0.0091,0.0055,0.0003,0.0122
2117,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002117.jpg,0.0325,0.0374,0.0252,0.0208,0.0452,0.0339
2118,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002118.jpg,0.0018,0.0018,0.0018,0.0022,0.0002,0.003
2119,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002119.jpg,0.0013,0.0023,0.0027,0.0006,0.0003,0.0006
2120,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002120.jpg,0.0026,0.0073,0.0016,0.001,0.0014,0.0016
2121,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002121.jpg,0.0081,0.0051,0.0068,0.0009,0.0151,0.013
2122,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002122.jpg,0.0784,0.0972,0.1076,0.1293,0.0121,0.0458
2123,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002123.jpg,0.0407,0.0661,0.0096,0.0044,0.0761,0.047
2124,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002124.jpg,0.0102,0.0231,0.0044,0.0069,0.0005,0.016
2125,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002125.jpg,0.0018,0.0027,0.0037,0.0006,0.0006,0.0014
2126,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002126.jpg,0.0007,0.0012,0.0019,0.0002,0.0,0.0002
2127,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002127.jpg,0.1209,0.1395,0.2849,0.1401,0.0065,0.0333
2128,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002128.jpg,0.2889,0.3905,0.3521,0.2413,0.4077,0.053
2129,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002129.jpg,0.001,0.0008,0.0016,0.0016,0.0002,0.0005
2130,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002130.jpg,0.8757,0.9732,0.7846,0.8736,0.9929,0.754
2131,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002131.jpg,0.0036,0.0087,0.0033,0.0021,0.0018,0.002
2132,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002132.jpg,0.0015,0.0022,0.0025,0.0007,0.0013,0.0008
2133,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002133.jpg,0.004,0.0066,0.0009,0.008,0.0026,0.0017
2134,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002134.jpg,0.0036,0.0083,0.0022,0.0021,0.0032,0.0021
2135,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002135.jpg,0.0206,0.0153,0.0319,0.0279,0.02,0.008
2136,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002136.jpg,0.0249,0.0389,0.0712,0.004,0.0094,0.001
2137,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002137.jpg,0.0012,0.0025,0.0007,0.0012,0.0013,0.0006
2138,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002138.jpg,0.0247,0.0242,0.0636,0.0101,0.0115,0.014
2139,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002139.jpg,0.6561,0.7841,0.5587,0.4092,0.9682,0.5602
2140,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002140.jpg,0.0149,0.0122,0.0493,0.0086,0.0005,0.0039
2141,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002141.jpg,0.0019,0.0026,0.0017,0.0018,0.0001,0.0034
2142,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002142.jpg,0.0298,0.0397,0.011,0.0131,0.017,0.0682
2143,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002143.jpg,0.3602,0.36,0.5614,0.2238,0.5656,0.0898
2144,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002144.jpg,0.003,0.0051,0.0012,0.0029,0.0008,0.0048
2145,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002145.jpg,0.0151,0.0184,0.0335,0.0061,0.0067,0.0107
2146,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002146.jpg,0.0394,0.0565,0.029,0.0557,0.0222,0.0337
2147,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002147.jpg,0.0064,0.0084,0.0139,0.0061,0.0009,0.0026
2148,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002148.jpg,0.0299,0.0299,0.0055,0.0051,0.0704,0.0383
2149,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002149.jpg,0.001,0.0012,0.0016,0.0013,0.0001,0.001
2150,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002150.jpg,0.9256,0.9816,0.8002,0.9341,0.9985,0.9135
2151,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002151.jpg,0.0072,0.0102,0.0184,0.0031,0.0012,0.0034
2152,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002152.jpg,0.0017,0.0033,0.0025,0.0011,0.0007,0.0007
2153,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002153.jpg,0.0028,0.0073,0.0041,0.0016,0.0005,0.0006
2154,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002154.jpg,0.002,0.0016,0.0022,0.0014,0.0017,0.0031
2155,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002155.jpg,0.0124,0.0202,0.0281,0.0069,0.0043,0.0025
2156,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002156.jpg,0.2026,0.3702,0.2957,0.0405,0.0151,0.2914
