img_no,img_path,property_gender_final_score,score_model_0,score_model_1,score_model_2,score_model_3,score_model_4
2040,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002040.jpg,0.9996,0.9993,0.9998,0.9992,1.0,0.9995
2041,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002041.jpg,0.9998,0.9998,0.9999,0.9997,1.0,0.9997
2042,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002042.jpg,0.1816,0.1134,0.1184,0.3414,0.135,0.1995
2043,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002043.jpg,0.9998,0.9996,0.9999,0.9997,0.9999,0.9996
2044,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002044.jpg,0.9841,0.9826,0.9864,0.9891,0.9674,0.9951
2045,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002045.jpg,1.0,1.0,1.0,0.9999,1.0,1.0
2046,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002046.jpg,0.9998,0.9998,0.9998,0.9996,0.9999,0.9998
2047,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002047.jpg,0.9999,0.9999,0.9999,0.9998,1.0,0.9999
2048,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002048.jpg,1.0,0.9999,1.0,0.9999,1.0,1.0
2049,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002049.jpg,0.0072,0.0106,0.0103,0.0083,0.0007,0.0062
2050,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002050.jpg,1.0,0.9999,1.0,0.9999,1.0,1.0
2051,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002051.jpg,1.0,0.9999,1.0,0.9999,1.0,0.9999
2052,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002052.jpg,0.0034,0.0052,0.0019,0.0076,0.0007,0.0016
2053,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002053.jpg,0.9998,0.9998,0.9999,0.9997,1.0,0.9998
2054,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002054.jpg,0.9968,0.9963,0.9975,0.998,0.998,0.9944
2055,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002055.jpg,0.9998,0.9998,0.9998,0.9996,1.0,0.9999
2056,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002056.jpg,0.9999,0.9998,0.9999,0.9998,1.0,0.9999
2057,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002057.jpg,0.9994,0.9994,0.9995,0.9988,0.9999,0.9996
2058,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002058.jpg,0.9927,0.9953,0.9921,0.989,0.9966,0.9903
2059,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002059.jpg,0.9943,0.9952,0.9941,0.9887,0.9988,0.9944
2060,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002060.jpg,0.9999,0.9998,0.9999,0.9997,1.0,0.9999
2061,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002061.jpg,0.9995,0.9992,0.9997,0.9989,0.9999,0.9997
2062,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002062.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2063,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002063.jpg,0.9998,0.9997,0.9998,0.9997,1.0,0.9998
2064,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002064.jpg,0.9984,0.9988,0.9967,0.9984,0.9995,0.9989
2065,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002065.jpg,0.8148,0.8129,0.8591,0.8403,0.8316,0.7302
2066,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002066.jpg,0.9999,0.9999,1.0,0.9998,1.0,1.0
2067,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002067.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2068,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002068.jpg,0.9855,0.9801,0.9947,0.9729,0.9972,0.9826
2069,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002069.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2070,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002070.jpg,0.999,0.9991,0.999,0.9984,0.9995,0.9988
2071,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002071.jpg,0.9653,0.976,0.9252,0.9815,0.9574,0.9865
2072,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002072.jpg,0.9999,0.9998,0.9999,0.9997,1.0,0.9999
2073,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002073.jpg,0.9877,0.9908,0.9831,0.9871,0.9853,0.992
2074,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002074.jpg,1.0,1.0,1.0,0.9999,1.0,1.0
2075,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002075.jpg,0.9999,0.9999,0.9999,0.9998,1.0,0.9999
2076,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002076.jpg,0.9998,0.9999,0.9999,0.9997,1.0,0.9998
2077,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002077.jpg,0.9996,0.9996,0.9995,0.9993,0.9999,0.9997
2078,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002078.jpg,0.9998,0.9998,0.9998,0.9997,1.0,0.9999
2079,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002079.jpg,0.9999,0.9999,0.9999,0.9999,1.0,1.0
2080,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002080.jpg,0.9952,0.9975,0.9976,0.9836,0.9995,0.9977
2081,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002081.jpg,0.9999,0.9999,0.9999,0.9999,1.0,1.0
2082,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002082.jpg,1.0,1.0,1.0,0.9999,1.0,1.0
2083,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002083.jpg,0.9998,0.9998,0.9998,0.9996,1.0,0.9999
2084,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002084.jpg,0.9999,0.9998,0.9998,0.9997,1.0,0.9999
2085,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002085.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2086,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002086.jpg,1.0,1.0,1.0,0.9999,1.0,1.0
2087,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002087.jpg,0.9798,0.9821,0.9879,0.9404,0.996,0.9923
2088,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002088.jpg,1.0,0.9999,1.0,0.9999,1.0,1.0
2089,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002089.jpg,0.999,0.9985,0.9995,0.9982,0.9994,0.9994
2090,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002090.jpg,0.0002,0.0003,0.0002,0.0001,0.0,0.0004
2091,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002091.jpg,0.0376,0.0082,0.014,0.0927,0.0298,0.0433
2092,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002092.jpg,0.9999,0.9999,0.9999,0.9999,1.0,1.0
2093,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002093.jpg,0.9947,0.9945,0.9922,0.9945,0.9974,0.995
2094,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002094.jpg,0.9823,0.9697,0.9922,0.9757,0.9977,0.976
2095,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002095.jpg,0.9998,0.9998,0.9999,0.9997,1.0,0.9999
2096,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002096.jpg,0.999,0.9986,0.9983,0.999,0.9997,0.9995
2097,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002097.jpg,0.9994,0.9994,0.9992,0.9987,0.9999,0.9995
2098,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002098.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2099,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002099.jpg,0.9979,0.9973,0.9984,0.9966,0.9986,0.9988
2100,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002100.jpg,0.3383,0.2761,0.4695,0.3847,0.4666,0.0947
2101,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002101.jpg,0.9999,0.9999,1.0,0.9998,1.0,0.9999
2102,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002102.jpg,0.9963,0.9931,0.9982,0.993,0.9991,0.9979
2103,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002103.jpg,0.9972,0.9951,0.998,0.9962,0.9971,0.9994
2104,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002104.jpg,0.9643,0.9748,0.9678,0.9647,0.945,0.9691
2105,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002105.jpg,0.9536,0.9621,0.9661,0.9488,0.9676,0.9237
2106,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002106.jpg,0.0002,0.0002,0.0002,0.0004,0.0001,0.0001
2107,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002107.jpg,0.9999,0.9999,0.9999,0.9999,1.0,0.9999
2108,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002108.jpg,0.9983,0.9981,0.9983,0.997,0.9992,0.999
2109,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002109.jpg,0.9912,0.9917,0.9914,0.9844,0.9967,0.9917
2110,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002110.jpg,0.9977,0.9986,0.9974,0.9957,0.9991,0.9976
2111,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002111.jpg,0.9967,0.9972,0.9963,0.9954,0.9976,0.997
2112,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002112.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2113,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002113.jpg,0.9978,0.9981,0.9993,0.9954,0.9996,0.9965
2114,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002114.jpg,0.9999,0.9999,1.0,0.9999,1.0,0.9999
2115,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002115.jpg,0.9995,0.9994,0.9994,0.9991,0.9999,0.9998
2116,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002116.jpg,0.999,0.998,0.9994,0.9986,0.9998,0.9995
2117,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002117.jpg,0.0976,0.0816,0.2109,0.1053,0.0142,0.076
2118,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002118.jpg,1.0,1.0,1.0,0.9999,1.0,1.0
2119,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002119.jpg,0.9996,0.9994,0.9997,0.9992,0.9999,0.9997
2120,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002120.jpg,0.9663,0.9745,0.9488,0.9724,0.9777,0.9582
2121,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002121.jpg,0.9409,0.9706,0.8969,0.9319,0.9914,0.9138
2122,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002122.jpg,0.9987,0.9984,0.9989,0.9966,0.9998,0.9995
2123,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002123.jpg,1.0,1.0,1.0,0.9999,1.0,1.0
2124,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002124.jpg,0.9997,0.9996,0.9998,0.9993,0.9999,0.9999
2125,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002125.jpg,0.9998,0.9997,0.9996,0.9996,1.0,0.9999
2126,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002126.jpg,0.9993,0.9992,0.9995,0.9989,0.9995,0.9992
2127,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002127.jpg,0.991,0.9895,0.9934,0.9807,0.9978,0.9936
2128,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002128.jpg,0.9993,0.9994,0.9996,0.9978,0.9999,0.9997
2129,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002129.jpg,0.0284,0.0331,0.0288,0.0589,0.0113,0.0098
2130,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002130.jpg,0.9945,0.9956,0.997,0.9868,0.9988,0.9945
2131,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002131.jpg,1.0,1.0,1.0,0.9999,1.0,1.0
2132,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002132.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2133,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002133.jpg,0.9999,0.9998,0.9999,0.9999,1.0,0.9999
2134,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002134.jpg,0.9995,0.9995,0.9998,0.9984,1.0,0.9998
2135,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002135.jpg,0.9996,0.9996,0.9996,0.9992,0.9999,0.9998
2136,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002136.jpg,0.991,0.9925,0.9965,0.974,0.9959,0.9959
2137,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002137.jpg,0.9968,0.9954,0.9989,0.9966,0.9994,0.9937
2138,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002138.jpg,0.0004,0.0005,0.0006,0.0006,0.0001,0.0002
2139,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002139.jpg,0.9783,0.9883,0.9571,0.9933,0.9678,0.9848
2140,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002140.jpg,0.9996,0.9994,0.9996,0.9994,0.9999,0.9998
2141,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002141.jpg,0.9995,0.9992,0.9996,0.9991,0.9999,0.9997
2142,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002142.jpg,0.9999,0.9999,0.9999,0.9997,1.0,0.9999
2143,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002143.jpg,0.9996,0.9996,0.9998,0.9988,1.0,0.9998
2144,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002144.jpg,0.9999,0.9999,1.0,0.9999,1.0,0.9999
2145,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002145.jpg,1.0,1.0,1.0,0.9999,1.0,1.0
2146,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002146.jpg,0.9939,0.9922,0.9937,0.9877,0.999,0.9968
2147,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002147.jpg,0.9998,0.9998,0.9998,0.9996,1.0,0.9999
2148,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002148.jpg,0.9999,0.9999,1.0,0.9998,1.0,0.9999
2149,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002149.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2150,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002150.jpg,0.9976,0.9986,0.9986,0.9962,0.9995,0.9949
2151,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002151.jpg,0.0046,0.0068,0.0037,0.0057,0.0019,0.005
2152,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002152.jpg,1.0,1.0,1.0,0.9999,1.0,1.0
2153,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002153.jpg,0.9999,0.9999,0.9999,0.9998,1.0,1.0
2154,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002154.jpg,0.006,0.0036,0.0029,0.0197,0.0025,0.0012
2155,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002155.jpg,0.9995,0.9993,0.9994,0.9989,1.0,0.9997
2156,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002156.jpg,0.4914,0.3608,0.4325,0.5116,0.5565,0.5955
2157,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002157.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2158,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002158.jpg,0.0809,0.0354,0.1052,0.187,0.044,0.0328
