img_no,img_path,property_glass_final_score,score_model_0,score_model_1,score_model_2,score_model_3,score_model_4
2016,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002016.jpg,0.0033,0.0005,0.0107,0.0008,0.0038,0.0005
2017,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002017.jpg,0.0008,0.0012,0.0016,0.0002,0.0002,0.001
2018,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002018.jpg,0.0051,0.0043,0.0063,0.0002,0.0008,0.0137
2019,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002019.jpg,0.0032,0.0005,0.0113,0.0,0.0024,0.0018
2020,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002020.jpg,0.0002,0.0003,0.0006,0.0,0.0001,0.0002
2021,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002021.jpg,0.0018,0.001,0.0066,0.0001,0.0005,0.0008
2022,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002022.jpg,0.0009,0.0009,0.0019,0.0,0.0001,0.0015
2023,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002023.jpg,0.0002,0.0004,0.0003,0.0,0.0001,0.0002
2024,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002024.jpg,0.003,0.0009,0.0107,0.0003,0.0009,0.0021
2025,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002025.jpg,0.0001,0.0001,0.0004,0.0,0.0001,0.0001
2026,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002026.jpg,0.0038,0.0024,0.0122,0.0001,0.0027,0.0016
2027,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002027.jpg,0.0019,0.0025,0.0046,0.0,0.0004,0.0021
2028,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002028.jpg,0.181,0.1042,0.3696,0.0421,0.2123,0.177
2029,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002029.jpg,0.0003,0.0006,0.0007,0.0,0.0001,0.0004
2030,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002030.jpg,0.2418,0.3978,0.3266,0.0506,0.2163,0.2176
2031,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002031.jpg,0.0077,0.0014,0.0157,0.001,0.0039,0.0166
2032,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002032.jpg,0.0086,0.0012,0.0345,0.0012,0.0038,0.0022
2033,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002033.jpg,0.001,0.001,0.0029,0.0,0.0002,0.0012
2034,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002034.jpg,0.0001,0.0001,0.0002,0.0,0.0,0.0001
2035,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002035.jpg,0.0011,0.0003,0.0031,0.0002,0.0001,0.0019
2036,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002036.jpg,0.0007,0.0001,0.0015,0.0,0.0004,0.0013
2037,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002037.jpg,0.0032,0.0014,0.0028,0.0006,0.0002,0.0109
2038,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002038.jpg,0.001,0.0012,0.0022,0.0,0.0002,0.0012
2039,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002039.jpg,0.0011,0.0002,0.0047,0.0001,0.0003,0.0003
2040,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002040.jpg,0.0006,0.0007,0.0016,0.0,0.0001,0.0005
2041,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002041.jpg,0.0021,0.0016,0.0035,0.0001,0.0005,0.0048
2042,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002042.jpg,0.0028,0.0002,0.0089,0.0,0.0009,0.004
2043,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002043.jpg,0.1213,0.0239,0.3092,0.0164,0.2286,0.0282
2044,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002044.jpg,0.005,0.0022,0.0157,0.0005,0.0004,0.0065
2045,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002045.jpg,0.0004,0.0001,0.0008,0.0,0.0001,0.0008
2046,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002046.jpg,0.0333,0.0054,0.1291,0.0098,0.008,0.0144
2047,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002047.jpg,0.0009,0.0012,0.002,0.0001,0.0006,0.0008
2048,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002048.jpg,0.0097,0.0239,0.0061,0.0085,0.001,0.0092
2049,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002049.jpg,0.0032,0.0045,0.0076,0.0001,0.0007,0.0029
2050,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002050.jpg,0.001,0.0004,0.0027,0.0,0.0004,0.0015
2051,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002051.jpg,0.0015,0.0011,0.0034,0.0,0.0002,0.0026
2052,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002052.jpg,0.0003,0.0004,0.0006,0.0,0.0001,0.0003
2053,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002053.jpg,0.0025,0.0041,0.0059,0.0001,0.0007,0.0016
2054,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002054.jpg,0.9548,0.8811,0.9691,0.9817,0.9899,0.9522
2055,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002055.jpg,0.0008,0.0002,0.0028,0.0,0.0002,0.0008
2056,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002056.jpg,0.0056,0.0019,0.0193,0.0004,0.004,0.0022
2057,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002057.jpg,0.0018,0.0009,0.0054,0.0003,0.0006,0.0016
2058,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002058.jpg,0.007,0.004,0.0144,0.0003,0.0011,0.0152
2059,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002059.jpg,0.0007,0.0013,0.0009,0.0,0.0001,0.0011
2060,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002060.jpg,0.0046,0.0049,0.0108,0.0014,0.0005,0.0054
2061,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002061.jpg,0.0016,0.0005,0.0044,0.0,0.0001,0.0033
2062,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002062.jpg,0.0007,0.0003,0.002,0.0001,0.0001,0.0008
2063,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002063.jpg,0.0065,0.0026,0.023,0.0011,0.0016,0.0043
2064,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002064.jpg,0.0356,0.0001,0.0561,0.0055,0.0164,0.0998
2065,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002065.jpg,0.0077,0.0006,0.0244,0.0008,0.0071,0.0055
2066,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002066.jpg,0.0005,0.0004,0.0008,0.0001,0.0001,0.0014
2067,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002067.jpg,0.0064,0.0005,0.0269,0.0004,0.0025,0.0016
2068,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002068.jpg,0.0018,0.0036,0.0037,0.0,0.0003,0.0012
2069,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002069.jpg,0.0009,0.0004,0.0022,0.0001,0.0003,0.0015
2070,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002070.jpg,0.0015,0.0001,0.0053,0.0001,0.0014,0.0004
2071,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002071.jpg,0.9577,0.9637,0.9854,0.9992,0.9584,0.8815
2072,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002072.jpg,0.0058,0.0006,0.0134,0.0002,0.0005,0.014
2073,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002073.jpg,0.0028,0.0005,0.0051,0.0002,0.001,0.007
2074,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002074.jpg,0.0002,0.0001,0.0007,0.0,0.0002,0.0003
2075,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002075.jpg,0.0021,0.0012,0.0061,0.0002,0.0004,0.0024
2076,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002076.jpg,0.0032,0.0043,0.0091,0.0003,0.0009,0.0017
2077,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002077.jpg,0.0043,0.0002,0.013,0.0013,0.001,0.0062
2078,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002078.jpg,0.0008,0.0001,0.002,0.0,0.0004,0.0014
2079,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002079.jpg,0.0088,0.0078,0.0164,0.0006,0.001,0.0182
2080,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002080.jpg,0.9048,0.992,0.9946,0.9855,0.6354,0.9165
2081,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002081.jpg,0.0003,0.0001,0.0009,0.0,0.0002,0.0004
2082,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002082.jpg,0.0005,0.0001,0.0011,0.0001,0.0001,0.0012
2083,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002083.jpg,0.008,0.0158,0.0134,0.0023,0.0003,0.0083
2084,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002084.jpg,0.0017,0.0002,0.0047,0.0,0.0006,0.0031
2085,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002085.jpg,0.0045,0.0013,0.0145,0.0024,0.0024,0.002
2086,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002086.jpg,0.0001,0.0,0.0001,0.0,0.0,0.0001
2087,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002087.jpg,0.0022,0.0011,0.0036,0.0001,0.0002,0.0058
2088,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002088.jpg,0.002,0.0011,0.0059,0.0004,0.0006,0.0019
2089,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002089.jpg,0.0129,0.0002,0.0455,0.0004,0.0165,0.0021
2090,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002090.jpg,0.0015,0.0046,0.002,0.0,0.0002,0.0005
2091,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002091.jpg,0.4461,0.6908,0.7275,0.0081,0.6172,0.1869
2092,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002092.jpg,0.0006,0.0001,0.0019,0.0,0.0001,0.001
2093,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002093.jpg,0.0001,0.0001,0.0003,0.0,0.0,0.0001
2094,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002094.jpg,0.0002,0.0002,0.0002,0.0,0.0,0.0004
2095,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002095.jpg,0.0004,0.0002,0.001,0.0,0.0002,0.0005
2096,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002096.jpg,0.0008,0.0002,0.0022,0.0001,0.0006,0.0006
2097,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002097.jpg,0.0004,0.0002,0.0008,0.0,0.0001,0.0007
2098,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002098.jpg,0.0014,0.0014,0.0023,0.0001,0.0002,0.003
2099,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002099.jpg,0.0238,0.0124,0.0378,0.0484,0.011,0.0094
2100,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002100.jpg,0.0014,0.0006,0.0036,0.0001,0.0004,0.0021
2101,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002101.jpg,0.0021,0.005,0.0021,0.0007,0.0007,0.002
2102,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002102.jpg,0.0005,0.0002,0.0011,0.0002,0.0001,0.001
2103,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002103.jpg,0.01,0.0017,0.0448,0.0,0.0008,0.0025
2104,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002104.jpg,0.0011,0.0002,0.0019,0.0011,0.0015,0.0009
2105,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002105.jpg,0.0003,0.0001,0.001,0.0,0.0001,0.0006
2106,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002106.jpg,0.0029,0.0075,0.0054,0.0,0.0008,0.0007
2107,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002107.jpg,0.0004,0.0002,0.0009,0.0,0.0001,0.0006
2108,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002108.jpg,0.0024,0.0023,0.0066,0.0,0.001,0.002
2109,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002109.jpg,0.0031,0.0001,0.0104,0.0,0.0006,0.0043
2110,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002110.jpg,0.0085,0.0093,0.0186,0.0014,0.0106,0.0023
2111,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002111.jpg,0.0326,0.0012,0.1502,0.0006,0.0049,0.0064
2112,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002112.jpg,0.0001,0.0002,0.0002,0.0,0.0,0.0001
2113,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002113.jpg,0.0001,0.0001,0.0001,0.0,0.0,0.0001
2114,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002114.jpg,0.0063,0.0048,0.0175,0.0039,0.0026,0.0028
2115,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002115.jpg,0.0031,0.0007,0.0122,0.0002,0.0008,0.0016
2116,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002116.jpg,0.0084,0.0012,0.0291,0.0009,0.0069,0.004
2117,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002117.jpg,0.0002,0.0004,0.0002,0.0001,0.0,0.0003
2118,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002118.jpg,0.0011,0.003,0.0012,0.0,0.0001,0.0012
2119,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002119.jpg,0.011,0.0004,0.0493,0.0005,0.0011,0.0038
2120,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002120.jpg,0.1253,0.106,0.2436,0.2123,0.0181,0.0465
2121,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002121.jpg,0.0009,0.0,0.0004,0.0,0.0042,0.0001
2122,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002122.jpg,0.0017,0.0008,0.0037,0.0004,0.0003,0.003
2123,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002123.jpg,0.001,0.0006,0.0036,0.0,0.0003,0.0006
2124,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002124.jpg,0.0038,0.0008,0.0051,0.0001,0.0016,0.0115
2125,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002125.jpg,0.0045,0.0011,0.0131,0.0007,0.0005,0.007
2126,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002126.jpg,0.0025,0.003,0.005,0.0001,0.0003,0.0042
2127,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002127.jpg,0.5363,0.567,0.5139,0.4598,0.3936,0.747
2128,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002128.jpg,0.0013,0.0003,0.0046,0.0001,0.0001,0.0012
2129,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002129.jpg,0.0003,0.0004,0.0009,0.0,0.0002,0.0003
2130,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002130.jpg,0.0024,0.0012,0.0059,0.0005,0.0002,0.0039
2131,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002131.jpg,0.0012,0.0005,0.0025,0.0002,0.0001,0.0025
2132,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002132.jpg,0.0009,0.0006,0.0023,0.0001,0.0003,0.0015
2133,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002133.jpg,0.3362,0.5322,0.1522,0.0515,0.3932,0.5522
2134,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002134.jpg,0.0015,0.0013,0.0027,0.0001,0.0003,0.0032
2135,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002135.jpg,0.0026,0.0023,0.0056,0.0001,0.0003,0.0048
2136,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002136.jpg,0.0003,0.0001,0.0005,0.0,0.0001,0.0007
2137,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002137.jpg,0.032,0.0252,0.0575,0.0128,0.0547,0.0099
2138,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002138.jpg,0.0011,0.0003,0.0015,0.0,0.0002,0.0032
2139,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002139.jpg,0.9559,0.9577,0.9334,0.9989,0.9737,0.9159
2140,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002140.jpg,0.0001,0.0001,0.0002,0.0,0.0001,0.0002
2141,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002141.jpg,0.0012,0.0005,0.0027,0.0001,0.0003,0.0022
2142,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002142.jpg,0.0001,0.0001,0.0002,0.0,0.0002,0.0001
2143,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002143.jpg,0.005,0.0014,0.0176,0.0015,0.0012,0.0035
2144,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002144.jpg,0.2292,0.393,0.3294,0.0273,0.1525,0.2438
2145,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002145.jpg,0.0003,0.0001,0.0013,0.0,0.0001,0.0002
2146,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002146.jpg,0.001,0.0021,0.0016,0.0001,0.0001,0.0011
2147,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002147.jpg,0.0004,0.0001,0.0008,0.0,0.0002,0.0008
2148,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002148.jpg,0.0002,0.0001,0.0003,0.0,0.0002,0.0004
2149,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002149.jpg,0.0038,0.0055,0.0019,0.0001,0.0001,0.0114
2150,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002150.jpg,0.9928,0.9946,0.9993,0.9728,0.9993,0.9978
2151,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002151.jpg,0.007,0.0028,0.0274,0.0002,0.0035,0.0012
2152,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002152.jpg,0.0002,0.0,0.0006,0.0,0.0001,0.0002
2153,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002153.jpg,0.001,0.0004,0.0032,0.0001,0.0006,0.0008
2154,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002154.jpg,0.0002,0.0002,0.0003,0.0,0.0,0.0002
2155,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002155.jpg,0.0004,0.0008,0.0008,0.0001,0.0001,0.0004
2156,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002156.jpg,0.0005,0.0006,0.0012,0.0001,0.0001,0.0003
