img_no,img_path,property_quality_final_score,score_model_0,score_model_1,score_model_2,score_model_3,score_model_4
2013,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002013.jpg,0.9935,0.9946,0.9893,0.9971,0.993,0.9933
2014,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002014.jpg,0.9999,0.9999,0.9998,1.0,0.9999,0.9999
2015,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002015.jpg,0.9992,0.9994,0.9988,0.9995,0.9995,0.9989
2016,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002016.jpg,0.9997,0.9999,0.9994,0.9998,0.9996,0.9997
2017,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002017.jpg,0.7129,0.7853,0.6391,0.6516,0.7338,0.7545
2018,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002018.jpg,0.9997,0.9998,0.9994,0.9998,0.9997,0.9997
2019,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002019.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2020,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002020.jpg,0.9999,1.0,0.9998,1.0,0.9999,0.9999
2021,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002021.jpg,0.1144,0.1593,0.1415,0.0892,0.0825,0.0993
2022,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002022.jpg,0.9999,0.9999,0.9998,0.9999,0.9999,0.9998
2023,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002023.jpg,0.9998,1.0,0.9997,0.9999,0.9998,0.9998
2024,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002024.jpg,0.9982,0.9987,0.9968,0.9992,0.9979,0.9985
2025,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002025.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2026,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002026.jpg,0.9996,0.9997,0.9991,0.9998,0.9997,0.9995
2027,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002027.jpg,0.9999,1.0,0.9997,0.9999,0.9999,0.9999
2028,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002028.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2029,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002029.jpg,1.0,1.0,0.9999,1.0,1.0,1.0
2030,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002030.jpg,0.9999,0.9999,0.9997,0.9999,0.9999,0.9999
2031,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002031.jpg,0.9987,0.9992,0.9977,0.9994,0.9987,0.9987
2032,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002032.jpg,0.9999,0.9999,0.9998,0.9999,0.9999,0.9999
2033,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002033.jpg,0.9998,0.9999,0.9997,0.9998,0.9999,0.9998
2034,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002034.jpg,0.9997,0.9998,0.9995,0.9998,0.9999,0.9996
2035,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002035.jpg,0.9999,0.9999,0.9997,0.9999,0.9999,0.9999
2036,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002036.jpg,0.9944,0.9961,0.9933,0.9989,0.9919,0.9915
2037,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002037.jpg,0.9993,0.9995,0.9989,0.9997,0.9996,0.999
2038,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002038.jpg,1.0,1.0,0.9999,1.0,1.0,1.0
2039,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002039.jpg,0.9978,0.9987,0.9962,0.9983,0.998,0.9981
2040,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002040.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2041,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002041.jpg,0.9999,0.9999,0.9999,1.0,0.9999,0.9999
2042,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002042.jpg,1.0,1.0,0.9999,1.0,1.0,1.0
2043,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002043.jpg,0.9965,0.9978,0.9943,0.9972,0.9957,0.9972
2044,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002044.jpg,0.9986,0.9991,0.9982,0.9989,0.9994,0.9975
2045,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002045.jpg,0.9992,0.9993,0.9987,0.9997,0.9993,0.9991
2046,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002046.jpg,0.9997,0.9997,0.9994,0.9999,0.9997,0.9997
2047,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002047.jpg,1.0,1.0,0.9999,1.0,1.0,1.0
2048,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002048.jpg,0.9999,1.0,0.9998,0.9999,0.9999,0.9999
2049,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002049.jpg,0.9908,0.996,0.9859,0.9924,0.9938,0.9859
2050,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002050.jpg,0.9999,1.0,0.9999,1.0,0.9999,0.9999
2051,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002051.jpg,0.9997,0.9999,0.9994,0.9997,0.9997,0.9996
2052,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002052.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2053,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002053.jpg,0.9999,1.0,0.9999,1.0,0.9999,0.9999
2054,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002054.jpg,0.9987,0.9992,0.9977,0.9992,0.9985,0.9991
2055,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002055.jpg,0.9994,0.9997,0.9987,0.9998,0.9991,0.9995
2056,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002056.jpg,0.9998,1.0,0.9997,0.9998,0.9998,0.9998
2057,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002057.jpg,1.0,1.0,0.9999,1.0,1.0,1.0
2058,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002058.jpg,0.9998,0.9999,0.9995,0.9999,0.9998,0.9998
2059,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002059.jpg,0.997,0.9996,0.993,0.9975,0.9976,0.9972
2060,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002060.jpg,0.997,0.9988,0.9944,0.9982,0.9958,0.9976
2061,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002061.jpg,0.9972,0.9986,0.9952,0.9976,0.9965,0.9981
2062,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002062.jpg,0.9999,1.0,0.9999,1.0,1.0,0.9999
2063,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002063.jpg,0.9995,0.9998,0.9991,0.9998,0.9994,0.9996
2064,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002064.jpg,0.9998,0.9999,0.9996,1.0,0.9998,0.9998
2065,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002065.jpg,0.9963,0.9978,0.9927,0.9979,0.9967,0.9964
2066,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002066.jpg,0.9998,0.9999,0.9996,0.9999,0.9999,0.9997
2067,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002067.jpg,0.9982,0.9992,0.9969,0.9985,0.9981,0.9982
2068,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002068.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2069,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002069.jpg,0.9965,0.9977,0.9945,0.9978,0.9961,0.9967
2070,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002070.jpg,0.9996,0.9998,0.9993,0.9996,0.9995,0.9997
2071,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002071.jpg,0.9107,0.9269,0.9342,0.948,0.8599,0.8844
2072,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002072.jpg,0.9996,0.9998,0.9994,0.9997,0.9996,0.9995
2073,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002073.jpg,0.9972,0.9977,0.9949,0.9986,0.9981,0.9965
2074,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002074.jpg,0.9997,0.9999,0.9994,0.9997,0.9998,0.9997
2075,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002075.jpg,0.9955,0.9976,0.9944,0.9963,0.9952,0.994
2076,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002076.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2077,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002077.jpg,0.9738,0.9843,0.9653,0.9719,0.9704,0.977
2078,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002078.jpg,0.9999,0.9999,0.9997,1.0,0.9999,0.9999
2079,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002079.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2080,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002080.jpg,0.9989,0.9994,0.9979,0.9994,0.9991,0.9987
2081,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002081.jpg,0.9989,0.9994,0.9979,0.9996,0.9988,0.9988
2082,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002082.jpg,0.9999,0.9999,0.9998,0.9999,0.9999,0.9999
2083,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002083.jpg,0.9999,0.9999,0.9998,1.0,0.9999,0.9999
2084,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002084.jpg,0.9998,0.9999,0.9997,1.0,0.9998,0.9999
2085,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002085.jpg,0.9997,0.9999,0.9994,0.9999,0.9997,0.9998
2086,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002086.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2087,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002087.jpg,0.9997,0.9998,0.9994,0.9998,0.9998,0.9995
2088,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002088.jpg,1.0,1.0,0.9999,1.0,1.0,1.0
2089,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002089.jpg,0.9991,0.9991,0.9987,0.9996,0.9993,0.999
2090,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002090.jpg,0.9887,0.9893,0.9863,0.9943,0.992,0.9816
2091,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002091.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2092,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002092.jpg,0.9958,0.9974,0.9914,0.9991,0.9941,0.9968
2093,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002093.jpg,0.9996,0.9999,0.9994,0.9997,0.9996,0.9993
2094,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002094.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2095,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002095.jpg,0.107,0.1709,0.1083,0.0658,0.1335,0.0563
2096,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002096.jpg,0.9742,0.9803,0.9601,0.9905,0.9803,0.9595
2097,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002097.jpg,0.9985,0.9987,0.9975,0.9997,0.9983,0.9984
2098,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002098.jpg,0.9998,0.9999,0.9997,0.9999,0.9999,0.9998
2099,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002099.jpg,0.9959,0.9975,0.9922,0.9982,0.9956,0.9961
2100,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002100.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2101,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002101.jpg,0.0374,0.0781,0.045,0.013,0.0172,0.0339
2102,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002102.jpg,0.9666,0.994,0.9569,0.9658,0.9845,0.932
2103,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002103.jpg,0.8961,0.906,0.8764,0.9175,0.9096,0.8708
2104,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002104.jpg,0.9979,0.9982,0.9967,0.999,0.9985,0.9969
2105,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002105.jpg,0.9995,0.9996,0.9993,0.9996,0.9998,0.9994
2106,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002106.jpg,0.9916,0.9968,0.9853,0.9912,0.9877,0.9969
2107,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002107.jpg,0.2426,0.3254,0.2729,0.1687,0.2122,0.2336
2108,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002108.jpg,0.9989,0.9994,0.9985,0.9993,0.999,0.9985
2109,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002109.jpg,0.9978,0.9984,0.9965,0.999,0.9978,0.9976
2110,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002110.jpg,0.997,0.9987,0.9933,0.9974,0.9976,0.9978
2111,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002111.jpg,0.9608,0.9628,0.9398,0.9492,0.966,0.9863
2112,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002112.jpg,0.0647,0.1001,0.0747,0.0424,0.0488,0.0574
2113,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002113.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2114,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002114.jpg,0.9959,0.9977,0.9929,0.9975,0.9952,0.9963
2115,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002115.jpg,0.9999,1.0,0.9999,1.0,0.9999,0.9999
2116,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002116.jpg,0.1246,0.1286,0.152,0.071,0.1156,0.156
2117,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002117.jpg,0.9999,0.9999,0.9997,0.9999,0.9999,0.9998
2118,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002118.jpg,0.9998,0.9999,0.9998,0.9999,0.9999,0.9998
2119,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002119.jpg,1.0,1.0,0.9999,1.0,1.0,1.0
2120,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002120.jpg,0.9985,0.9993,0.9971,0.9984,0.9987,0.9991
2121,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002121.jpg,0.9979,0.9993,0.9961,0.9988,0.9985,0.9967
2122,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002122.jpg,1.0,1.0,0.9999,1.0,1.0,1.0
2123,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002123.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2124,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002124.jpg,0.9978,0.9991,0.9953,0.9988,0.9982,0.9975
2125,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002125.jpg,0.9967,0.9988,0.9935,0.9981,0.9951,0.9979
2126,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002126.jpg,0.9847,0.9873,0.9786,0.9852,0.9846,0.9877
2127,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002127.jpg,0.9999,0.9999,0.9998,0.9999,0.9999,0.9999
2128,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002128.jpg,0.9999,1.0,0.9998,0.9999,1.0,0.9999
2129,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002129.jpg,0.9999,1.0,0.9998,0.9999,0.9999,0.9999
2130,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002130.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2131,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002131.jpg,0.9997,0.9999,0.9995,0.9999,0.9998,0.9998
2132,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002132.jpg,1.0,1.0,0.9999,1.0,1.0,1.0
2133,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002133.jpg,0.9999,1.0,0.9998,0.9999,0.9999,0.9999
2134,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002134.jpg,0.9998,0.9998,0.9996,0.9999,0.9999,0.9997
2135,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002135.jpg,0.9995,0.9998,0.999,0.9998,0.9994,0.9995
2136,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002136.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2137,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002137.jpg,0.999,0.9996,0.998,0.999,0.9994,0.999
2138,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002138.jpg,1.0,1.0,0.9999,1.0,1.0,1.0
2139,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002139.jpg,0.9999,1.0,0.9998,1.0,0.9999,0.9999
2140,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002140.jpg,1.0,1.0,0.9999,1.0,1.0,1.0
2141,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002141.jpg,0.9996,0.9998,0.9993,0.9997,0.9995,0.9997
2142,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002142.jpg,0.9999,0.9999,0.9999,1.0,0.9999,0.9999
2143,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002143.jpg,0.9999,1.0,0.9999,1.0,1.0,0.9999
2144,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002144.jpg,0.9998,0.9999,0.9995,0.9999,0.9998,0.9999
2145,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002145.jpg,0.9996,0.9999,0.9992,0.9998,0.9994,0.9995
2146,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002146.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2147,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002147.jpg,0.9999,1.0,0.9998,1.0,0.9999,0.9999
2148,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002148.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2149,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002149.jpg,0.9994,0.9997,0.9989,0.9996,0.9993,0.9995
2150,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002150.jpg,0.9996,0.9998,0.9991,0.9998,0.9996,0.9996
2151,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002151.jpg,0.9928,0.9931,0.9929,0.9989,0.9845,0.9948
2152,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002152.jpg,0.1716,0.2022,0.2193,0.1261,0.1831,0.1274
2153,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002153.jpg,1.0,1.0,0.9999,1.0,1.0,1.0
2154,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002154.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2155,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002155.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2156,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002156.jpg,1.0,1.0,1.0,1.0,1.0,1.0
2157,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002157.jpg,1.0,1.0,0.9999,1.0,1.0,1.0
2158,C:\Users\20151\Documents\AI_Projects\2025_05_26_OhLoRA_v3/stylegan/generated_face_images/002158.jpg,1.0,1.0,1.0,1.0,1.0,1.0
