img_no,hair_color,hair_length,background_score,hairstyle
222,-0.5802,1.4871,1.2246,-0.0232
223,-0.8558,0.653,0.9002,-0.0509
224,-1.1619,0.4085,0.6541,-0.4778
225,-0.8192,0.7086,0.8184,-0.2908
226,-1.57,0.6761,0.0911,-0.519
227,-0.3119,1.018,-0.692,-0.2889
228,-0.1803,-0.6321,0.4778,-0.3317
229,-0.8302,0.6281,1.2222,0.533
230,-0.1917,0.773,0.8709,-0.0472
231,-0.119,1.5716,-0.3437,0.9633
232,0.9185,0.7702,1.2419,-0.4993
233,-1.0493,-0.3091,0.5849,0.7192
234,0.326,0.5693,1.1707,-1.1671
235,-1.0443,-0.0205,1.1877,-0.0239
236,-0.3278,-2.7234,-1.4056,1.7608
237,-0.4165,0.8251,1.3694,0.0866
238,-0.7129,0.4164,1.5604,-0.4367
239,-0.3425,0.3157,-0.749,-0.4504
240,0.1039,-2.2106,1.5127,0.3115
241,0.2474,0.9159,0.5086,-0.2318
242,-0.3687,0.46,1.5771,0.5538
243,0.1823,-1.8936,0.7962,-0.576
244,-1.0824,0.8983,1.4465,0.5027
245,0.969,1.1967,-0.3103,1.2709
246,-1.5828,0.4071,0.1402,-0.0353
247,-0.9142,-0.7384,1.1904,-0.0892
248,-0.9159,0.6692,0.8542,0.8311
249,1.2009,-1.1781,0.3055,-0.0739
250,-0.8328,-0.6859,-0.4907,0.6788
251,1.2145,0.6641,0.6384,-0.4523
252,-0.5803,0.9718,0.8912,1.4128
253,-1.2768,0.6487,0.9398,-0.683
254,-1.0041,0.2191,-0.4686,1.4453
255,-0.0977,0.5665,-1.1308,0.3562
256,-1.1453,0.1602,-0.2772,0.6341
257,-1.0406,0.5942,-1.3432,0.4162
258,1.2614,-0.7251,1.2031,0.6157
259,1.9114,0.4352,0.5932,-1.3515
260,1.392,0.6174,-0.1045,-0.5941
261,1.8351,0.0242,-0.9512,0.3321
262,-0.4585,-0.329,0.7228,0.8367
263,-0.7855,1.1665,-0.2298,0.3401
264,0.5073,0.8308,0.1424,0.2932
265,-0.4664,0.9973,1.2429,0.7373
266,-0.8123,0.9562,0.5893,0.4591
267,-1.2645,0.7973,-0.8938,0.2322
268,0.1308,0.1916,0.8559,-0.4361
269,-1.0277,0.5048,0.0805,0.8006
270,-0.9762,-0.843,0.7372,1.4997
271,0.6649,0.7174,-1.6825,0.1643
272,0.5795,0.8097,-0.6008,-0.2867
273,1.0552,0.7269,-0.9568,-1.1487
274,-0.5116,0.6636,1.2244,-0.0119
275,1.199,0.6591,1.422,-0.5653
276,0.5789,0.9838,0.0856,-0.2509
277,-0.0821,-0.7888,1.4626,-0.4911
278,-0.7145,0.7126,1.163,1.0637
279,0.5128,-1.1391,0.5108,0.1031
280,-0.5936,0.1516,0.2201,0.3604
281,-0.5545,0.5073,0.3703,0.4319
282,-1.2219,-0.0998,1.3636,0.705
283,1.602,-2.6971,0.9248,0.4633
284,-0.8229,0.3037,0.8467,-0.7533
285,-0.6799,0.6097,0.9842,0.2136
286,-0.3473,0.7834,0.8997,-0.9707
287,-0.7072,0.5086,0.9606,-0.5167
288,-0.9892,0.701,0.9818,-0.1825
289,-0.4842,0.4898,-0.3842,-0.6522
290,0.3633,0.4359,0.7701,-0.1629
291,-0.346,-3.3591,-1.3584,2.2246
292,0.6254,0.5426,-1.7221,0.8897
293,0.3899,0.7029,0.9486,-0.9171
294,-1.1131,0.1589,0.5897,1.3768
295,-1.3899,0.0175,0.8013,1.3383
296,-1.0202,1.0968,0.7546,0.3341
297,0.1041,-0.6299,0.3105,0.8274
298,-1.0374,0.3794,1.015,-0.3936
299,0.179,0.6043,-0.1249,-0.1327
300,1.0121,0.6534,0.7923,-0.3346
301,-1.3245,-2.0808,-0.995,1.7748
302,1.2638,0.7747,-0.1398,-0.8425
303,-0.3079,-0.878,-0.1886,1.1904
304,-0.1116,1.1303,-0.5727,0.87
305,0.5866,-1.328,-0.8217,-0.1366
306,0.6088,-0.9449,-0.6647,0.2689
307,0.2729,-0.1233,-1.0027,-0.4497
308,0.3925,0.4031,-1.6627,0.8962
309,-0.6127,-0.0039,0.9229,0.2367
310,0.4833,0.8377,-1.516,1.0033
311,0.1532,1.615,-1.6279,0.0363
312,-1.119,1.1639,-1.2163,0.4159
313,-0.8754,0.1555,-1.2721,1.2224
314,-0.7593,0.0854,0.2014,0.9529
315,-0.3131,0.8541,0.6042,-0.0047
316,-1.3979,1.0625,1.5343,0.112
317,0.5377,0.107,-0.0295,0.4558
318,0.8293,0.6666,1.0302,-0.0968
319,-0.8612,0.3722,0.6407,-0.0545
320,-0.5607,0.3748,1.7923,0.4276
321,1.1782,0.6301,-1.6585,-1.0976
322,0.7717,0.624,0.8747,-0.5775
323,-0.2145,0.4346,-1.1997,1.0323
324,-0.7298,1.0357,0.5945,-0.1412
325,1.2838,1.0619,1.6933,0.2808
326,0.0349,0.2369,0.5179,-0.5798
327,-1.1609,0.2949,1.0566,0.4252
328,-0.2923,0.882,-0.5067,-0.4934
329,0.6874,0.4553,-1.2206,0.386
330,-0.6544,0.4044,-0.5162,-0.2589
331,-0.3487,1.2367,-0.6564,0.412
332,-0.6663,-0.2563,1.1158,0.0689
333,-0.164,-1.1057,-0.9732,0.75
334,-1.0366,-0.4233,0.1628,0.0449
335,-1.1994,1.0063,1.1327,1.3577
336,-0.5485,0.5998,0.7702,0.028
337,-0.3462,-0.4613,-0.6679,0.7589
338,-0.7641,1.0138,1.3108,0.1211
339,0.1926,1.0405,-1.7129,-0.2791
340,0.3632,-2.1243,0.3025,1.0774
341,1.1776,0.8365,-0.2488,-0.201
342,-1.102,-2.6943,0.7381,0.2931
343,0.9773,0.4649,1.1388,-0.6861
344,-0.6941,0.7403,1.4351,-1.1542
345,0.8133,0.7567,-0.6476,-0.0075
346,-0.3037,-0.0501,0.4641,-0.7713
347,-0.0512,-1.9183,0.6714,0.0699
348,-0.1315,0.4978,0.2449,0.3248
349,1.0769,0.8518,1.283,-0.985
350,-0.7952,0.2417,0.6726,-0.4161
351,0.4592,0.3707,0.6479,0.3313
352,-0.3469,0.0601,1.243,0.7601
353,-0.9993,0.0514,0.8386,1.0848
354,-0.2142,0.6929,0.6592,-0.3387
355,-0.3375,0.9693,-0.2555,0.7613
356,-0.5922,0.7668,0.804,-0.6819
357,0.0745,0.8751,1.0653,0.2259
358,-0.205,0.8254,0.8231,0.842
359,-0.3491,0.4286,1.3135,-0.2745
360,-1.1993,0.4626,1.2406,0.5392
361,-0.9605,0.5338,-0.0706,0.605
362,-0.5434,0.5549,0.8887,-0.6743
363,1.4052,0.5114,-0.4842,-0.8763
364,1.5597,-1.2159,0.6224,0.6118
365,-0.8621,0.3376,1.1069,0.5943
366,1.3045,1.1489,0.5407,-0.8317
367,0.3309,0.1306,-0.2212,-0.1845
368,-0.8929,0.2796,0.8024,-0.0378
369,-0.6798,0.2229,-1.3057,-0.1034
370,1.5486,1.0178,-1.6334,-0.3905
371,0.7707,-2.2778,0.85,0.3273
372,-0.0838,-0.2748,0.0678,0.0947
373,-1.125,-0.353,-0.7184,0.0738
374,-0.7581,0.7255,1.8358,-0.0361
375,1.2628,0.7556,-1.2269,-0.8823
376,0.1195,-1.4784,1.0469,0.4787
377,-1.0894,0.5653,0.3889,-0.1273
378,0.7559,0.8453,0.1049,-0.838
379,-0.5271,0.5575,1.1396,0.5011
380,-1.0266,-0.1867,1.536,-0.3569
381,-0.9276,1.0564,0.1507,0.0031
382,-0.3573,-0.8472,-1.3166,0.9283
383,-0.4943,0.8034,0.8181,0.3619
384,-1.1645,0.5053,0.7343,1.0808
385,-1.2123,0.0191,1.4756,0.4387
386,-0.2481,0.8379,0.5786,0.4366
387,-0.8293,1.0765,0.9525,1.4827
388,-1.333,0.4821,0.3967,0.407
389,-1.0143,0.7713,0.7174,1.248
390,0.8593,0.7586,0.8982,0.8138
391,0.631,-1.1651,0.3229,-0.1035
392,0.4472,1.1618,0.745,0.5235
393,0.9169,-0.7121,1.4252,0.9429
394,1.599,-0.0368,-0.2128,0.5341
395,0.164,-1.3805,1.3513,-0.2111
396,-0.2786,0.7131,0.9946,-1.2251
397,-0.1221,-1.7,0.734,0.6104
398,0.0996,0.7817,-1.3979,-0.0795
399,-0.0949,-0.0317,0.9097,-0.2595
400,-0.7019,-0.6585,1.3063,0.5828
401,-1.3934,0.0822,-0.2204,0.3559
402,-0.2928,0.9552,1.1955,-0.1879
403,-0.5631,0.2441,1.0579,0.0821
404,1.6901,0.5973,-0.8155,-0.8408
405,-0.6971,-0.3641,-1.0516,1.522
406,0.807,0.8244,0.2644,-0.2425
407,0.2417,-1.7891,0.873,0.9722
408,-0.0048,1.0389,0.9602,0.6376
409,-0.1834,0.9494,-0.1737,1.1188
410,-0.5732,0.9075,0.7138,-0.2057
411,-1.0484,0.553,1.5624,-0.686
412,0.1145,0.8335,-0.6119,-0.1666
413,-0.8957,-0.3666,0.6008,0.541
414,0.6747,-0.4474,-0.6829,0.3491
415,0.4027,0.9081,-1.3285,-0.9483
416,1.5658,0.8667,-1.3823,-0.7273
417,-0.7779,0.384,0.9327,0.2227
418,-0.7529,0.8185,1.3577,-0.8613
419,1.1138,0.5544,-0.9684,1.4904
420,-0.7352,0.7412,1.5798,0.6312
421,-1.1196,1.1209,0.309,0.1134
422,-0.1879,-0.9254,-1.2824,1.3157
423,-1.063,0.0397,0.0357,1.8969
424,-0.6326,0.8695,-0.3226,0.8244
425,-1.3333,0.477,-1.4989,0.1839
426,-0.3475,-0.0258,-1.592,0.9612
427,0.7693,0.739,-1.6823,-0.2471
428,-0.7484,-0.8617,-0.3183,1.6009
429,0.7223,-2.3851,0.88,0.1267
430,0.3378,0.9994,0.2207,-0.6426
431,1.4914,-0.1558,-0.3896,0.2955
432,-0.8595,0.4229,1.0988,0.0549
433,0.7211,1.0161,-1.4508,0.4228
434,-0.4437,1.3019,0.3161,0.8959
435,2.0601,0.7048,0.0514,-0.7565
436,-0.3289,-3.1266,1.039,0.802
437,-0.9013,1.0547,0.3087,-0.4086
438,-1.2958,0.1607,0.8259,0.221
439,-0.9611,1.0811,0.845,1.0123
440,-0.1797,0.97,1.2649,-0.0382
441,1.3631,0.3301,0.8519,-1.246
442,-0.7249,0.4012,1.0961,1.2121
443,1.13,0.7113,-1.2221,-0.4923
444,-0.4604,0.9075,1.1916,-0.5239
445,-0.8002,0.9337,0.4456,-0.0426
446,-0.0619,1.0716,1.3074,0.8183
447,-0.8121,0.5667,1.5189,1.1401
448,0.6552,0.6815,-1.3165,-1.0831
449,-0.5089,0.3766,0.9417,0.416
450,-0.2815,0.4368,1.2494,-0.5888
451,-0.6934,0.5851,0.4682,-0.1767
452,-0.6488,0.8295,0.7244,-0.3893
453,0.6606,-0.0019,-0.9831,0.7825
454,-1.0643,1.0828,1.2415,0.2263
455,-1.1225,0.6651,0.4956,0.0276
456,-1.0713,0.4358,0.729,0.6077
457,0.1247,0.9665,1.3554,-0.1674
458,-0.7116,-0.1698,1.4614,0.2763
459,0.4997,0.5938,-1.0057,0.3759
460,-1.2701,-0.4723,0.0356,1.5044
461,0.1124,0.7515,1.0224,-0.3698
462,0.7578,0.607,-0.85,-0.5883
463,-0.7956,0.3548,0.7889,0.4576
464,0.4674,0.0393,0.5688,-0.8605
465,-0.1604,0.6291,-0.4146,0.1474
466,-0.3413,1.1347,0.451,-0.5233
467,-0.4186,0.3028,0.0504,-0.5435
468,-0.8497,-0.3678,-0.2502,0.2702
469,0.8016,0.8908,0.6958,-0.2467
470,-0.5871,0.8505,-0.8118,-0.2438
471,-0.8205,-0.0032,0.1386,0.6889
472,-0.5546,1.019,-0.5788,0.6218
473,-0.666,1.201,1.0672,1.0222
474,-0.8523,0.7988,-0.11,-0.8396
475,-1.065,-0.3896,-0.0893,-0.883
476,-0.5999,0.7739,1.1144,0.7641
477,-1.2487,0.4077,0.7742,-0.3203
478,-0.4709,0.2826,0.8892,0.7178
479,-1.3275,0.6656,0.1299,-0.1808
480,-1.1655,0.3995,1.0584,-0.3674
481,-0.9957,1.1021,0.4429,0.0324
482,1.4563,0.4926,0.9839,-0.1181
483,0.4822,-0.2483,-1.3815,-0.0249
484,-0.8989,0.8251,0.6365,0.111
485,-0.2571,-0.3836,-0.1345,1.2589
486,0.0398,1.1711,-1.4684,0.4924
487,-0.9108,-0.4155,1.05,0.2246
488,2.0511,0.7442,-0.9124,-0.0315
489,-0.898,1.1586,1.294,-0.8071
490,0.0852,0.4727,-0.0372,0.0535
491,0.0525,-0.0148,0.9399,0.3691
492,-0.3698,-0.554,0.5587,-0.1049
493,-0.7022,0.3782,0.3914,0.2083
494,0.2238,0.9099,0.0967,-0.5751
495,-0.943,1.2751,1.3166,-0.1451
496,-0.5375,0.4995,0.5706,1.3563
497,0.1163,0.4811,-1.6593,0.812
498,0.9535,0.8832,0.3421,0.1421
499,1.3342,0.9402,-0.9681,1.01
500,-0.6535,0.7039,1.4714,0.2258
501,-1.2257,1.1018,1.3498,-0.145
502,-1.0922,0.8375,0.9725,1.6333
503,-0.9883,0.4368,0.988,0.2642
504,-1.1601,0.3441,1.3338,-0.0385
505,-0.3506,0.5832,1.0638,-0.0066
506,0.3943,0.1665,-0.5848,0.0523
507,-0.5911,0.2692,1.2458,-0.3077
508,-1.0531,-0.6887,-1.3305,-0.2933
509,-0.5293,1.13,1.4778,0.226
510,-0.9576,0.5741,1.4467,0.7266
511,-0.9256,0.0675,1.3052,2.2227
512,0.0838,0.837,0.5335,-0.1503
513,-0.945,-0.5335,-0.9617,0.9346
514,-0.4128,0.1815,1.5649,1.174
515,1.3872,0.1572,-0.2024,0.2841
516,1.0972,0.6078,-0.5491,-0.033
517,-1.3262,-0.3383,0.3721,1.0543
518,0.3944,-2.0853,-0.2955,0.7376
519,0.5573,0.8318,0.7249,-0.1212
520,-1.9532,-0.6488,0.5218,0.4038
521,-0.8286,0.8784,0.8979,-0.0943
522,-0.3441,0.0206,0.2946,1.0972
523,0.1625,0.7172,1.5073,0.1761
524,0.0286,0.6197,1.6583,-0.6323
525,-0.2864,0.6286,-1.6325,-0.0122
526,1.2907,0.1206,-0.503,-0.1575
527,-1.0432,0.6555,1.0533,-0.9176
528,-0.3497,0.9228,-0.0239,-0.8647
529,-0.7141,0.4543,0.261,0.2911
530,-0.7954,0.7407,1.4041,-0.3068
531,-0.5078,0.7458,0.6448,-0.3225
532,-1.1165,0.4106,1.0044,0.1808
533,-1.1197,-0.0886,0.8748,1.2698
534,0.613,0.8069,0.9326,-0.2903
535,-1.227,0.1059,0.7371,1.214
536,0.7514,0.3022,1.1455,-0.8719
537,-1.6204,-1.1198,0.3019,-0.2506
538,-0.7469,0.5635,0.7768,0.0654
539,-0.0374,0.7409,0.7076,0.6836
540,-0.6869,0.1899,1.5166,-0.1441
541,-0.6764,0.3048,1.0944,2.1633
542,-0.7398,-0.4293,1.3719,0.613
543,-0.6266,-2.117,0.0007,-0.1664
544,-0.6191,0.7189,0.8982,0.1025
545,-0.5886,0.1765,0.6869,0.1131
546,0.7935,0.6765,-0.1778,-0.8682
547,1.0772,0.6099,0.6417,0.0362
548,-0.3532,0.2733,1.0978,-0.7612
549,-0.7504,0.7892,-0.1878,-0.2016
550,-0.355,0.501,-0.1926,0.3047
551,-1.0135,-0.3315,0.8168,0.8054
552,-0.7381,0.7098,1.7568,-0.108
553,-0.7414,0.7097,1.0727,-0.115
554,-0.0567,0.037,-0.7075,0.2244
555,-1.2774,0.9496,0.7351,-0.1922
556,1.1164,0.5822,0.3979,0.2388
557,-0.6519,1.0226,0.4353,0.3443
558,-0.405,0.9432,-0.3012,1.0132
559,0.8433,0.3434,-0.0767,-0.3422
560,-0.5445,0.4025,-0.4588,0.3355
561,-0.4363,0.8874,1.3246,1.0207
562,1.8079,0.2136,1.1233,-0.3161
563,0.7903,1.0572,0.6898,-0.673
564,-1.1983,0.8118,0.8554,0.3978
565,-0.0348,0.7326,-1.3612,-0.2214
566,-1.1653,0.3547,-0.5382,0.0575
567,0.9824,-0.0782,0.8871,-0.3204
568,-0.2088,1.1985,1.2031,0.81
569,0.9086,-1.261,-0.1167,0.4868
570,1.3527,0.6001,0.256,-0.4889
571,1.2639,0.8075,-0.9755,0.2514
572,1.3571,-3.015,0.496,-0.0225
573,-0.7064,-0.4209,0.4876,0.2057
574,0.0764,0.7651,1.5785,-1.3513
575,-0.0579,-1.7278,0.1604,0.387
576,-0.8797,-0.195,0.9538,0.0883
577,-0.7873,0.4096,1.1438,0.3687
578,-0.7748,0.8659,1.4388,0.0912
579,-0.1433,0.3107,1.1666,-0.1271
580,0.4503,-2.7569,0.7424,-0.495
581,0.1687,0.4434,1.3529,-1.3814
582,0.3564,-0.3971,1.5425,0.0816
583,0.2871,0.1306,1.0015,0.619
584,-0.5242,0.0851,0.8235,-0.4031
585,-0.4294,0.9784,0.1201,0.4914
586,0.0222,-0.2738,0.1572,1.3054
587,-0.0987,0.3338,0.9398,-0.4958
588,-0.4207,-0.6207,0.8253,1.2374
589,-1.1353,1.0909,0.5366,1.6978
590,1.674,1.0246,-1.2267,-0.1837
591,-0.1696,0.4182,-0.884,1.3009
592,1.1196,-0.8219,1.4668,0.4593
593,-0.2994,0.4779,-0.3204,-0.336
594,0.1311,0.7915,1.1018,-0.8599
595,1.7933,0.6004,-0.8723,-0.634
596,-1.079,0.6477,1.5257,-1.2346
597,1.194,1.294,-1.3972,-0.1639
598,-0.1637,-1.4712,-1.1787,-0.0028
599,-1.0435,0.6203,1.3719,-0.263
