,input_data,user_prompt,output_data,dest_shape_info
85,"Represent below as a Python list.

A deep learning model of 256 * 256 input image, 2 3 x 3 conv layers and a 2 x 2 average pooling layer, 2 3 x 3 convolutional layers and a 2 x 2 pooling layer, then a 3 x 3 conv layer and a 2 x 2 average pooling layer, a 3 x 3 conv layer and a 2 x 2 pooling layer, then a 3 x 3 conv layer and a 2 x 2 average pooling layer, and 128 nodes in hidden layers, and 1 output nodes in the following format.

At this time, each node is represented in the format of Python list ""[node No.,
X position (px), Y position (px), shape (rectangle, round rectangle or circle),
width (px), height (px), connection line shape (solid or dashed), background color,
connection line color, list of node No. s of other nodes pointed to by the connection line]"".

At this time, the color is represented in the format of tuple (R, G, B), between 0 and 255, and
X position range is 0-1000 and Y position range is 0-600.

It is important to draw a representation of high readability.","A deep learning model of 256 * 256 input image, 2 3 x 3 conv layers and a 2 x 2 average pooling layer, 2 3 x 3 convolutional layers and a 2 x 2 pooling layer, then a 3 x 3 conv layer and a 2 x 2 average pooling layer, a 3 x 3 conv layer and a 2 x 2 pooling layer, then a 3 x 3 conv layer and a 2 x 2 average pooling layer, and 128 nodes in hidden layers, and 1 output nodes ","[0, 62, 300, 'round rectangle', 33, 360, 'solid line', (208, 192, 224), (32, 32, 32), [1]]
[1, 125, 300, 'round rectangle', 33, 359, 'solid line', (208, 208, 208), (64, 128, 96), [2]]
[2, 187, 300, 'round rectangle', 33, 358, 'solid line', (208, 208, 208), (64, 128, 96), [3]]
[3, 250, 300, 'rectangle', 33, 314, 'solid line', (224, 224, 224), (128, 96, 64), [4]]
[4, 312, 300, 'round rectangle', 33, 313, 'solid line', (208, 208, 208), (64, 128, 96), [5]]
[5, 375, 300, 'round rectangle', 33, 312, 'solid line', (208, 208, 208), (64, 128, 96), [6]]
[6, 437, 300, 'rectangle', 33, 267, 'solid line', (224, 224, 224), (128, 96, 64), [7]]
[7, 500, 300, 'round rectangle', 33, 265, 'solid line', (208, 208, 208), (64, 128, 96), [8]]
[8, 562, 300, 'rectangle', 33, 220, 'solid line', (224, 224, 224), (128, 96, 64), [9]]
[9, 625, 300, 'round rectangle', 33, 216, 'solid line', (208, 208, 208), (64, 128, 96), [10]]
[10, 687, 300, 'rectangle', 33, 171, 'solid line', (224, 224, 224), (128, 96, 64), [11]]
[11, 750, 300, 'round rectangle', 33, 161, 'solid line', (208, 208, 208), (64, 128, 96), [12]]
[12, 812, 300, 'rectangle', 33, 116, 'solid line', (224, 224, 224), (128, 96, 64), [13]]
[13, 875, 300, 'round rectangle', 33, 315, 'solid line', (224, 224, 240), (0, 0, 0), [14]]
[14, 937, 300, 'rectangle', 33, 44, 'solid line', (240, 232, 224), (64, 64, 128), []]
","{'task_name': 'dl_model', 'shape_types': ['cnn_input', 'conv', 'conv', 'pool', 'conv', 'conv', 'pool', 'conv', 'pool', 'conv', 'pool', 'conv', 'pool', 'dense', 'dense'], 'shape_sizes': [256, 254, 252, 126, 124, 122, 61, 59, 29, 27, 13, 11, 5, 128, 1]}"
86,"Represent below as a Python list.

DL model consist of 28 x 28 input, a 3 x 3 conv layer and a 2 x 2 max pooling layer, a 3 x 3 conv layer and a 2 x 2 max pooling layer, then 256 64 and 16 nodes in each of the 3 intermediate layers, and 2 output layer nodes in the following format.

At this time, each node is represented in the format of Python list ""[node No.,
X position (px), Y position (px), shape (rectangle, round rectangle or circle),
width (px), height (px), connection line shape (solid or dashed), background color,
connection line color, list of node No. s of other nodes pointed to by the connection line]"".

At this time, the color is represented in the format of tuple (R, G, B), between 0 and 255, and
X position range is 0-1000 and Y position range is 0-600.

It is important to draw a representation of high readability.","DL model consist of 28 x 28 input, a 3 x 3 conv layer and a 2 x 2 max pooling layer, a 3 x 3 conv layer and a 2 x 2 max pooling layer, then 256 64 and 16 nodes in each of the 3 intermediate layers, and 2 output layer nodes ","[0, 100, 300, 'round rectangle', 55, 218, 'solid arrow', (208, 208, 208), (96, 64, 128), [1]]
[1, 200, 300, 'rectangle', 55, 213, 'solid arrow', (224, 224, 224), (32, 64, 48), [2]]
[2, 300, 300, 'rectangle', 55, 171, 'solid arrow', (192, 224, 208), (96, 64, 128), [3]]
[3, 400, 300, 'rectangle', 55, 161, 'solid arrow', (224, 224, 224), (32, 64, 48), [4]]
[4, 500, 300, 'rectangle', 55, 116, 'solid arrow', (192, 224, 208), (96, 64, 128), [5]]
[5, 600, 300, 'rectangle', 55, 360, 'solid arrow', (240, 240, 240), (96, 96, 96), [6]]
[6, 700, 300, 'rectangle', 55, 270, 'solid arrow', (240, 240, 240), (96, 96, 96), [7]]
[7, 800, 300, 'rectangle', 55, 183, 'solid arrow', (240, 240, 240), (96, 96, 96), [8]]
[8, 900, 300, 'rectangle', 55, 71, 'solid arrow', (192, 192, 224), (64, 64, 128), []]
","{'task_name': 'dl_model', 'shape_types': ['cnn_input', 'conv', 'pool', 'conv', 'pool', 'dense', 'dense', 'dense', 'dense'], 'shape_sizes': [28, 26, 13, 11, 5, 256, 64, 16, 2]}"
87,"Represent below as a Python list.

A deep learning model of 32 x 32 input, convolutional layer, 2x2 average pooling layer, conv layer, and then 2 * 2 pooling layer, 1024 256 nodes in each of the 2 mid layers, and 1 output size in the following format.

At this time, each node is represented in the format of Python list ""[node No.,
X position (px), Y position (px), shape (rectangle, round rectangle or circle),
width (px), height (px), connection line shape (solid or dashed), background color,
connection line color, list of node No. s of other nodes pointed to by the connection line]"".

At this time, the color is represented in the format of tuple (R, G, B), between 0 and 255, and
X position range is 0-1000 and Y position range is 0-600.

It is important to draw a representation of high readability.","A deep learning model of 32 x 32 input, convolutional layer, 2x2 average pooling layer, conv layer, and then 2 * 2 pooling layer, 1024 256 nodes in each of the 2 mid layers, and 1 output size ","[0, 500, 66, 'round rectangle', 378, 37, 'solid arrow', (208, 192, 224), (48, 32, 64), [1]]
[1, 500, 133, 'rectangle', 371, 37, 'solid arrow', (224, 208, 192), (0, 0, 0), [2]]
[2, 500, 200, 'rectangle', 299, 37, 'solid arrow', (224, 224, 224), (96, 96, 96), [3]]
[3, 500, 266, 'rectangle', 285, 37, 'solid arrow', (224, 208, 192), (0, 0, 0), [4]]
[4, 500, 333, 'rectangle', 210, 37, 'solid arrow', (224, 224, 224), (96, 96, 96), [5]]
[5, 500, 400, 'round rectangle', 750, 37, 'solid arrow', (240, 240, 240), (32, 32, 64), [6]]
[6, 500, 466, 'round rectangle', 600, 37, 'solid arrow', (240, 240, 240), (32, 32, 64), [7]]
[7, 500, 533, 'rectangle', 74, 37, 'solid arrow', (208, 192, 224), (128, 96, 64), []]
","{'task_name': 'dl_model', 'shape_types': ['cnn_input', 'conv', 'pool', 'conv', 'pool', 'dense', 'dense', 'dense'], 'shape_sizes': [32, 30, 15, 13, 6, 1024, 256, 1]}"
88,"Represent below as a Python list.

neural net consist of 32 * 32 input, a 3 x 3 conv layer and a 2 x 2 average pooling layer, a 3 x 3 convolutional layer and a 2 x 2 pooling layer, then 512, 256, 64 nodes in 3 hidden layer, and 2 output size in the following format.

At this time, each node is represented in the format of Python list ""[node No.,
X position (px), Y position (px), shape (rectangle, round rectangle or circle),
width (px), height (px), connection line shape (solid or dashed), background color,
connection line color, list of node No. s of other nodes pointed to by the connection line]"".

At this time, the color is represented in the format of tuple (R, G, B), between 0 and 255, and
X position range is 0-1000 and Y position range is 0-600.

It is important to draw a representation of high readability.","neural net consist of 32 * 32 input, a 3 x 3 conv layer and a 2 x 2 average pooling layer, a 3 x 3 convolutional layer and a 2 x 2 pooling layer, then 512, 256, 64 nodes in 3 hidden layer, and 2 output size ","[0, 100, 300, 'rectangle', 55, 201, 'solid line', (208, 192, 224), (64, 128, 96), [1]]
[1, 200, 300, 'rectangle', 55, 198, 'solid line', (224, 224, 240), (0, 0, 0), [2]]
[2, 300, 300, 'round rectangle', 55, 159, 'solid line', (208, 192, 224), (64, 48, 32), [3]]
[3, 400, 300, 'rectangle', 55, 152, 'solid line', (224, 224, 240), (0, 0, 0), [4]]
[4, 500, 300, 'round rectangle', 55, 112, 'solid line', (208, 192, 224), (64, 48, 32), [5]]
[5, 600, 300, 'round rectangle', 55, 360, 'solid line', (232, 224, 240), (96, 64, 128), [6]]
[6, 700, 300, 'round rectangle', 55, 320, 'solid line', (232, 224, 240), (96, 64, 128), [7]]
[7, 800, 300, 'round rectangle', 55, 240, 'solid line', (232, 224, 240), (96, 64, 128), [8]]
[8, 900, 300, 'rectangle', 55, 63, 'solid line', (240, 232, 224), (64, 128, 96), []]
","{'task_name': 'dl_model', 'shape_types': ['cnn_input', 'conv', 'pool', 'conv', 'pool', 'dense', 'dense', 'dense', 'dense'], 'shape_sizes': [32, 30, 15, 13, 6, 512, 256, 64, 2]}"
89,"Represent below as a Python list.

CNN of 6 input elements, and 4 nodes in hiddens, and 1 output elements in the following format.

At this time, each node is represented in the format of Python list ""[node No.,
X position (px), Y position (px), shape (rectangle, round rectangle or circle),
width (px), height (px), connection line shape (solid or dashed), background color,
connection line color, list of node No. s of other nodes pointed to by the connection line]"".

At this time, the color is represented in the format of tuple (R, G, B), between 0 and 255, and
X position range is 0-1000 and Y position range is 0-600.

It is important to draw a representation of high readability.","CNN of 6 input elements, and 4 nodes in hiddens, and 1 output elements ","[0, 232, 150, 'circle', 62, 100, 'solid arrow', (208, 192, 224), (0, 0, 0), [6, 7, 8, 9]]
[1, 339, 150, 'circle', 62, 100, 'solid arrow', (208, 192, 224), (0, 0, 0), [6, 7, 8, 9]]
[2, 446, 150, 'circle', 62, 100, 'solid arrow', (208, 192, 224), (0, 0, 0), [6, 7, 8, 9]]
[3, 553, 150, 'circle', 62, 100, 'solid arrow', (208, 192, 224), (0, 0, 0), [6, 7, 8, 9]]
[4, 660, 150, 'circle', 62, 100, 'solid arrow', (208, 192, 224), (0, 0, 0), [6, 7, 8, 9]]
[5, 767, 150, 'circle', 62, 100, 'solid arrow', (208, 192, 224), (0, 0, 0), [6, 7, 8, 9]]
[6, 314, 300, 'circle', 77, 100, 'solid arrow', (208, 208, 208), (64, 48, 32), [10]]
[7, 438, 300, 'circle', 77, 100, 'solid arrow', (208, 208, 208), (64, 48, 32), [10]]
[8, 562, 300, 'circle', 77, 100, 'solid arrow', (208, 208, 208), (64, 48, 32), [10]]
[9, 686, 300, 'circle', 77, 100, 'solid arrow', (208, 208, 208), (64, 48, 32), [10]]
[10, 500, 450, 'circle', 133, 100, 'solid arrow', (255, 255, 255), (64, 128, 96), []]
","{'task_name': 'dl_model', 'shape_types': ['dense', 'dense', 'dense'], 'shape_sizes': [6, 4, 1]}"
90,"Represent below as a Python list.

NN with 64 * 64 input, 3*3 conv layer, 2 x 2 pooling layer, 3 x 3 conv layer, and pooling layer, then 3 * 3 conv layer, and then 2*2 pooling layer, then 1024, and 256 nodes in the hidden layers, and 1 output size in the following format.

At this time, each node is represented in the format of Python list ""[node No.,
X position (px), Y position (px), shape (rectangle, round rectangle or circle),
width (px), height (px), connection line shape (solid or dashed), background color,
connection line color, list of node No. s of other nodes pointed to by the connection line]"".

At this time, the color is represented in the format of tuple (R, G, B), between 0 and 255, and
X position range is 0-1000 and Y position range is 0-600.

It is important to draw a representation of high readability.","NN with 64 * 64 input, 3*3 conv layer, 2 x 2 pooling layer, 3 x 3 conv layer, and pooling layer, then 3 * 3 conv layer, and then 2*2 pooling layer, then 1024, and 256 nodes in the hidden layers, and 1 output size ","[0, 90, 300, 'rectangle', 50, 216, 'solid arrow', (240, 240, 240), (48, 32, 64), [1]]
[1, 181, 300, 'round rectangle', 50, 215, 'solid arrow', (208, 192, 224), (64, 128, 96), [2]]
[2, 272, 300, 'rectangle', 50, 179, 'solid arrow', (224, 240, 232), (96, 96, 96), [3]]
[3, 363, 300, 'round rectangle', 50, 176, 'solid arrow', (208, 192, 224), (64, 128, 96), [4]]
[4, 454, 300, 'rectangle', 50, 140, 'solid arrow', (224, 240, 232), (96, 96, 96), [5]]
[5, 545, 300, 'round rectangle', 50, 133, 'solid arrow', (208, 192, 224), (64, 128, 96), [6]]
[6, 636, 300, 'rectangle', 50, 101, 'solid arrow', (224, 240, 232), (96, 96, 96), [7]]
[7, 727, 300, 'round rectangle', 50, 360, 'solid arrow', (192, 224, 208), (64, 48, 32), [8]]
[8, 818, 300, 'round rectangle', 50, 288, 'solid arrow', (192, 224, 208), (64, 48, 32), [9]]
[9, 909, 300, 'round rectangle', 50, 35, 'solid arrow', (240, 240, 240), (128, 96, 64), []]
","{'task_name': 'dl_model', 'shape_types': ['cnn_input', 'conv', 'pool', 'conv', 'pool', 'conv', 'pool', 'dense', 'dense', 'dense'], 'shape_sizes': [64, 62, 31, 29, 14, 12, 6, 1024, 256, 1]}"
91,"Represent below as a Python list.

A deep learning model of 32 x 32 input, a 3 x 3 convolutional layer and a 2 x 2 pooling layer, a 3 x 3 convolutional layer and a 2 x 2 pooling layer, 1024 256 and 64 nodes in intermediate layers, and 1 output nodes in the following format.

At this time, each node is represented in the format of Python list ""[node No.,
X position (px), Y position (px), shape (rectangle, round rectangle or circle),
width (px), height (px), connection line shape (solid or dashed), background color,
connection line color, list of node No. s of other nodes pointed to by the connection line]"".

At this time, the color is represented in the format of tuple (R, G, B), between 0 and 255, and
X position range is 0-1000 and Y position range is 0-600.

It is important to draw a representation of high readability.","A deep learning model of 32 x 32 input, a 3 x 3 convolutional layer and a 2 x 2 pooling layer, a 3 x 3 convolutional layer and a 2 x 2 pooling layer, 1024 256 and 64 nodes in intermediate layers, and 1 output nodes ","[0, 100, 300, 'rectangle', 55, 181, 'solid arrow', (240, 232, 224), (128, 96, 64), [1]]
[1, 200, 300, 'round rectangle', 55, 178, 'solid arrow', (192, 224, 208), (48, 32, 64), [2]]
[2, 300, 300, 'rectangle', 55, 143, 'solid arrow', (224, 224, 224), (64, 128, 96), [3]]
[3, 400, 300, 'round rectangle', 55, 137, 'solid arrow', (192, 224, 208), (48, 32, 64), [4]]
[4, 500, 300, 'rectangle', 55, 101, 'solid arrow', (224, 224, 224), (64, 128, 96), [5]]
[5, 600, 300, 'rectangle', 55, 360, 'solid arrow', (240, 240, 240), (64, 64, 128), [6]]
[6, 700, 300, 'rectangle', 55, 288, 'solid arrow', (240, 240, 240), (64, 64, 128), [7]]
[7, 800, 300, 'rectangle', 55, 216, 'solid arrow', (240, 240, 240), (64, 64, 128), [8]]
[8, 900, 300, 'rectangle', 55, 35, 'solid arrow', (224, 208, 192), (0, 0, 0), []]
","{'task_name': 'dl_model', 'shape_types': ['cnn_input', 'conv', 'pool', 'conv', 'pool', 'dense', 'dense', 'dense', 'dense'], 'shape_sizes': [32, 30, 15, 13, 6, 1024, 256, 64, 1]}"
92,"Represent below as a Python list.

CNN model with 6 input nodes, 3, 11, 7 nodes in each of the 3 intermediate layers, and 2 output elements in the following format.

At this time, each node is represented in the format of Python list ""[node No.,
X position (px), Y position (px), shape (rectangle, round rectangle or circle),
width (px), height (px), connection line shape (solid or dashed), background color,
connection line color, list of node No. s of other nodes pointed to by the connection line]"".

At this time, the color is represented in the format of tuple (R, G, B), between 0 and 255, and
X position range is 0-1000 and Y position range is 0-600.

It is important to draw a representation of high readability.","CNN model with 6 input nodes, 3, 11, 7 nodes in each of the 3 intermediate layers, and 2 output elements ","[0, 500, 100, 'rectangle', 587, 60, 'solid line', (224, 224, 240), (64, 128, 96), [1]]
[1, 500, 200, 'round rectangle', 418, 60, 'solid line', (224, 208, 192), (128, 96, 64), [2]]
[2, 500, 300, 'round rectangle', 750, 60, 'solid line', (224, 208, 192), (128, 96, 64), [3]]
[3, 500, 400, 'round rectangle', 627, 60, 'solid line', (224, 208, 192), (128, 96, 64), [4]]
[4, 500, 500, 'rectangle', 331, 60, 'solid line', (224, 224, 224), (64, 64, 64), []]
","{'task_name': 'dl_model', 'shape_types': ['dense', 'dense', 'dense', 'dense', 'dense'], 'shape_sizes': [6, 3, 11, 7, 2]}"
93,"Represent below as a Python list.

A deep learning model with 256 * 256 input, a 3 x 3 conv layer and a 2 x 2 pooling layer, then a 3 x 3 conv layer and a 2 x 2 pooling layer, 2 3 x 3 convolutional layers and a 2 x 2 max pooling layer, a 3 x 3 convolutional layer and a 2 x 2 pooling layer, then a 3 x 3 conv layer and a 2 x 2 pooling layer, then and 64 nodes in intermediate layers, and 2 output nodes in the following format.

At this time, each node is represented in the format of Python list ""[node No.,
X position (px), Y position (px), shape (rectangle, round rectangle or circle),
width (px), height (px), connection line shape (solid or dashed), background color,
connection line color, list of node No. s of other nodes pointed to by the connection line]"".

At this time, the color is represented in the format of tuple (R, G, B), between 0 and 255, and
X position range is 0-1000 and Y position range is 0-600.

It is important to draw a representation of high readability.","A deep learning model with 256 * 256 input, a 3 x 3 conv layer and a 2 x 2 pooling layer, then a 3 x 3 conv layer and a 2 x 2 pooling layer, 2 3 x 3 convolutional layers and a 2 x 2 max pooling layer, a 3 x 3 convolutional layer and a 2 x 2 pooling layer, then a 3 x 3 conv layer and a 2 x 2 pooling layer, then and 64 nodes in intermediate layers, and 2 output nodes ","[0, 66, 300, 'rectangle', 35, 360, 'solid line', (208, 208, 208), (64, 64, 64), [1]]
[1, 133, 300, 'rectangle', 35, 359, 'solid line', (240, 232, 224), (0, 0, 0), [2]]
[2, 200, 300, 'round rectangle', 35, 314, 'solid line', (224, 224, 240), (128, 96, 64), [3]]
[3, 266, 300, 'rectangle', 35, 313, 'solid line', (240, 232, 224), (0, 0, 0), [4]]
[4, 333, 300, 'round rectangle', 35, 268, 'solid line', (224, 224, 240), (128, 96, 64), [5]]
[5, 400, 300, 'rectangle', 35, 266, 'solid line', (240, 232, 224), (0, 0, 0), [6]]
[6, 466, 300, 'rectangle', 35, 264, 'solid line', (240, 232, 224), (0, 0, 0), [7]]
[7, 533, 300, 'round rectangle', 35, 220, 'solid line', (224, 224, 240), (128, 96, 64), [8]]
[8, 600, 300, 'rectangle', 35, 216, 'solid line', (240, 232, 224), (0, 0, 0), [9]]
[9, 666, 300, 'round rectangle', 35, 171, 'solid line', (224, 224, 240), (128, 96, 64), [10]]
[10, 733, 300, 'rectangle', 35, 161, 'solid line', (240, 232, 224), (0, 0, 0), [11]]
[11, 800, 300, 'round rectangle', 35, 116, 'solid line', (224, 224, 240), (128, 96, 64), [12]]
[12, 866, 300, 'rectangle', 35, 270, 'solid line', (224, 224, 240), (64, 64, 64), [13]]
[13, 933, 300, 'round rectangle', 35, 71, 'solid line', (192, 192, 224), (64, 128, 96), []]
","{'task_name': 'dl_model', 'shape_types': ['cnn_input', 'conv', 'pool', 'conv', 'pool', 'conv', 'conv', 'pool', 'conv', 'pool', 'conv', 'pool', 'dense', 'dense'], 'shape_sizes': [256, 254, 127, 125, 62, 60, 58, 29, 27, 13, 11, 5, 64, 2]}"
94,"Represent below as a Python list.

A deep learning model with 28 * 28 input, 3*3 conv layer, and pooling layer, convolutional layer, and 3*3 convolutional layer, then max pooling layer, then 512, 256, 64 nodes in each of the 3 hiddens, and 2 output nodes in the following format.

At this time, each node is represented in the format of Python list ""[node No.,
X position (px), Y position (px), shape (rectangle, round rectangle or circle),
width (px), height (px), connection line shape (solid or dashed), background color,
connection line color, list of node No. s of other nodes pointed to by the connection line]"".

At this time, the color is represented in the format of tuple (R, G, B), between 0 and 255, and
X position range is 0-1000 and Y position range is 0-600.

It is important to draw a representation of high readability.","A deep learning model with 28 * 28 input, 3*3 conv layer, and pooling layer, convolutional layer, and 3*3 convolutional layer, then max pooling layer, then 512, 256, 64 nodes in each of the 3 hiddens, and 2 output nodes ","[0, 90, 300, 'rectangle', 50, 194, 'solid line', (240, 232, 224), (96, 64, 128), [1]]
[1, 181, 300, 'round rectangle', 50, 190, 'solid line', (224, 240, 232), (48, 32, 64), [2]]
[2, 272, 300, 'round rectangle', 50, 152, 'solid line', (192, 192, 224), (64, 128, 96), [3]]
[3, 363, 300, 'round rectangle', 50, 143, 'solid line', (224, 240, 232), (48, 32, 64), [4]]
[4, 454, 300, 'round rectangle', 50, 132, 'solid line', (224, 240, 232), (48, 32, 64), [5]]
[5, 545, 300, 'round rectangle', 50, 92, 'solid line', (192, 192, 224), (64, 128, 96), [6]]
[6, 636, 300, 'round rectangle', 50, 360, 'solid line', (224, 240, 232), (64, 64, 64), [7]]
[7, 727, 300, 'round rectangle', 50, 320, 'solid line', (224, 240, 232), (64, 64, 64), [8]]
[8, 818, 300, 'round rectangle', 50, 240, 'solid line', (224, 240, 232), (64, 64, 64), [9]]
[9, 909, 300, 'round rectangle', 50, 63, 'solid line', (208, 208, 208), (128, 96, 64), []]
","{'task_name': 'dl_model', 'shape_types': ['cnn_input', 'conv', 'pool', 'conv', 'conv', 'pool', 'dense', 'dense', 'dense', 'dense'], 'shape_sizes': [28, 26, 13, 11, 9, 4, 512, 256, 64, 2]}"
95,"Represent below as a Python list.

A deep learning model with 768 x 768 input, a 3 x 3 conv layer and a 2 x 2 max pooling layer, then a 3 x 3 conv layer and a 2 x 2 pooling layer, a 3 x 3 conv layer and a 2 x 2 pooling layer, a 3 x 3 convolutional layer and a 2 x 2 average pooling layer, then 2 3 x 3 convolutional layers and a 2 x 2 pooling layer, then a 3 x 3 convolutional layer and a 2 x 2 pooling layer, then 2 3 x 3 conv layers and a 2 x 2 pooling layer, 1024, 64 nodes in hidden layers, and 1 output elements in the following format.

At this time, each node is represented in the format of Python list ""[node No.,
X position (px), Y position (px), shape (rectangle, round rectangle or circle),
width (px), height (px), connection line shape (solid or dashed), background color,
connection line color, list of node No. s of other nodes pointed to by the connection line]"".

At this time, the color is represented in the format of tuple (R, G, B), between 0 and 255, and
X position range is 0-1000 and Y position range is 0-600.

It is important to draw a representation of high readability.","A deep learning model with 768 x 768 input, a 3 x 3 conv layer and a 2 x 2 max pooling layer, then a 3 x 3 conv layer and a 2 x 2 pooling layer, a 3 x 3 conv layer and a 2 x 2 pooling layer, a 3 x 3 convolutional layer and a 2 x 2 average pooling layer, then 2 3 x 3 convolutional layers and a 2 x 2 pooling layer, then a 3 x 3 convolutional layer and a 2 x 2 pooling layer, then 2 3 x 3 conv layers and a 2 x 2 pooling layer, 1024, 64 nodes in hidden layers, and 1 output elements ","[0, 47, 300, 'rectangle', 25, 345, 'solid line', (224, 240, 232), (96, 96, 96), [1]]
[1, 95, 300, 'round rectangle', 25, 344, 'solid line', (224, 224, 240), (64, 128, 96), [2]]
[2, 142, 300, 'round rectangle', 25, 309, 'solid line', (192, 224, 208), (32, 64, 48), [3]]
[3, 190, 300, 'round rectangle', 25, 308, 'solid line', (224, 224, 240), (64, 128, 96), [4]]
[4, 238, 300, 'round rectangle', 25, 272, 'solid line', (192, 224, 208), (32, 64, 48), [5]]
[5, 285, 300, 'round rectangle', 25, 272, 'solid line', (224, 224, 240), (64, 128, 96), [6]]
[6, 333, 300, 'round rectangle', 25, 236, 'solid line', (192, 224, 208), (32, 64, 48), [7]]
[7, 380, 300, 'round rectangle', 25, 235, 'solid line', (224, 224, 240), (64, 128, 96), [8]]
[8, 428, 300, 'round rectangle', 25, 199, 'solid line', (192, 224, 208), (32, 64, 48), [9]]
[9, 476, 300, 'round rectangle', 25, 197, 'solid line', (224, 224, 240), (64, 128, 96), [10]]
[10, 523, 300, 'round rectangle', 25, 195, 'solid line', (224, 224, 240), (64, 128, 96), [11]]
[11, 571, 300, 'round rectangle', 25, 160, 'solid line', (192, 224, 208), (32, 64, 48), [12]]
[12, 619, 300, 'round rectangle', 25, 155, 'solid line', (224, 224, 240), (64, 128, 96), [13]]
[13, 666, 300, 'round rectangle', 25, 119, 'solid line', (192, 224, 208), (32, 64, 48), [14]]
[14, 714, 300, 'round rectangle', 25, 107, 'solid line', (224, 224, 240), (64, 128, 96), [15]]
[15, 761, 300, 'round rectangle', 25, 93, 'solid line', (224, 224, 240), (64, 128, 96), [16]]
[16, 809, 300, 'round rectangle', 25, 57, 'solid line', (192, 224, 208), (32, 64, 48), [17]]
[17, 857, 300, 'rectangle', 25, 360, 'solid line', (240, 232, 224), (64, 64, 64), [18]]
[18, 904, 300, 'rectangle', 25, 216, 'solid line', (240, 232, 224), (64, 64, 64), [19]]
[19, 952, 300, 'rectangle', 25, 35, 'solid line', (224, 240, 232), (64, 128, 96), []]
","{'task_name': 'dl_model', 'shape_types': ['cnn_input', 'conv', 'pool', 'conv', 'pool', 'conv', 'pool', 'conv', 'pool', 'conv', 'conv', 'pool', 'conv', 'pool', 'conv', 'conv', 'pool', 'dense', 'dense', 'dense'], 'shape_sizes': [768, 766, 383, 381, 190, 188, 94, 92, 46, 44, 42, 21, 19, 9, 7, 5, 2, 1024, 64, 1]}"
96,"Represent below as a Python list.

NN model with 64 x 64 input, conv layer, and then average pooling layer, then 3*3 conv layer, 2 x 2 pooling layer, then 3*3 convolutional layer, and then convolutional layer (output is 10 x 10), 2 * 2 pooling layer, and 1024 nodes in mid layers, and 1 output layer nodes in the following format.

At this time, each node is represented in the format of Python list ""[node No.,
X position (px), Y position (px), shape (rectangle, round rectangle or circle),
width (px), height (px), connection line shape (solid or dashed), background color,
connection line color, list of node No. s of other nodes pointed to by the connection line]"".

At this time, the color is represented in the format of tuple (R, G, B), between 0 and 255, and
X position range is 0-1000 and Y position range is 0-600.

It is important to draw a representation of high readability.","NN model with 64 x 64 input, conv layer, and then average pooling layer, then 3*3 conv layer, 2 x 2 pooling layer, then 3*3 convolutional layer, and then convolutional layer (output is 10 x 10), 2 * 2 pooling layer, and 1024 nodes in mid layers, and 1 output layer nodes ","[0, 90, 300, 'round rectangle', 50, 216, 'solid arrow', (255, 255, 255), (96, 64, 128), [1]]
[1, 181, 300, 'round rectangle', 50, 215, 'solid arrow', (232, 224, 240), (128, 96, 64), [2]]
[2, 272, 300, 'round rectangle', 50, 179, 'solid arrow', (192, 224, 208), (64, 128, 96), [3]]
[3, 363, 300, 'round rectangle', 50, 176, 'solid arrow', (232, 224, 240), (128, 96, 64), [4]]
[4, 454, 300, 'round rectangle', 50, 140, 'solid arrow', (192, 224, 208), (64, 128, 96), [5]]
[5, 545, 300, 'round rectangle', 50, 133, 'solid arrow', (232, 224, 240), (128, 96, 64), [6]]
[6, 636, 300, 'round rectangle', 50, 124, 'solid arrow', (232, 224, 240), (128, 96, 64), [7]]
[7, 727, 300, 'round rectangle', 50, 93, 'solid arrow', (192, 224, 208), (64, 128, 96), [8]]
[8, 818, 300, 'round rectangle', 50, 360, 'solid arrow', (192, 224, 208), (32, 32, 64), [9]]
[9, 909, 300, 'round rectangle', 50, 35, 'solid arrow', (224, 224, 224), (64, 128, 96), []]
","{'task_name': 'dl_model', 'shape_types': ['cnn_input', 'conv', 'pool', 'conv', 'pool', 'conv', 'conv', 'pool', 'dense', 'dense'], 'shape_sizes': [64, 62, 31, 29, 14, 12, 10, 5, 1024, 1]}"
