{'loss': 0.4184, 'grad_norm': 0.6823576092720032, 'learning_rate': 0.00019964285714285716, 'epoch': 0.0}
{'loss': 0.2114, 'grad_norm': 0.37120890617370605, 'learning_rate': 0.0001892857142857143, 'epoch': 0.11}
{'loss': 0.2246, 'grad_norm': 0.3855782151222229, 'learning_rate': 0.00018892857142857144, 'epoch': 0.11}
{'loss': 0.1856, 'grad_norm': 0.2852143347263336, 'learning_rate': 0.00018857142857142857, 'epoch': 0.11}
{'loss': 0.2067, 'grad_norm': 0.35625842213630676, 'learning_rate': 0.00018821428571428572, 'epoch': 0.12}
{'loss': 0.2328, 'grad_norm': 0.3687747120857239, 'learning_rate': 0.00018785714285714288, 'epoch': 0.12}
{'loss': 0.2444, 'grad_norm': 0.5116374492645264, 'learning_rate': 0.0001875, 'epoch': 0.12}
{'loss': 0.2415, 'grad_norm': 0.38269516825675964, 'learning_rate': 0.00018714285714285716, 'epoch': 0.13}
{'loss': 0.2155, 'grad_norm': 0.3346329927444458, 'learning_rate': 0.00018678571428571428, 'epoch': 0.13}
{'loss': 0.1974, 'grad_norm': 0.33427760004997253, 'learning_rate': 0.00018642857142857144, 'epoch': 0.14}
{'loss': 0.1551, 'grad_norm': 0.33055803179740906, 'learning_rate': 0.0001860714285714286, 'epoch': 0.14}
{'loss': 0.1856, 'grad_norm': 0.32249051332473755, 'learning_rate': 0.00018571428571428572, 'epoch': 0.14}
{'loss': 0.2051, 'grad_norm': 0.41240358352661133, 'learning_rate': 0.00018535714285714287, 'epoch': 0.15}
{'loss': 0.2305, 'grad_norm': 0.3674010634422302, 'learning_rate': 0.00018500000000000002, 'epoch': 0.15}
{'loss': 0.167, 'grad_norm': 0.2785853445529938, 'learning_rate': 0.00018464285714285715, 'epoch': 0.15}
{'loss': 0.228, 'grad_norm': 0.3731118440628052, 'learning_rate': 0.00018428571428571428, 'epoch': 0.16}
{'loss': 0.2031, 'grad_norm': 0.26448315382003784, 'learning_rate': 0.00018392857142857143, 'epoch': 0.16}
{'loss': 0.1748, 'grad_norm': 0.2729682922363281, 'learning_rate': 0.00018357142857142858, 'epoch': 0.16}
{'loss': 0.185, 'grad_norm': 0.5078142285346985, 'learning_rate': 0.0001832142857142857, 'epoch': 0.17}
{'loss': 0.1901, 'grad_norm': 0.31334081292152405, 'learning_rate': 0.00018285714285714286, 'epoch': 0.17}
{'loss': 0.1528, 'grad_norm': 0.21982252597808838, 'learning_rate': 0.0001825, 'epoch': 0.17}
{'loss': 0.1909, 'grad_norm': 0.32007089257240295, 'learning_rate': 0.00018214285714285714, 'epoch': 0.18}
{'loss': 0.2204, 'grad_norm': 0.3233071565628052, 'learning_rate': 0.0001817857142857143, 'epoch': 0.18}
{'loss': 0.2035, 'grad_norm': 0.39477020502090454, 'learning_rate': 0.00018142857142857142, 'epoch': 0.19}
{'loss': 0.1862, 'grad_norm': 0.24138183891773224, 'learning_rate': 0.00018107142857142858, 'epoch': 0.19}
{'loss': 0.222, 'grad_norm': 0.3913297653198242, 'learning_rate': 0.00018071428571428573, 'epoch': 0.19}
{'loss': 0.1658, 'grad_norm': 0.2721571922302246, 'learning_rate': 0.00018035714285714286, 'epoch': 0.2}
{'loss': 0.1627, 'grad_norm': 0.26786819100379944, 'learning_rate': 0.00018, 'epoch': 0.2}
{'loss': 0.2074, 'grad_norm': 0.3815588057041168, 'learning_rate': 0.00017964285714285716, 'epoch': 0.2}
{'loss': 0.1711, 'grad_norm': 0.3015132248401642, 'learning_rate': 0.0001792857142857143, 'epoch': 0.21}
{'loss': 0.1781, 'grad_norm': 0.25223514437675476, 'learning_rate': 0.00017892857142857144, 'epoch': 0.21}
{'loss': 0.1876, 'grad_norm': 0.3384186029434204, 'learning_rate': 0.0001785714285714286, 'epoch': 0.21}
{'loss': 0.1831, 'grad_norm': 0.3126012086868286, 'learning_rate': 0.00017821428571428572, 'epoch': 0.22}
{'loss': 0.1423, 'grad_norm': 0.2863266170024872, 'learning_rate': 0.00017785714285714285, 'epoch': 0.22}
{'loss': 0.1903, 'grad_norm': 0.35243815183639526, 'learning_rate': 0.0001775, 'epoch': 0.23}
{'loss': 0.1957, 'grad_norm': 0.39112338423728943, 'learning_rate': 0.00017714285714285713, 'epoch': 0.23}
{'loss': 0.1479, 'grad_norm': 0.24782238900661469, 'learning_rate': 0.00017678571428571428, 'epoch': 0.23}
{'loss': 0.1805, 'grad_norm': 0.2973741590976715, 'learning_rate': 0.00017642857142857144, 'epoch': 0.24}
{'loss': 0.1392, 'grad_norm': 0.30524128675460815, 'learning_rate': 0.00017607142857142856, 'epoch': 0.24}
{'loss': 0.1692, 'grad_norm': 0.31045544147491455, 'learning_rate': 0.00017571428571428572, 'epoch': 0.24}
{'loss': 0.1992, 'grad_norm': 0.3406315743923187, 'learning_rate': 0.00017535714285714287, 'epoch': 0.25}
{'loss': 0.1536, 'grad_norm': 0.273777037858963, 'learning_rate': 0.000175, 'epoch': 0.25}
{'loss': 0.1592, 'grad_norm': 0.3272540271282196, 'learning_rate': 0.00017464285714285715, 'epoch': 0.25}
{'loss': 0.1955, 'grad_norm': 0.3665485382080078, 'learning_rate': 0.0001742857142857143, 'epoch': 0.26}
{'loss': 0.1519, 'grad_norm': 0.2524781823158264, 'learning_rate': 0.00017392857142857143, 'epoch': 0.26}
{'loss': 0.173, 'grad_norm': 0.33996427059173584, 'learning_rate': 0.00017357142857142859, 'epoch': 0.26}
{'loss': 0.1656, 'grad_norm': 0.37660783529281616, 'learning_rate': 0.00017321428571428574, 'epoch': 0.27}
{'loss': 0.1723, 'grad_norm': 0.28408774733543396, 'learning_rate': 0.00017285714285714287, 'epoch': 0.27}
{'loss': 0.1717, 'grad_norm': 0.30210426449775696, 'learning_rate': 0.00017250000000000002, 'epoch': 0.28}
{'loss': 0.1689, 'grad_norm': 0.37229323387145996, 'learning_rate': 0.00017214285714285717, 'epoch': 0.28}
{'loss': 0.155, 'grad_norm': 0.41617175936698914, 'learning_rate': 0.00017178571428571427, 'epoch': 0.28}
{'loss': 0.1476, 'grad_norm': 0.2689320147037506, 'learning_rate': 0.00017142857142857143, 'epoch': 0.29}
{'loss': 0.1653, 'grad_norm': 0.3641788363456726, 'learning_rate': 0.00017107142857142858, 'epoch': 0.29}
{'loss': 0.1522, 'grad_norm': 0.31283384561538696, 'learning_rate': 0.0001707142857142857, 'epoch': 0.29}
{'loss': 0.1997, 'grad_norm': 0.4037805497646332, 'learning_rate': 0.00017035714285714286, 'epoch': 0.3}
{'loss': 0.1361, 'grad_norm': 0.28567519783973694, 'learning_rate': 0.00017, 'epoch': 0.3}
{'loss': 0.1762, 'grad_norm': 0.329880028963089, 'learning_rate': 0.00016964285714285714, 'epoch': 0.3}
{'loss': 0.1263, 'grad_norm': 0.2411152422428131, 'learning_rate': 0.0001692857142857143, 'epoch': 0.31}
{'loss': 0.1352, 'grad_norm': 0.2678086459636688, 'learning_rate': 0.00016892857142857145, 'epoch': 0.31}
{'loss': 0.1697, 'grad_norm': 0.38571739196777344, 'learning_rate': 0.00016857142857142857, 'epoch': 0.31}
{'loss': 0.15, 'grad_norm': 0.2982885241508484, 'learning_rate': 0.00016821428571428573, 'epoch': 0.32}
{'loss': 0.123, 'grad_norm': 0.3038891553878784, 'learning_rate': 0.00016785714285714288, 'epoch': 0.32}
{'loss': 0.1534, 'grad_norm': 0.3193089962005615, 'learning_rate': 0.0001675, 'epoch': 0.33}
{'loss': 0.1274, 'grad_norm': 0.6498916149139404, 'learning_rate': 0.00016714285714285716, 'epoch': 0.33}
{'loss': 0.1621, 'grad_norm': 0.41018515825271606, 'learning_rate': 0.0001667857142857143, 'epoch': 0.33}
{'loss': 0.1891, 'grad_norm': 0.3886290490627289, 'learning_rate': 0.00016642857142857144, 'epoch': 0.34}
{'loss': 0.1702, 'grad_norm': 0.4659683406352997, 'learning_rate': 0.0001660714285714286, 'epoch': 0.34}
{'loss': 0.1557, 'grad_norm': 0.29721084237098694, 'learning_rate': 0.00016571428571428575, 'epoch': 0.34}
{'loss': 0.1624, 'grad_norm': 0.36458197236061096, 'learning_rate': 0.00016535714285714285, 'epoch': 0.35}
{'loss': 0.141, 'grad_norm': 0.29796162247657776, 'learning_rate': 0.000165, 'epoch': 0.35}
{'loss': 0.1574, 'grad_norm': 0.32246845960617065, 'learning_rate': 0.00016464285714285715, 'epoch': 0.35}
{'loss': 0.1679, 'grad_norm': 0.32326626777648926, 'learning_rate': 0.00016428571428571428, 'epoch': 0.36}
{'loss': 0.1769, 'grad_norm': 0.2939331829547882, 'learning_rate': 0.00016392857142857143, 'epoch': 0.36}
{'loss': 0.1524, 'grad_norm': 0.41873982548713684, 'learning_rate': 0.00016357142857142859, 'epoch': 0.36}
{'loss': 0.0901, 'grad_norm': 0.23803435266017914, 'learning_rate': 0.0001632142857142857, 'epoch': 0.37}
{'loss': 0.1609, 'grad_norm': 0.40573614835739136, 'learning_rate': 0.00016285714285714287, 'epoch': 0.37}
{'loss': 0.1856, 'grad_norm': 0.4000115394592285, 'learning_rate': 0.00016250000000000002, 'epoch': 0.38}
{'loss': 0.1587, 'grad_norm': 0.3128144145011902, 'learning_rate': 0.00016214285714285715, 'epoch': 0.38}
{'loss': 0.1472, 'grad_norm': 0.313568651676178, 'learning_rate': 0.0001617857142857143, 'epoch': 0.38}
{'loss': 0.155, 'grad_norm': 0.3159874975681305, 'learning_rate': 0.00016142857142857145, 'epoch': 0.39}
{'loss': 0.127, 'grad_norm': 0.2608104348182678, 'learning_rate': 0.00016107142857142858, 'epoch': 0.39}
{'loss': 0.1413, 'grad_norm': 0.4059154987335205, 'learning_rate': 0.00016071428571428573, 'epoch': 0.39}
{'loss': 0.1022, 'grad_norm': 0.24679403007030487, 'learning_rate': 0.00016035714285714286, 'epoch': 0.4}
{'loss': 0.1183, 'grad_norm': 0.24095524847507477, 'learning_rate': 0.00016, 'epoch': 0.4}
{'loss': 0.1545, 'grad_norm': 0.3209441304206848, 'learning_rate': 0.00015964285714285717, 'epoch': 0.4}
{'loss': 0.1258, 'grad_norm': 0.32843199372291565, 'learning_rate': 0.0001592857142857143, 'epoch': 0.41}
{'loss': 0.1308, 'grad_norm': 0.30387845635414124, 'learning_rate': 0.00015892857142857142, 'epoch': 0.41}
{'loss': 0.1038, 'grad_norm': 0.379619300365448, 'learning_rate': 0.00015857142857142857, 'epoch': 0.41}
{'loss': 0.1479, 'grad_norm': 0.4037126302719116, 'learning_rate': 0.00015821428571428573, 'epoch': 0.42}
{'loss': 0.1477, 'grad_norm': 0.38280031085014343, 'learning_rate': 0.00015785714285714285, 'epoch': 0.42}
{'loss': 0.1758, 'grad_norm': 0.4011780023574829, 'learning_rate': 0.0001575, 'epoch': 0.42}
{'loss': 0.1285, 'grad_norm': 0.2371709942817688, 'learning_rate': 0.00015714285714285716, 'epoch': 0.43}
{'loss': 0.221, 'grad_norm': 0.4781549572944641, 'learning_rate': 0.0001567857142857143, 'epoch': 0.43}
{'loss': 0.1241, 'grad_norm': 0.3209943473339081, 'learning_rate': 0.00015642857142857144, 'epoch': 0.44}
{'loss': 0.1519, 'grad_norm': 0.41222134232521057, 'learning_rate': 0.00015607142857142857, 'epoch': 0.44}
{'loss': 0.0972, 'grad_norm': 0.19801858067512512, 'learning_rate': 0.00015571428571428572, 'epoch': 0.44}
{'loss': 0.1969, 'grad_norm': 0.4114055037498474, 'learning_rate': 0.00015535714285714287, 'epoch': 0.45}
{'loss': 0.1081, 'grad_norm': 0.26885533332824707, 'learning_rate': 0.000155, 'epoch': 0.45}
{'loss': 0.1764, 'grad_norm': 0.35903090238571167, 'learning_rate': 0.00015464285714285715, 'epoch': 0.45}
{'loss': 0.1399, 'grad_norm': 0.25748205184936523, 'learning_rate': 0.0001542857142857143, 'epoch': 0.46}
{'loss': 0.0906, 'grad_norm': 0.19245105981826782, 'learning_rate': 0.00015392857142857143, 'epoch': 0.46}
{'loss': 0.1932, 'grad_norm': 0.38306787610054016, 'learning_rate': 0.0001535714285714286, 'epoch': 0.46}
{'loss': 0.142, 'grad_norm': 0.2943907380104065, 'learning_rate': 0.00015321428571428574, 'epoch': 0.47}
{'loss': 0.1073, 'grad_norm': 0.24623531103134155, 'learning_rate': 0.00015285714285714287, 'epoch': 0.47}
{'loss': 0.1023, 'grad_norm': 0.21457348763942719, 'learning_rate': 0.0001525, 'epoch': 0.47}
{'loss': 0.0863, 'grad_norm': 0.1732192039489746, 'learning_rate': 0.00015214285714285715, 'epoch': 0.48}
{'loss': 0.1515, 'grad_norm': 0.3380831480026245, 'learning_rate': 0.00015178571428571427, 'epoch': 0.48}
{'loss': 0.1877, 'grad_norm': 0.3808293342590332, 'learning_rate': 0.00015142857142857143, 'epoch': 0.49}
{'loss': 0.1654, 'grad_norm': 0.3484942615032196, 'learning_rate': 0.00015107142857142858, 'epoch': 0.49}
{'loss': 0.153, 'grad_norm': 0.3571819067001343, 'learning_rate': 0.0001507142857142857, 'epoch': 0.49}
{'loss': 0.1221, 'grad_norm': 0.2744554281234741, 'learning_rate': 0.00015035714285714286, 'epoch': 0.5}
{'loss': 0.1632, 'grad_norm': 0.3559669554233551, 'learning_rate': 0.00015000000000000001, 'epoch': 0.5}
{'loss': 0.1325, 'grad_norm': 0.28654909133911133, 'learning_rate': 0.00014964285714285714, 'epoch': 0.5}
{'loss': 0.1834, 'grad_norm': 0.3040119409561157, 'learning_rate': 0.0001492857142857143, 'epoch': 0.51}
{'loss': 0.1793, 'grad_norm': 0.4094572067260742, 'learning_rate': 0.00014892857142857145, 'epoch': 0.51}
{'loss': 0.1406, 'grad_norm': 0.3471830487251282, 'learning_rate': 0.00014857142857142857, 'epoch': 0.51}
{'loss': 0.1566, 'grad_norm': 0.3528691232204437, 'learning_rate': 0.00014821428571428573, 'epoch': 0.52}
{'loss': 0.1892, 'grad_norm': 0.5738664269447327, 'learning_rate': 0.00014785714285714288, 'epoch': 0.52}
{'loss': 0.1237, 'grad_norm': 0.3915485143661499, 'learning_rate': 0.0001475, 'epoch': 0.53}
{'loss': 0.1468, 'grad_norm': 0.2918227016925812, 'learning_rate': 0.00014714285714285716, 'epoch': 0.53}
{'loss': 0.1508, 'grad_norm': 0.43877801299095154, 'learning_rate': 0.0001467857142857143, 'epoch': 0.53}
{'loss': 0.1407, 'grad_norm': 0.3244999945163727, 'learning_rate': 0.00014642857142857141, 'epoch': 0.54}
{'loss': 0.1393, 'grad_norm': 0.28508296608924866, 'learning_rate': 0.00014607142857142857, 'epoch': 0.54}
{'loss': 0.11, 'grad_norm': 0.23672069609165192, 'learning_rate': 0.00014571428571428572, 'epoch': 0.54}
{'loss': 0.185, 'grad_norm': 0.4348202645778656, 'learning_rate': 0.00014535714285714285, 'epoch': 0.55}
{'loss': 0.1306, 'grad_norm': 0.34567469358444214, 'learning_rate': 0.000145, 'epoch': 0.55}
{'loss': 0.1398, 'grad_norm': 0.26796188950538635, 'learning_rate': 0.00014464285714285715, 'epoch': 0.55}
{'loss': 0.1397, 'grad_norm': 0.28524184226989746, 'learning_rate': 0.00014428571428571428, 'epoch': 0.56}
{'loss': 0.082, 'grad_norm': 0.1853429228067398, 'learning_rate': 0.00014392857142857143, 'epoch': 0.56}
{'loss': 0.1227, 'grad_norm': 0.2984409034252167, 'learning_rate': 0.0001435714285714286, 'epoch': 0.56}
{'loss': 0.1076, 'grad_norm': 0.29250964522361755, 'learning_rate': 0.00014321428571428571, 'epoch': 0.57}
{'loss': 0.151, 'grad_norm': 0.33524641394615173, 'learning_rate': 0.00014285714285714287, 'epoch': 0.57}
{'loss': 0.1869, 'grad_norm': 0.4544620215892792, 'learning_rate': 0.00014250000000000002, 'epoch': 0.57}
{'loss': 0.163, 'grad_norm': 0.32399216294288635, 'learning_rate': 0.00014214285714285715, 'epoch': 0.58}
{'loss': 0.133, 'grad_norm': 0.31555527448654175, 'learning_rate': 0.0001417857142857143, 'epoch': 0.58}
{'loss': 0.1013, 'grad_norm': 0.233801931142807, 'learning_rate': 0.00014142857142857145, 'epoch': 0.59}
{'loss': 0.1407, 'grad_norm': 0.3009146749973297, 'learning_rate': 0.00014107142857142858, 'epoch': 0.59}
{'loss': 0.1089, 'grad_norm': 0.25964659452438354, 'learning_rate': 0.00014071428571428573, 'epoch': 0.59}
{'loss': 0.0911, 'grad_norm': 0.21140998601913452, 'learning_rate': 0.00014035714285714286, 'epoch': 0.6}
{'loss': 0.1203, 'grad_norm': 0.28360307216644287, 'learning_rate': 0.00014, 'epoch': 0.6}
{'loss': 0.1332, 'grad_norm': 0.29543253779411316, 'learning_rate': 0.00013964285714285714, 'epoch': 0.6}
{'loss': 0.1213, 'grad_norm': 0.27365151047706604, 'learning_rate': 0.0001392857142857143, 'epoch': 0.61}
{'loss': 0.1513, 'grad_norm': 0.3604103922843933, 'learning_rate': 0.00013892857142857142, 'epoch': 0.61}
{'loss': 0.1409, 'grad_norm': 0.32047635316848755, 'learning_rate': 0.00013857142857142857, 'epoch': 0.61}
{'loss': 0.1738, 'grad_norm': 0.4491528272628784, 'learning_rate': 0.00013821428571428573, 'epoch': 0.62}
{'loss': 0.1141, 'grad_norm': 0.22731615602970123, 'learning_rate': 0.00013785714285714285, 'epoch': 0.62}
{'loss': 0.1007, 'grad_norm': 0.22610899806022644, 'learning_rate': 0.0001375, 'epoch': 0.62}
{'loss': 0.1842, 'grad_norm': 0.39096254110336304, 'learning_rate': 0.00013714285714285716, 'epoch': 0.63}
{'loss': 0.1441, 'grad_norm': 0.3425358533859253, 'learning_rate': 0.0001367857142857143, 'epoch': 0.63}
{'loss': 0.1249, 'grad_norm': 0.31453678011894226, 'learning_rate': 0.00013642857142857144, 'epoch': 0.64}
{'loss': 0.1393, 'grad_norm': 0.30334049463272095, 'learning_rate': 0.0001360714285714286, 'epoch': 0.64}
{'loss': 0.0933, 'grad_norm': 0.20694811642169952, 'learning_rate': 0.00013571428571428572, 'epoch': 0.64}
{'loss': 0.1334, 'grad_norm': 0.35361599922180176, 'learning_rate': 0.00013535714285714288, 'epoch': 0.65}
{'loss': 0.1106, 'grad_norm': 0.30284473299980164, 'learning_rate': 0.00013500000000000003, 'epoch': 0.65}
{'loss': 0.1789, 'grad_norm': 0.5100840330123901, 'learning_rate': 0.00013464285714285716, 'epoch': 0.65}
{'loss': 0.0773, 'grad_norm': 0.20380423963069916, 'learning_rate': 0.00013428571428571428, 'epoch': 0.66}
{'loss': 0.099, 'grad_norm': 0.22043748199939728, 'learning_rate': 0.00013392857142857144, 'epoch': 0.66}
{'loss': 0.1653, 'grad_norm': 0.41736242175102234, 'learning_rate': 0.00013357142857142856, 'epoch': 0.66}
{'loss': 0.1103, 'grad_norm': 0.3308536112308502, 'learning_rate': 0.00013321428571428572, 'epoch': 0.67}
{'loss': 0.1123, 'grad_norm': 0.23650594055652618, 'learning_rate': 0.00013285714285714287, 'epoch': 0.67}
{'loss': 0.1668, 'grad_norm': 0.437633216381073, 'learning_rate': 0.0001325, 'epoch': 0.68}
{'loss': 0.1251, 'grad_norm': 0.2421095371246338, 'learning_rate': 0.00013214285714285715, 'epoch': 0.68}
{'loss': 0.1936, 'grad_norm': 0.4124049246311188, 'learning_rate': 0.0001317857142857143, 'epoch': 0.68}
{'loss': 0.135, 'grad_norm': 0.2776159644126892, 'learning_rate': 0.00013142857142857143, 'epoch': 0.69}
{'loss': 0.1564, 'grad_norm': 0.31756192445755005, 'learning_rate': 0.00013107142857142858, 'epoch': 0.69}
{'loss': 0.1212, 'grad_norm': 0.3370063900947571, 'learning_rate': 0.00013071428571428574, 'epoch': 0.69}
{'loss': 0.1035, 'grad_norm': 0.32161059975624084, 'learning_rate': 0.00013035714285714286, 'epoch': 0.7}
{'loss': 0.115, 'grad_norm': 0.2959088087081909, 'learning_rate': 0.00013000000000000002, 'epoch': 0.7}
{'loss': 0.1396, 'grad_norm': 0.30583757162094116, 'learning_rate': 0.00012964285714285714, 'epoch': 0.7}
{'loss': 0.1676, 'grad_norm': 0.353845477104187, 'learning_rate': 0.0001292857142857143, 'epoch': 0.71}
{'loss': 0.0935, 'grad_norm': 0.2077886313199997, 'learning_rate': 0.00012892857142857145, 'epoch': 0.71}
{'loss': 0.0913, 'grad_norm': 0.20416195690631866, 'learning_rate': 0.00012857142857142858, 'epoch': 0.71}
{'loss': 0.1206, 'grad_norm': 0.25646084547042847, 'learning_rate': 0.00012821428571428573, 'epoch': 0.72}
{'loss': 0.1558, 'grad_norm': 0.3710542321205139, 'learning_rate': 0.00012785714285714286, 'epoch': 0.72}
{'loss': 0.0885, 'grad_norm': 0.23349609971046448, 'learning_rate': 0.0001275, 'epoch': 0.72}
{'loss': 0.1094, 'grad_norm': 0.24900966882705688, 'learning_rate': 0.00012714285714285714, 'epoch': 0.73}
{'loss': 0.1059, 'grad_norm': 0.251806378364563, 'learning_rate': 0.0001267857142857143, 'epoch': 0.73}
{'loss': 0.1007, 'grad_norm': 0.24732965230941772, 'learning_rate': 0.00012642857142857144, 'epoch': 0.74}
{'loss': 0.1448, 'grad_norm': 0.4087699055671692, 'learning_rate': 0.00012607142857142857, 'epoch': 0.74}
{'loss': 0.13, 'grad_norm': 0.3838309645652771, 'learning_rate': 0.00012571428571428572, 'epoch': 0.74}
{'loss': 0.0759, 'grad_norm': 0.27084243297576904, 'learning_rate': 0.00012535714285714285, 'epoch': 0.75}
{'loss': 0.148, 'grad_norm': 0.4560716450214386, 'learning_rate': 0.000125, 'epoch': 0.75}
{'loss': 0.1105, 'grad_norm': 0.25151771306991577, 'learning_rate': 0.00012464285714285716, 'epoch': 0.75}
{'loss': 0.1197, 'grad_norm': 0.3483213484287262, 'learning_rate': 0.00012428571428571428, 'epoch': 0.76}
{'loss': 0.1194, 'grad_norm': 0.25456106662750244, 'learning_rate': 0.00012392857142857144, 'epoch': 0.76}
{'loss': 0.1032, 'grad_norm': 0.2700120806694031, 'learning_rate': 0.0001235714285714286, 'epoch': 0.76}
{'loss': 0.1083, 'grad_norm': 0.3227362036705017, 'learning_rate': 0.00012321428571428572, 'epoch': 0.77}
{'loss': 0.1249, 'grad_norm': 0.35590437054634094, 'learning_rate': 0.00012285714285714287, 'epoch': 0.77}
{'loss': 0.142, 'grad_norm': 0.42670509219169617, 'learning_rate': 0.00012250000000000002, 'epoch': 0.78}
{'loss': 0.1499, 'grad_norm': 0.3951312005519867, 'learning_rate': 0.00012214285714285715, 'epoch': 0.78}
{'loss': 0.1132, 'grad_norm': 0.43908363580703735, 'learning_rate': 0.00012178571428571428, 'epoch': 0.78}
{'loss': 0.0964, 'grad_norm': 0.3141298294067383, 'learning_rate': 0.00012142857142857143, 'epoch': 0.79}
{'loss': 0.1434, 'grad_norm': 0.4469704031944275, 'learning_rate': 0.00012107142857142857, 'epoch': 0.79}
{'loss': 0.1504, 'grad_norm': 0.37302443385124207, 'learning_rate': 0.00012071428571428571, 'epoch': 0.79}
{'loss': 0.0891, 'grad_norm': 0.24672651290893555, 'learning_rate': 0.00012035714285714286, 'epoch': 0.8}
{'loss': 0.1551, 'grad_norm': 0.3609180152416229, 'learning_rate': 0.00012, 'epoch': 0.8}
{'loss': 0.1408, 'grad_norm': 0.31944039463996887, 'learning_rate': 0.00011964285714285714, 'epoch': 0.8}
{'loss': 0.1606, 'grad_norm': 0.3622162640094757, 'learning_rate': 0.00011928571428571428, 'epoch': 0.81}
{'loss': 0.1408, 'grad_norm': 0.27441853284835815, 'learning_rate': 0.00011892857142857144, 'epoch': 0.81}
{'loss': 0.1057, 'grad_norm': 0.23394416272640228, 'learning_rate': 0.00011857142857142858, 'epoch': 0.81}
{'loss': 0.1621, 'grad_norm': 0.3583715856075287, 'learning_rate': 0.00011821428571428572, 'epoch': 0.82}
{'loss': 0.1606, 'grad_norm': 0.46525076031684875, 'learning_rate': 0.00011785714285714287, 'epoch': 0.82}
{'loss': 0.0936, 'grad_norm': 0.23232823610305786, 'learning_rate': 0.00011750000000000001, 'epoch': 0.82}
{'loss': 0.1521, 'grad_norm': 0.39124199748039246, 'learning_rate': 0.00011714285714285715, 'epoch': 0.83}
{'loss': 0.0756, 'grad_norm': 0.2500682771205902, 'learning_rate': 0.0001167857142857143, 'epoch': 0.83}
{'loss': 0.1407, 'grad_norm': 0.29510414600372314, 'learning_rate': 0.00011642857142857144, 'epoch': 0.84}
