img_no,img_path,eyes_v2,eyes_v2_cnn,eyes_diff,hair_color_v2,hair_color_v2_cnn,hair_color_diff,hair_length_v2,hair_length_v2_cnn,hair_length_diff,mouth_v2,mouth_v2_cnn,mouth_diff,pose_v2,pose_v2_cnn,pose_diff,background_mean_v2,background_mean_v2_cnn,background_mean_diff,background_std_v2,background_std_v2_cnn,background_std_diff
27,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000027.jpg,0.6774,0.4663,0.2111,0.718,0.6031,0.1149,0.7594,0.6952,0.0642,1.0404,1.016,0.0244,-0.269,-0.3124,0.0434,0.1592,0.1287,0.0305,-0.3329,-0.1175,0.2154
28,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000028.jpg,-0.7647,-0.8658,0.1011,-0.2888,-0.2818,0.007,-1.3066,-1.0441,0.2625,0.5507,0.6053,0.0546,-0.3359,-0.4451,0.1092,-1.712,-1.5848,0.1272,-0.7491,-0.5104,0.2387
29,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000029.jpg,2.0882,1.5479,0.5403,-1.3525,-1.1036,0.2489,0.507,0.6202,0.1132,-1.0138,-1.1246,0.1108,-0.4083,-0.4222,0.0139,-0.2437,-0.3348,0.0911,-0.5991,-0.4032,0.1959
30,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000030.jpg,-0.7866,-1.141,0.3544,-0.7736,-0.83,0.0564,-2.3724,-2.4799,0.1075,0.7207,0.7394,0.0187,0.0,0.033,0.033,0.7748,0.5967,0.1781,0.5731,0.4738,0.0993
31,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000031.jpg,-1.471,-0.9682,0.5028,-1.4074,-1.6858,0.2784,0.4883,0.3375,0.1508,0.6246,0.7241,0.0995,-0.6236,-0.6182,0.0054,0.2825,0.3877,0.1052,-0.4805,-0.0373,0.4432
32,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000032.jpg,-2.2001,-1.6869,0.5132,0.1218,0.1043,0.0175,-0.6896,-0.4043,0.2853,1.1797,1.0623,0.1174,-0.1988,-0.2574,0.0586,1.2098,1.0579,0.1519,0.3197,0.3703,0.0506
33,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000033.jpg,-0.7524,-0.8593,0.1069,1.1405,1.1137,0.0268,-1.1197,-0.8925,0.2272,-0.683,-0.5406,0.1424,-0.6092,-0.562,0.0472,0.9689,1.0235,0.0546,-0.3869,-0.4875,0.1006
35,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000035.jpg,0.6159,0.2122,0.4037,1.385,1.4852,0.1002,0.5444,0.6553,0.1109,-1.0138,-1.105,0.0912,-0.425,-0.494,0.069,-0.6175,-0.6647,0.0472,-0.5726,-0.6198,0.0472
37,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000037.jpg,-0.7608,-0.7043,0.0565,-1.122,-1.1643,0.0423,-1.0262,-0.6277,0.3985,1.6122,1.6318,0.0196,2.1047,2.2018,0.0971,-1.675,-1.4757,0.1993,-0.8665,-0.7674,0.0991
39,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000039.jpg,-1.2035,-1.446,0.2425,0.7854,0.9327,0.1473,0.9837,0.8419,0.1418,-0.5139,-0.2511,0.2628,5.4597,5.754,0.2943,0.1144,0.0749,0.0395,-0.6235,-0.7762,0.1527
42,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000042.jpg,0.6889,0.6056,0.0833,0.174,0.1488,0.0252,0.7407,0.7983,0.0576,-0.2733,-0.1147,0.1586,-0.4386,-0.3533,0.0853,-0.8523,-0.9582,0.1059,1.0778,0.8636,0.2142
44,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000044.jpg,0.6744,0.8389,0.1645,0.0674,0.207,0.1396,-1.1758,-0.9967,0.1791,0.7722,0.858,0.0858,-0.3075,-0.43,0.1225,1.0664,0.7772,0.2892,2.2984,1.8775,0.4209
47,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000047.jpg,1.3959,1.1613,0.2346,-0.9363,-0.7512,0.1851,-1.2692,-1.4329,0.1637,-1.0138,-0.9859,0.0279,0.397,0.2034,0.1936,1.0452,1.3649,0.3197,-0.5599,0.3511,0.911
51,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000051.jpg,-0.7507,-0.7475,0.0032,0.7779,0.7742,0.0037,0.8435,0.7543,0.0892,1.1345,1.2027,0.0682,0.9841,0.9847,0.0006,1.0233,1.1104,0.0871,-0.858,-0.8973,0.0393
52,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000052.jpg,-2.2173,-0.9879,1.2294,-0.6343,-0.8135,0.1792,-0.7644,-0.7567,0.0077,2.8478,2.4175,0.4303,-1.0092,-0.8189,0.1903,-0.7989,-0.8047,0.0058,0.3106,0.7713,0.4607
53,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000053.jpg,-0.0653,-0.1793,0.114,1.6144,1.9391,0.3247,0.6472,0.7848,0.1376,0.8753,0.8059,0.0694,0.0584,0.0964,0.038,1.4074,1.5593,0.1519,-0.7701,-0.5716,0.1985
56,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000056.jpg,-0.7511,-0.8454,0.0943,0.1479,0.1618,0.0139,0.2639,0.2842,0.0203,0.877,0.7303,0.1467,-0.2025,-0.1753,0.0272,-0.3692,-0.2125,0.1567,-0.7941,-0.8626,0.0685
57,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000057.jpg,-0.7632,-0.6648,0.0984,-0.9333,-0.9075,0.0258,-0.3718,-0.3698,0.002,-1.0138,-0.8814,0.1324,-0.4999,-0.4219,0.078,-1.3898,-1.1516,0.2382,1.2976,1.22,0.0776
59,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000059.jpg,-0.7632,-0.7239,0.0393,1.2958,1.2847,0.0111,0.7407,0.756,0.0153,1.2495,1.3798,0.1303,0.9875,1.0035,0.016,0.1037,0.1681,0.0644,1.0356,1.6885,0.6529
60,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000060.jpg,-0.7504,-0.4142,0.3362,0.1215,0.0453,0.0762,-1.0636,-0.6874,0.3762,0.9938,1.1266,0.1328,0.5635,0.4894,0.0741,-1.2833,-1.3912,0.1079,0.4119,0.5249,0.113
61,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000061.jpg,0.6591,0.6073,0.0518,-1.2521,-1.5826,0.3305,-2.5593,-2.3895,0.1698,0.3946,0.1081,0.2865,-0.3633,-0.3914,0.0281,0.6398,0.6851,0.0453,1.7378,1.6925,0.0453
62,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000062.jpg,-0.7502,-0.5853,0.1649,-0.9042,-0.8876,0.0166,-0.082,-0.1041,0.0221,1.2015,1.0587,0.1428,-0.2455,-0.2477,0.0022,0.5736,0.5234,0.0502,-0.7777,-0.5729,0.2048
63,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000063.jpg,-0.7866,-0.7652,0.0214,0.6913,0.7857,0.0944,0.909,0.9015,0.0075,-1.0138,-0.846,0.1678,1.6839,1.8296,0.1457,0.9998,0.5578,0.442,0.9154,0.7518,0.1636
64,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000064.jpg,-0.0311,-0.2261,0.195,1.2715,1.0185,0.253,0.722,0.8009,0.0789,1.344,1.338,0.006,-0.2694,-0.2117,0.0577,0.1461,-0.0941,0.2402,1.3309,2.141,0.8101
65,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000065.jpg,0.6563,0.5957,0.0606,-0.6119,-0.6262,0.0143,-1.8489,-1.9192,0.0703,-1.0057,-0.9715,0.0342,-0.2844,-0.4031,0.1187,-1.2879,-1.1424,0.1455,1.6038,1.1262,0.4776
66,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000066.jpg,0.6591,0.5651,0.094,-0.359,-0.2997,0.0593,-0.0352,0.0516,0.0868,-0.7976,-0.6565,0.1411,-0.3488,-0.3823,0.0335,0.1781,0.2929,0.1148,-0.2126,-0.2849,0.0723
70,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000070.jpg,-2.2041,-2.0744,0.1297,1.0697,1.1246,0.0549,0.7687,0.8369,0.0682,1.991,1.8152,0.1758,0.3516,0.3156,0.036,-0.324,-0.4713,0.1473,2.2776,2.4016,0.124
73,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000073.jpg,-0.7647,-0.6849,0.0798,-0.5996,-0.6608,0.0612,-0.5214,-0.4416,0.0798,0.7959,0.8544,0.0585,1.32,1.1661,0.1539,0.4136,0.4098,0.0038,0.7932,0.5553,0.2379
75,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000075.jpg,-0.7665,-0.8372,0.0707,-0.6331,-0.6417,0.0086,0.9277,0.7497,0.178,1.2477,1.2302,0.0175,-0.4158,-0.4558,0.04,-0.0933,0.4142,0.5075,1.5964,0.9804,0.616
77,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000077.jpg,-0.7866,-0.6578,0.1288,-0.5036,-0.4447,0.0589,-0.1661,-0.0486,0.1175,-0.395,-0.454,0.059,-0.562,-0.6163,0.0543,0.9615,1.0342,0.0727,-0.4889,-0.8822,0.3933
80,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000080.jpg,0.6615,1.528,0.8665,-0.8212,-0.8639,0.0427,0.9557,0.9109,0.0448,0.9422,0.708,0.2342,-0.6938,-0.6951,0.0013,-1.2522,-1.1676,0.0846,-0.6422,-0.6137,0.0285
84,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000084.jpg,2.7642,1.4768,1.2874,-0.3126,-0.3884,0.0758,-1.8862,-1.6867,0.1995,-0.5436,-0.9433,0.3997,-0.4571,-0.4423,0.0148,0.1846,-0.1087,0.2933,-0.5085,0.8578,1.3663
85,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000085.jpg,-0.0726,-0.1737,0.1011,-0.4095,-0.5567,0.1472,-2.8959,-2.9189,0.023,0.5414,0.6344,0.093,-0.3672,-0.3517,0.0155,-0.3633,-0.3853,0.022,0.2077,-0.0121,0.2198
86,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000086.jpg,2.2894,1.6216,0.6678,-0.4149,-0.3955,0.0194,0.7033,0.9922,0.2889,-0.8789,-0.8818,0.0029,10.1687,9.569,0.5997,1.2244,1.4034,0.179,-0.6779,-0.8572,0.1793
88,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000088.jpg,-0.7804,-0.9814,0.201,0.1348,0.0394,0.0954,0.7594,0.6408,0.1186,1.3687,1.3296,0.0391,-0.1226,-0.1162,0.0064,0.7338,0.8212,0.0874,-0.5785,-0.511,0.0675
90,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000090.jpg,-0.7665,-0.8798,0.1133,0.2684,0.2916,0.0232,-0.0913,-0.3077,0.2164,0.9519,1.0631,0.1112,-0.8067,-0.7657,0.041,-0.5967,-0.4855,0.1112,-0.8487,-0.899,0.0503
91,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000091.jpg,0.6364,0.7796,0.1432,0.1484,0.0574,0.091,0.8342,0.5553,0.2789,-1.0138,-1.081,0.0672,-0.8838,-0.8008,0.083,1.0374,1.1697,0.1323,-0.6838,-0.3398,0.344
92,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000092.jpg,0.6533,0.5975,0.0558,-0.6365,-0.7528,0.1163,0.535,0.5253,0.0097,1.311,1.2467,0.0643,-0.5018,-0.5353,0.0335,-0.8566,-0.8742,0.0176,-0.8115,-0.5652,0.2463
94,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000094.jpg,0.6707,0.4962,0.1745,-0.947,-0.7234,0.2236,-0.0259,0.0661,0.092,-1.0138,-0.9482,0.0656,-0.4295,-0.4648,0.0353,0.5528,0.7105,0.1577,-0.7177,-0.5841,0.1336
97,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000097.jpg,-0.0437,0.1117,0.1554,0.1132,0.1709,0.0577,0.9931,0.7142,0.2789,-1.0138,-0.9942,0.0196,-0.5027,-0.5739,0.0712,0.8046,0.8641,0.0595,-0.6901,-0.4041,0.286
98,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000098.jpg,1.3723,1.3105,0.0618,-1.2924,-1.2637,0.0287,-1.6432,-1.375,0.2682,-0.5047,-0.6407,0.136,-0.2704,-0.2733,0.0029,-0.6725,-0.5849,0.0876,-0.2278,-0.4037,0.1759
100,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000100.jpg,0.6273,0.5602,0.0671,-0.5241,-0.6458,0.1217,0.0302,-0.1813,0.2115,-1.0138,-1.0074,0.0064,-0.5267,-0.539,0.0123,1.5519,1.5931,0.0412,-0.6506,-1.2075,0.5569
103,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000103.jpg,-0.0596,0.6488,0.7084,-1.0529,-1.367,0.3141,0.8809,0.9247,0.0438,-1.0138,-1.2019,0.1881,-0.4183,-0.4556,0.0373,0.9289,0.9198,0.0091,0.1511,0.0076,0.1435
105,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000105.jpg,-0.747,-0.7905,0.0435,-0.8918,-0.9019,0.0101,-0.1194,-0.5024,0.383,1.6171,1.7913,0.1742,-0.6119,-0.5327,0.0792,-1.0538,-1.0927,0.0389,0.9572,1.0826,0.1254
106,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000106.jpg,-0.0307,-0.0383,0.0076,0.3073,0.2268,0.0805,0.6192,0.5208,0.0984,0.337,0.528,0.191,0.1921,0.1266,0.0655,0.4627,0.4961,0.0334,0.3714,0.4771,0.1057
108,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000108.jpg,0.6321,0.8481,0.216,0.0801,0.0362,0.0439,0.1237,-0.37,0.4937,0.5327,0.643,0.1103,-0.6185,-0.6276,0.0091,0.2122,0.2074,0.0048,-0.1272,-0.2003,0.0731
109,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000109.jpg,-0.7632,-0.5497,0.2135,-0.2333,-0.2438,0.0105,0.3107,0.3608,0.0501,0.8551,0.8466,0.0085,-0.3402,-0.2878,0.0524,-1.4386,-1.432,0.0066,-0.8029,-0.6887,0.1142
113,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000113.jpg,-0.8167,-0.9132,0.0965,1.2436,0.919,0.3246,0.6005,0.578,0.0225,-1.0138,-1.0647,0.0509,1.1676,1.0678,0.0998,-1.3047,-1.2826,0.0221,0.0104,0.0224,0.012
114,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000114.jpg,-0.0303,0.3141,0.3444,0.6376,0.4032,0.2344,1.3109,1.1339,0.177,1.664,1.4124,0.2516,-0.2452,-0.2867,0.0415,0.618,0.6128,0.0052,-0.3138,-0.6303,0.3165
116,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000116.jpg,-0.7608,-0.2619,0.4989,0.8928,0.9927,0.0999,0.7033,0.6762,0.0271,-1.0138,-0.9482,0.0656,0.3267,0.3165,0.0102,-0.6688,-0.7539,0.0851,-0.7003,1.348,2.0483
118,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000118.jpg,1.3649,1.1606,0.2043,2.7291,2.1273,0.6018,-1.2505,-3.0904,1.8399,-1.0138,-0.894,0.1198,-0.4375,-0.4377,0.0002,-0.0642,-0.0104,0.0538,2.112,0.9147,1.1973
119,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000119.jpg,0.6498,0.0244,0.6254,-0.4917,-0.4679,0.0238,-2.7837,-3.1667,0.383,-1.0138,-1.0152,0.0014,-0.5825,-0.415,0.1675,-0.082,-0.0726,0.0094,0.8291,0.7406,0.0885
121,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000121.jpg,-2.191,-1.3426,0.8484,-0.7424,-0.7001,0.0423,0.6752,0.7434,0.0682,1.0929,0.994,0.0989,-0.6711,-0.8046,0.1335,0.4412,0.4711,0.0299,3.3182,2.7263,0.5919
124,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000124.jpg,-0.0424,0.1955,0.2379,0.6174,0.6249,0.0075,0.7687,0.7474,0.0213,1.6626,1.5789,0.0837,-0.4671,-0.4885,0.0214,0.5674,0.58,0.0126,-0.2597,-0.2189,0.0408
127,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000127.jpg,1.4109,1.3734,0.0375,0.5543,0.7311,0.1768,-2.6341,-2.6223,0.0118,-1.0138,-1.0188,0.005,-0.4375,-0.4088,0.0287,1.3423,1.4675,0.1252,-0.1819,0.1979,0.3798
130,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000130.jpg,1.3959,0.9942,0.4017,0.8174,0.7344,0.083,-0.6522,-0.7527,0.1005,-1.0138,-1.1084,0.0946,0.2833,0.1799,0.1034,-0.9562,-0.9997,0.0435,0.5588,0.5724,0.0136
131,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000131.jpg,-0.7504,-0.8559,0.1055,-0.94,-0.8896,0.0504,0.2265,0.1439,0.0826,0.3036,0.3438,0.0402,-0.2968,-0.2701,0.0267,0.0867,-0.1156,0.2023,2.3625,1.9925,0.37
133,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000133.jpg,1.1064,1.2749,0.1685,0.5587,0.6417,0.083,-0.4279,-0.6534,0.2255,-1.0138,-0.8734,0.1404,4.2546,4.3585,0.1039,-0.542,-0.6791,0.1371,-0.3425,-0.5058,0.1633
134,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000134.jpg,-0.7504,-0.6289,0.1215,-1.2929,-1.1079,0.185,0.7126,0.7787,0.0661,1.5003,1.4533,0.047,-0.4701,-0.5146,0.0445,-1.6433,-1.4451,0.1982,-0.8911,-0.86,0.0311
135,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000135.jpg,-0.077,-0.0571,0.0199,-0.8196,-0.8966,0.077,0.965,1.1677,0.2027,-1.0138,-1.1174,0.1036,-0.3086,-0.3028,0.0058,0.8986,1.0368,0.1382,-0.5199,-1.0599,0.54
