,epoch,idx,d_loss,g_loss,g_train_count,real_scores_mean,fake_scores_mean,real_fake_auroc,mean_gender_score,mean_quality_score,mean_age_score,mean_glass_score
38,1,200,1.2871,1.3974,1,0.7738,-0.8596,0.9375,0.9223,0.9722,0.0422,0.0473
39,1,250,0.9915,1.0881,1,1.2179,-2.2215,0.9688,0.8919,0.9759,0.029,0.0094
40,1,300,1.1453,1.0138,1,1.5498,-0.8735,0.9375,0.9714,0.9608,0.0414,0.0485
41,1,350,1.1197,1.9254,1,1.8126,-0.7019,0.9531,0.9189,0.9739,0.0699,0.0513
42,1,400,1.3991,1.4968,1,0.9351,-0.4791,0.9375,0.9627,0.9548,0.0274,0.0571
43,1,450,1.1903,1.2123,1,1.3546,-0.6979,0.9844,0.9482,0.9646,0.0418,0.04
44,1,500,1.3693,1.6656,1,0.3794,-1.2119,0.8438,0.9278,0.9771,0.0352,0.0293
45,1,550,1.302,1.1384,1,0.8488,-0.9257,0.8906,0.9202,0.9683,0.0434,0.0498
46,1,600,1.1775,1.5369,1,1.3477,-0.5263,0.9844,0.9595,0.9722,0.0601,0.0494
47,2,0,1.8985,1.6169,1,0.1477,-0.2261,0.625,0.9133,0.9605,0.0378,0.0148
48,2,50,1.6427,0.9165,1,0.3471,-0.6979,0.8281,0.9403,0.9734,0.0268,0.0514
49,2,100,1.2586,1.5407,1,0.3297,-1.6271,0.9688,0.9423,0.9595,0.0357,0.0533
50,2,150,1.4837,0.9066,1,1.0009,-0.5149,0.8125,0.9673,0.9898,0.0449,0.0224
51,2,200,1.5091,0.9273,1,0.9911,0.0425,0.8125,0.9373,0.9475,0.0591,0.0533
52,2,250,1.2387,1.8119,1,0.5598,-1.046,0.9844,0.9333,0.9541,0.0438,0.0722
53,2,300,1.4133,2.094,1,0.2682,-1.3793,0.8281,0.9452,0.9733,0.0394,0.037
54,2,350,1.3973,1.339,1,0.3729,-1.1997,0.9062,0.9019,0.9543,0.0448,0.0346
55,2,400,1.3839,0.9101,1,1.167,-0.2995,0.9219,0.9559,0.9691,0.0285,0.067
56,2,450,1.4383,1.0433,1,0.5767,-0.8346,0.8281,0.9634,0.9774,0.0418,0.0374
57,2,500,1.1919,2.179,1,0.8114,-1.3995,0.8906,0.9163,0.9847,0.025,0.0454
58,2,550,1.2505,1.0497,1,0.9312,-0.8373,0.9375,0.9553,0.9854,0.0659,0.0902
59,2,600,1.366,0.9618,1,0.6519,-0.7131,0.9062,0.9253,0.9782,0.0484,0.0356
60,3,0,1.1902,1.9205,1,0.7188,-1.4698,0.9062,0.968,0.9667,0.0292,0.0213
61,3,50,1.4062,0.9808,1,0.5458,-0.6841,0.875,0.9566,0.9886,0.0323,0.0312
62,3,100,1.6653,0.9723,1,-0.1711,-1.2271,0.7812,0.9391,0.9566,0.0293,0.0314
63,3,150,1.5321,2.0099,1,-0.2094,-0.9441,0.9375,0.959,0.9901,0.0464,0.0455
64,3,200,1.3809,1.3284,1,0.47,-1.0292,0.8438,0.9335,0.9432,0.024,0.0241
65,3,250,1.4121,1.0266,1,0.3235,-0.7988,0.9062,0.9365,0.9456,0.0375,0.0494
66,3,300,1.3229,0.9889,1,0.4959,-1.0971,0.8906,0.9136,0.9676,0.0247,0.0101
67,3,350,1.3165,0.7407,1,0.7273,-0.8846,0.875,0.9372,0.9739,0.0302,0.0425
68,3,400,1.2055,0.6661,1,1.1845,-0.9538,0.9375,0.9241,0.989,0.0405,0.0271
69,3,450,1.3249,0.9054,1,0.6388,-0.7679,0.875,0.9354,0.9662,0.0319,0.0444
70,3,500,1.3898,1.296,1,0.538,-0.4192,0.9219,0.9201,0.9863,0.0426,0.0354
71,3,550,1.248,1.4406,1,0.9808,-0.3087,0.9844,0.9326,0.9652,0.0606,0.0557
72,3,600,1.5519,1.2359,1,0.3129,-0.5964,0.7656,0.9304,0.9753,0.0373,0.0268
73,4,0,1.671,1.2804,1,0.1719,-0.6467,0.6094,0.9262,0.9775,0.0322,0.0431
74,4,50,1.2143,1.7484,1,0.6629,-1.2094,0.9375,0.9563,0.962,0.0417,0.0275
75,4,100,1.4393,1.2171,1,1.077,0.0183,0.8438,0.9304,0.9638,0.0382,0.0645
76,4,150,1.5883,1.8268,1,0.1703,-0.7808,0.6719,0.9329,0.968,0.0354,0.0102
77,4,200,1.3529,0.9812,1,0.5888,-0.8631,0.8125,0.9597,0.9892,0.0386,0.0524
78,4,250,1.4634,1.141,1,0.754,-0.3608,0.9062,0.9468,0.9764,0.0212,0.0363
79,4,300,1.3833,1.8901,1,0.5015,-0.5498,0.9531,0.9173,0.9689,0.0384,0.0398
80,4,350,1.2378,1.1862,1,0.8162,-1.3651,0.9531,0.9722,0.9838,0.0402,0.0704
81,4,400,1.4472,1.2571,1,0.4017,-0.536,0.8125,0.9528,0.9928,0.0255,0.0416
82,4,450,1.458,0.895,1,0.939,-0.1841,0.8281,0.9573,0.9476,0.027,0.04
83,4,500,1.1084,1.2631,1,0.7741,-1.3747,0.9844,0.943,0.9758,0.042,0.0356
84,4,550,1.386,1.0602,1,0.2221,-0.7529,1.0,0.9562,0.9589,0.0419,0.0412
85,4,600,1.2229,1.4826,1,0.4265,-1.3325,0.9375,0.914,0.9766,0.0251,0.0339
86,5,0,1.4648,0.983,1,0.4039,-0.526,0.8281,0.97,0.9953,0.0324,0.0171
87,5,50,1.2503,1.2129,1,0.4609,-1.0267,0.9219,0.971,0.9909,0.0287,0.054
88,5,100,1.3415,1.0809,1,0.641,-0.4849,0.875,0.9644,0.9855,0.0372,0.0335
89,5,150,1.2294,0.7876,1,0.7175,-0.7845,0.8906,0.9562,0.9739,0.0303,0.0277
90,5,200,1.3882,1.3577,1,0.7631,-0.3984,1.0,0.9394,0.9509,0.0331,0.0124
91,5,250,1.5469,0.9929,1,0.409,-0.205,0.8125,0.9613,0.9706,0.0523,0.0129
92,5,300,1.6522,1.5843,1,-0.0216,-0.5402,0.6406,0.9784,0.9817,0.0284,0.0474
93,5,350,1.6245,1.0559,1,-0.0064,-0.8115,0.7031,0.9607,0.9671,0.0235,0.0285
94,5,400,1.3162,0.8522,1,0.4279,-0.963,0.9219,0.934,0.9853,0.031,0.0331
95,5,450,1.2663,1.5221,1,0.6333,-0.8599,0.9531,0.9857,0.9904,0.0266,0.0376
96,5,500,1.4599,1.0041,1,0.6427,-0.3781,0.8125,0.9412,0.9543,0.03,0.0433
97,5,550,1.3178,0.9754,1,0.8936,-0.1645,0.9375,0.9614,0.9781,0.0389,0.0163
98,5,600,1.3996,0.6871,1,0.9591,-0.1689,0.8906,0.9533,0.9897,0.0329,0.0425
99,6,0,1.5754,1.3272,1,0.4373,-0.168,0.7188,0.9175,0.965,0.0568,0.0468
100,6,50,1.602,1.3159,1,0.4326,-0.1916,0.7344,0.9495,0.9856,0.052,0.0498
101,6,100,1.4518,0.8761,1,0.6158,-0.3025,0.8281,0.9722,0.9843,0.0444,0.0311
102,6,150,1.4785,0.9211,1,0.7771,-0.0935,0.8281,0.971,0.9735,0.0382,0.0546
103,6,200,1.3484,0.9422,1,0.3825,-0.8726,0.9375,0.9593,0.9736,0.0288,0.0633
104,6,250,1.7065,1.0921,1,-0.1136,-0.4129,0.5781,0.9792,0.9703,0.0326,0.0157
105,6,300,1.5198,1.5127,1,0.3194,-0.5333,0.7031,0.9407,0.9781,0.0367,0.0199
106,6,350,1.5359,1.3313,1,0.2208,-0.4624,0.7812,0.936,0.9819,0.0255,0.028
107,6,400,1.6102,1.0737,1,0.8119,-0.0868,0.6562,0.946,0.9837,0.0417,0.0293
108,6,450,1.3382,1.4274,1,0.2003,-0.8234,0.9375,0.9719,0.9884,0.0335,0.0273
109,6,500,1.2194,1.7717,1,0.3767,-1.3835,0.9531,0.9915,0.9913,0.0178,0.0084
110,6,550,1.4778,0.9874,1,0.3895,-0.7602,0.7656,0.9595,0.9781,0.032,0.0377
111,6,600,1.3734,1.0707,1,0.5804,-0.7748,0.875,0.9606,0.9918,0.039,0.0175
112,7,0,1.2678,0.9769,1,0.5011,-0.9773,0.8594,0.9491,0.9863,0.0263,0.0256
113,7,50,1.4771,0.6815,1,0.4418,-0.2955,0.7656,0.9257,0.9807,0.0454,0.0203
114,7,100,1.3127,1.1581,1,0.3182,-0.7429,0.8906,0.9713,0.9842,0.0291,0.0201
115,7,150,1.5848,0.7284,1,0.5169,-0.027,0.6875,0.9435,0.9714,0.0158,0.0212
116,7,200,1.4165,0.8142,1,0.3233,-0.5037,0.8594,0.9655,0.9892,0.0304,0.0502
117,7,250,1.2982,1.0634,1,1.06,-0.3709,0.9062,0.9613,0.9873,0.0209,0.0359
118,7,300,1.3299,1.1657,1,0.3842,-0.5931,0.8438,0.9693,0.9804,0.024,0.0333
119,7,350,1.1652,0.8865,1,0.3587,-1.0618,0.9688,0.9404,0.9922,0.0216,0.0309
120,7,400,1.3615,0.8618,1,0.8539,-0.2619,0.9219,0.9238,0.9843,0.0347,0.0523
121,7,450,1.6982,1.1778,1,-0.1684,-0.638,0.6875,0.9629,0.9562,0.0202,0.0413
122,7,500,1.4563,0.8915,1,0.5622,-0.1747,0.8281,0.9692,0.9916,0.0272,0.0411
123,7,550,1.2618,0.7956,1,0.6078,-0.5787,0.9375,0.9601,0.9915,0.0223,0.0252
124,7,600,1.3419,1.0906,1,0.2715,-1.2958,0.8594,0.9586,0.9747,0.0363,0.0363
125,8,0,1.4329,1.188,1,0.4989,-0.3547,0.7812,0.9476,0.9871,0.031,0.0536
126,8,50,1.0373,1.6296,1,1.121,-0.7279,1.0,0.9447,0.9975,0.0323,0.0284
127,8,100,1.3366,1.3848,1,0.4583,-0.6675,0.8906,0.9608,0.9961,0.0202,0.0292
128,8,150,1.3047,0.9987,1,0.3914,-0.7692,0.9688,0.9476,0.9833,0.0395,0.0442
129,8,200,1.3326,0.9607,1,0.5825,-0.593,0.8594,0.9714,0.9762,0.0489,0.0331
130,8,250,1.3052,1.1326,1,0.5157,-1.0617,0.9219,0.9215,0.9839,0.0196,0.0108
131,8,300,1.3516,0.9928,1,0.4923,-0.6261,0.9062,0.9455,0.9529,0.0384,0.017
132,8,350,1.7172,1.1256,1,0.0094,-0.5402,0.5469,0.9832,0.9955,0.0219,0.0278
133,8,400,1.3821,1.359,1,0.4154,-1.0669,0.8281,0.9523,0.9931,0.0288,0.0447
134,8,450,1.4877,1.3317,1,0.3944,-0.2286,0.8125,0.9424,0.9902,0.0333,0.055
135,8,500,1.5512,1.0248,1,0.1842,-0.5343,0.7969,0.9594,0.9886,0.0217,0.0151
136,8,550,1.2407,1.139,1,0.7905,-0.7745,0.875,0.9805,0.9941,0.0299,0.045
137,8,600,1.6541,0.9126,1,0.2068,-0.2221,0.6875,0.9304,0.9662,0.032,0.0199
138,9,0,1.486,1.2034,1,0.0361,-0.5966,0.6562,0.9519,0.9715,0.0139,0.0133
139,9,50,1.3213,0.8517,1,0.6725,-0.4487,0.8594,0.9897,0.9632,0.0207,0.0363
140,9,100,1.4995,0.9915,1,0.5784,-0.0361,0.7188,0.9705,0.9732,0.0208,0.0227
141,9,150,1.5919,0.9266,1,0.0781,-0.4461,0.6875,0.9902,0.9802,0.0219,0.0276
142,9,200,1.1755,0.8963,1,0.7556,-0.7897,0.9375,0.9743,0.9841,0.0273,0.0185
143,9,250,1.4573,0.8558,1,0.4207,-0.6346,0.75,0.9746,0.997,0.0435,0.0347
144,9,300,1.2665,0.872,1,0.9448,-0.4616,0.9375,0.9697,0.996,0.0244,0.0431
145,9,350,1.3695,1.1102,1,0.3875,-0.5912,0.8906,0.9088,0.9979,0.0235,0.0263
146,9,400,1.2946,1.0286,1,0.1134,-0.9197,0.9844,0.9536,0.9642,0.0502,0.0076
147,9,450,1.7598,0.8235,1,-0.1164,-0.2333,0.5625,0.986,0.991,0.0395,0.0184
148,9,500,1.3937,0.8966,1,0.444,-0.7124,0.8594,0.9795,0.984,0.0175,0.0174
149,9,550,1.4376,0.7713,1,0.2774,-0.3121,0.8594,0.9524,0.9883,0.0199,0.0089
150,9,600,1.6507,1.1653,1,0.3136,0.0289,0.625,0.9636,0.9894,0.0327,0.0075
151,10,0,1.3863,0.8629,1,0.3063,-0.4828,0.9062,0.9543,0.974,0.0193,0.0409
152,10,50,1.771,1.0593,1,-0.1129,-0.1362,0.5,0.9642,0.9831,0.0237,0.0102
153,10,100,1.3413,1.0872,1,0.4684,-0.4844,0.875,0.9437,0.979,0.0271,0.0383
154,10,150,1.5484,0.9735,1,0.1494,-0.4292,0.7344,0.9602,0.975,0.0223,0.0295
155,10,200,1.2929,0.7985,1,0.6413,-0.4312,0.9531,0.9712,0.9929,0.0249,0.0124
156,10,250,1.2849,1.2454,1,0.1989,-0.8929,0.9688,0.9726,0.9754,0.0264,0.0272
157,10,300,1.625,0.9607,1,0.3803,-0.0694,0.7031,0.9913,0.9807,0.0315,0.0172
158,10,350,1.6093,1.0577,1,0.1891,-0.1773,0.5938,0.9711,0.984,0.0218,0.0192
159,10,400,1.2664,0.9972,1,0.3923,-0.6721,0.9219,0.9702,0.9749,0.0336,0.0187
160,10,450,1.5121,1.5687,1,0.3732,-0.5494,0.7656,0.9437,0.9709,0.0215,0.0077
161,10,500,1.4479,0.8726,1,0.7347,-0.2047,0.7656,0.9498,0.9911,0.0232,0.031
162,10,550,1.4624,0.8716,1,0.3135,-0.308,0.7969,0.9792,0.9891,0.0166,0.0215
163,10,600,1.3924,1.0543,1,0.2789,-0.3972,0.875,0.9568,0.9861,0.0292,0.0256
164,11,0,1.3388,0.9515,1,0.5129,-0.4533,0.9219,0.9738,0.9872,0.0194,0.0083
165,11,50,1.5864,0.6814,1,0.0877,-0.2468,0.6094,0.9612,0.9782,0.0322,0.0209
166,11,100,1.4816,1.0157,1,0.1746,-0.4167,0.7656,0.9786,0.9867,0.0215,0.0457
167,11,150,1.5449,1.0498,1,0.3836,-0.1272,0.6875,0.9589,0.9775,0.0234,0.0336
168,11,200,1.1893,1.2244,1,0.5097,-0.7979,1.0,0.969,0.967,0.0286,0.0237
169,11,250,1.5445,1.5049,1,0.0681,-0.4021,0.7344,0.9622,0.9802,0.0205,0.0369
170,11,300,1.3214,0.8101,1,0.244,-1.0873,0.8281,0.9732,0.9976,0.0226,0.0292
171,11,350,1.2435,1.2065,1,0.2669,-1.2447,0.9219,0.963,0.9927,0.022,0.0255
172,11,400,1.6739,0.7498,1,-0.1577,-0.3116,0.5156,0.9807,0.987,0.0336,0.0288
173,11,450,1.3639,0.9367,1,0.2155,-0.6994,0.875,0.9853,0.9964,0.0241,0.0298
174,11,500,1.3475,0.7274,1,0.2995,-0.6152,0.875,0.97,0.9884,0.0247,0.0069
175,11,550,1.2989,0.7707,1,0.1498,-0.9551,0.9531,0.9512,0.9806,0.0299,0.0078
176,11,600,1.5271,0.8675,1,-0.0106,-0.4714,0.8438,0.9636,0.9853,0.0279,0.0128
177,12,0,1.3763,0.9692,1,0.5976,-0.2954,0.8906,0.9579,0.9939,0.0165,0.0125
178,12,50,1.2849,1.1148,1,0.5406,-0.5354,0.9219,0.9642,0.9713,0.0155,0.0342
179,12,100,1.5606,1.0127,1,0.4673,-0.228,0.7188,0.9807,0.9834,0.0299,0.018
180,12,150,1.291,0.8194,1,0.6539,-0.4633,0.875,0.9648,0.9921,0.0172,0.0173
181,12,200,1.3473,0.5834,1,0.4659,-0.5614,0.9219,0.9734,0.9878,0.0281,0.0098
182,12,250,1.4767,1.0022,1,-0.0411,-0.9643,0.7812,0.976,0.9878,0.0277,0.0124
183,12,300,1.7093,0.873,1,-0.1133,-0.2102,0.5625,0.9613,0.9616,0.0231,0.0114
184,12,350,1.2255,0.8229,1,0.569,-0.6245,1.0,0.9808,0.9947,0.0263,0.0156
185,12,400,1.4483,1.3654,1,-0.0211,-0.8599,0.9375,0.98,0.993,0.016,0.0117
186,12,450,1.632,1.1882,1,-0.1232,-0.3011,0.4688,0.9795,0.978,0.0329,0.0332
187,12,500,1.2571,0.9522,1,0.6342,-0.507,0.8906,0.9558,0.9876,0.0341,0.0082
188,12,550,1.4963,1.0528,1,0.2651,-0.4587,0.8281,0.9339,0.9854,0.0202,0.019
189,12,600,1.2837,0.5752,1,0.7405,-0.4299,0.8594,0.9575,0.9884,0.0176,0.0412
190,13,0,1.4001,0.6443,1,0.6053,-0.2567,0.8281,0.968,0.9749,0.0296,0.0161
191,13,50,1.3497,0.8961,1,0.343,-0.7763,0.8125,0.9637,0.9866,0.0186,0.0215
192,13,100,1.4336,0.932,1,0.8309,-0.0447,0.7969,0.9729,0.9743,0.0216,0.0272
193,13,150,1.6685,1.2718,1,0.2183,0.0718,0.5938,0.9449,0.9884,0.0179,0.0159
194,13,200,1.3629,1.0943,1,0.3277,-0.4436,0.9531,0.9732,0.9721,0.0227,0.0196
195,13,250,1.3819,0.8742,1,0.5799,-0.2197,0.9219,0.9896,0.9926,0.014,0.0274
196,13,300,1.4348,1.0583,1,0.2841,-0.398,0.9375,0.9414,0.9891,0.0165,0.0372
197,13,350,1.6102,0.9342,1,-0.0463,-0.2996,0.6719,0.9733,0.9878,0.0208,0.0088
198,13,400,1.3085,1.2048,1,0.2355,-0.755,0.9531,0.9687,0.9952,0.028,0.0597
199,13,450,1.4273,1.068,1,0.0782,-0.7447,0.8125,0.9215,0.9942,0.0143,0.0267
200,13,500,1.4191,1.0816,1,0.293,-0.4172,0.7656,0.9756,0.9528,0.0146,0.0068
201,13,550,1.602,0.7472,1,0.6189,0.2431,0.7344,0.9821,0.9874,0.0246,0.0077
202,13,600,1.6309,1.139,1,-0.1391,-0.3205,0.6562,0.9723,0.9688,0.0211,0.0174
203,14,0,1.1984,0.9133,1,0.8234,-0.5873,0.8594,0.9627,0.9712,0.0192,0.0111
204,14,50,1.4693,0.8274,1,0.2888,-0.2578,0.8281,0.9539,0.9783,0.0174,0.0254
205,14,100,1.174,0.9477,1,0.4874,-1.3759,0.9375,0.9847,0.9967,0.0185,0.0128
206,14,150,1.3283,0.8617,1,0.5669,-0.4268,0.875,0.9706,0.9847,0.0187,0.0138
207,14,200,1.3597,1.2841,1,0.3656,-0.7497,0.875,0.9512,0.9803,0.0197,0.0247
208,14,250,1.53,0.7981,1,0.0305,-0.5676,0.7969,0.9644,0.9763,0.0223,0.0147
209,14,300,1.3581,1.0904,1,0.0607,-1.1873,0.7812,0.9286,0.998,0.0159,0.0127
210,14,350,1.6272,0.6564,1,0.0936,-0.274,0.7188,0.9386,0.9796,0.0148,0.0244
211,14,400,1.3523,1.0291,1,0.7921,-0.2346,0.8594,0.9544,0.9831,0.023,0.0088
212,14,450,1.406,1.0445,1,0.2943,-0.4384,0.7812,0.9715,0.9834,0.0247,0.0229
213,14,500,1.4937,1.0923,1,0.1955,-0.3956,0.7969,0.9489,0.9941,0.0214,0.0169
214,14,550,1.4736,1.0438,1,0.3856,-0.2582,0.75,0.9685,0.985,0.024,0.016
215,14,600,1.5982,0.8646,1,0.1294,-0.2305,0.6875,0.969,0.998,0.0261,0.0101
216,15,0,1.35,0.8067,1,0.6079,-0.2969,0.8594,0.9697,0.9664,0.02,0.0155
217,15,50,1.3857,0.8918,1,0.0837,-0.5675,0.9531,0.9757,0.9781,0.0263,0.0176
218,15,100,1.2465,1.2157,1,0.2543,-1.0035,0.9688,0.9952,0.9979,0.0189,0.0296
219,15,150,1.4295,1.2278,1,0.0685,-0.8694,0.75,0.9558,0.9794,0.0292,0.0164
220,15,200,1.5032,0.9514,1,0.5322,-0.3549,0.6406,0.9563,0.9793,0.0227,0.0257
221,15,250,1.0873,1.1517,1,0.8239,-0.8861,1.0,0.9707,0.9529,0.0168,0.0182
222,15,300,1.569,1.1392,1,0.1043,-0.32,0.625,0.9652,0.9839,0.0328,0.0095
223,15,350,1.4605,0.8783,1,0.3938,-0.2935,0.75,0.9491,0.9889,0.0222,0.0367
224,15,400,1.4838,1.04,1,0.4265,-0.0737,0.75,0.9964,0.9839,0.0175,0.011
225,15,450,1.3253,0.9801,1,0.2221,-0.8131,0.8906,0.9596,0.98,0.0167,0.0261
226,15,500,1.3855,1.0672,1,0.1446,-0.6044,0.8594,0.9931,0.9746,0.0148,0.027
227,15,550,1.4633,1.3855,1,0.4208,-0.3483,0.7344,0.9617,0.9967,0.0267,0.0071
228,15,600,1.4205,0.6285,1,0.5189,-0.2158,0.8125,0.9833,0.9906,0.0203,0.0142
229,16,0,1.431,1.0508,1,0.3045,-0.4795,0.875,0.9402,0.9964,0.0297,0.0083
230,16,50,1.2828,1.1082,1,0.5522,-0.5857,0.9375,0.9744,0.9945,0.0331,0.0074
231,16,100,1.3049,0.9965,1,0.6654,-0.3036,0.9375,0.9942,0.9691,0.0156,0.0319
232,16,150,1.3912,0.9076,1,0.0657,-0.6502,0.9062,0.9822,0.9893,0.0202,0.0167
233,16,200,1.6073,1.1146,1,0.1614,-0.161,0.625,0.9637,0.9912,0.0257,0.0301
234,16,250,1.4348,0.6955,1,0.8711,0.0404,0.9062,0.9679,0.9938,0.0228,0.0291
235,16,300,1.4997,1.0728,1,0.1839,-0.4133,0.7812,0.9689,0.9972,0.0293,0.0347
236,16,350,1.7014,1.0199,1,0.0749,0.0608,0.4531,0.9614,0.9842,0.021,0.0205
237,16,400,1.2089,0.8719,1,0.7258,-0.6009,0.9531,0.9615,0.9903,0.0108,0.0073
238,16,450,1.3802,0.9828,1,0.4677,-0.489,0.7969,0.946,0.9879,0.0157,0.0183
239,16,500,1.3386,0.9176,1,0.2563,-0.8117,0.8594,0.949,0.9988,0.018,0.0203
240,16,550,1.1584,1.0422,1,0.5962,-0.6658,0.9844,0.9643,0.9935,0.0225,0.0415
241,16,600,1.3031,0.967,1,0.6628,-0.4091,0.8906,0.962,0.9928,0.0184,0.0293
242,17,0,1.4626,0.8713,1,-0.1571,-0.9158,0.7344,0.9756,0.9892,0.0285,0.0407
243,17,50,1.3892,1.2278,1,0.1347,-0.6613,0.8594,0.9856,0.9957,0.02,0.0058
244,17,100,1.3387,1.018,1,0.5207,-0.3714,0.9531,0.9887,0.99,0.0257,0.009
245,17,150,1.4492,0.9107,1,0.4286,-0.0769,0.875,0.976,0.9712,0.0209,0.0114
246,17,200,1.6088,0.9413,1,0.3609,0.0917,0.6094,0.9698,0.9923,0.0277,0.0197
247,17,250,1.4883,0.8099,1,0.4337,-0.1227,0.7969,0.9898,0.993,0.029,0.0108
248,17,300,1.8008,0.7172,1,-0.1748,-0.1406,0.4531,0.9576,0.9896,0.0162,0.0117
249,17,350,1.5111,0.9491,1,0.29,-0.1055,0.7812,0.9641,0.9816,0.0258,0.008
250,17,400,1.5017,0.947,1,0.2692,-0.5784,0.75,0.965,0.9881,0.0172,0.0152
251,17,450,1.3135,1.0101,1,0.3432,-0.5529,0.875,0.9568,0.9837,0.0183,0.0143
252,17,500,1.2651,0.8004,1,0.5599,-0.564,0.9219,0.9814,0.9867,0.0276,0.0162
253,17,550,1.4638,1.1067,1,0.2103,-0.3321,0.8125,0.949,0.9887,0.0297,0.0277
254,17,600,1.4521,0.9503,1,-0.1117,-0.7392,0.875,0.959,0.991,0.0172,0.0264
255,18,0,1.4213,1.2629,1,0.0871,-0.7196,0.7969,0.9503,0.9801,0.0128,0.0381
256,18,50,1.4734,0.8687,1,0.4919,-0.1506,0.8125,0.9738,0.9853,0.0223,0.0102
257,18,100,1.5425,1.0395,1,0.0749,-0.2094,0.6562,0.9521,0.9944,0.0183,0.0079
258,18,150,1.3522,0.9947,1,0.3028,-0.6207,0.8438,0.9726,0.9879,0.0264,0.0256
259,18,200,1.2592,0.6975,1,0.4082,-0.7462,0.9062,0.9706,0.9847,0.0231,0.0334
