img_no,hair_color,hair_length,background_score,hairstyle
200,1.1386,0.8418,1.296,-0.5494
201,-1.2451,-0.6681,-0.2391,0.0262
202,-0.9897,0.5402,0.9442,-0.8181
203,1.1867,0.8187,0.8499,-0.2408
204,-0.4913,0.7432,-1.1692,0.2259
205,-1.0366,0.486,0.6692,-0.8667
206,1.087,0.8027,-0.4781,-0.4237
207,-0.5276,-0.309,-1.023,-0.405
208,-0.9261,1.4827,0.6337,-0.1829
209,-0.7584,-0.2512,-1.1698,1.078
210,-0.8269,-1.6657,-1.6224,0.2862
211,-0.5553,-1.2024,-0.3735,1.2364
212,-0.2073,-0.2303,-1.166,0.5989
213,-0.1355,0.9606,1.1683,-0.1323
214,1.1528,0.6003,0.7658,-1.248
215,-0.5495,-2.243,1.2438,0.9273
216,-1.2691,1.0393,1.306,1.7589
217,-0.5236,0.1772,0.7566,-0.7986
218,-1.0279,0.8791,1.12,1.5125
219,-0.5646,0.3256,0.8288,-0.4403
220,-0.9432,0.7604,0.6776,-0.2755
221,1.1724,0.9696,0.4345,-0.7493
222,-0.4046,-0.5915,-0.9588,0.2458
223,-1.007,0.6777,0.2222,1.4775
224,0.7094,0.6029,1.3463,-1.2055
225,-0.3565,0.4314,-0.1525,-0.6188
226,-0.2458,-0.7806,-1.2959,2.346
227,-0.21,0.8654,1.5979,-0.2733
228,-0.7085,1.1965,1.8215,0.1187
229,-0.1337,0.9891,-0.2735,-0.716
230,-1.2139,0.6014,0.1988,-0.2919
231,1.0459,0.4194,1.5661,-0.9936
232,2.4095,0.5052,0.5627,-0.3848
233,-0.8334,0.4373,0.2978,0.4462
234,1.3382,0.3304,1.1803,-0.1015
235,1.3091,0.6994,0.6456,-1.7673
236,0.8809,0.4223,1.422,-0.9279
237,-0.1938,0.3888,2.0677,-0.4148
238,-0.6898,-0.6535,0.3454,-0.1521
239,-0.7742,0.9975,1.1396,0.0501
240,-0.2252,0.7229,0.9979,-0.6324
241,-0.8985,0.3044,1.5697,-0.9707
242,1.314,-0.5156,-0.0433,1.7387
243,-1.1037,0.7007,0.1734,-0.0176
244,-0.7282,0.8672,1.6439,0.5594
245,-1.1411,0.2911,-0.5357,-0.6151
246,-1.2081,0.4473,0.3936,-0.4267
247,2.1262,0.9287,-0.9563,-0.2951
248,-1.1411,-1.5739,1.6142,1.4342
249,-0.346,0.514,1.6895,-0.1006
250,0.0834,0.2832,-0.6461,-0.4295
251,-1.2085,0.7107,1.1408,0.0971
252,-0.2524,0.8865,1.2611,-0.7555
253,0.1094,0.3453,-0.1948,0.3735
254,-0.8401,-0.2957,0.6812,-0.3581
255,-0.9605,-0.5491,1.456,0.8088
256,0.0703,-1.6102,-0.9584,1.6525
257,-1.2715,0.2419,1.0658,-0.1228
258,-0.1768,1.2844,0.9795,0.527
259,-1.0769,1.0778,0.2257,0.0035
260,1.0027,0.7928,-0.7883,0.2273
261,1.1256,0.6249,0.6496,0.4411
262,-0.5221,-1.1555,0.7638,1.2371
263,-1.0526,0.2753,1.6661,-0.919
264,-0.3412,-0.1067,1.5099,-0.0532
265,-0.6095,0.1572,1.3727,-0.0978
266,-0.8163,0.696,1.549,-1.159
267,-0.8425,0.0643,1.1898,0.4806
268,-0.784,0.7826,0.5741,-0.3306
269,-0.4973,0.8488,0.4178,0.0864
270,-0.6987,0.3032,0.9061,0.4119
271,-0.4985,0.6435,0.2687,-0.8888
272,0.802,0.3046,0.5256,0.1693
273,-0.3642,-0.2693,-1.769,1.2567
274,-0.7832,-0.0695,0.4682,0.3785
275,-0.5097,0.9148,0.9523,-0.6412
276,-1.2509,0.2644,-0.9391,0.9457
277,-1.0133,0.8972,1.2467,-0.2433
278,-0.5114,0.8826,0.7212,-0.4584
279,1.0953,0.8282,0.1551,-0.885
280,-1.1645,0.2026,0.9426,0.6209
281,0.6491,0.5866,0.6887,-0.8324
282,0.4455,0.3995,-0.7243,0.0673
283,-0.5845,0.93,1.6106,-0.0762
284,0.6957,-0.146,1.177,-0.696
285,-0.5377,0.097,1.414,0.8364
286,1.2722,0.7964,-1.0873,-0.8639
287,-0.8644,0.5343,0.5135,0.2145
288,1.3171,0.8405,-1.3475,-0.534
289,-0.7038,-0.7343,0.476,1.0293
290,0.7975,-1.1798,0.8812,0.688
291,0.107,0.9886,1.1282,0.2399
292,-0.8881,0.8077,-0.1002,1.0526
293,-0.6949,-0.1575,0.4858,-0.051
294,-0.6089,0.4669,1.1943,1.0713
295,0.5551,0.7269,-0.074,-1.0384
296,-0.9729,-0.3039,-0.4151,0.4272
297,-0.1617,0.9681,1.0011,-0.2186
298,-0.4657,-0.2236,-1.52,0.5969
299,-0.0362,1.0121,1.3487,-0.6221
300,-0.7036,0.8276,1.2056,1.7158
301,-1.4115,-0.2171,0.1611,1.1854
302,-0.1157,0.7619,1.2055,0.2921
303,-0.9925,-0.0669,-1.0601,0.1342
304,1.1705,0.6518,-0.9293,-0.2743
305,-1.109,0.0397,1.2053,-0.0495
306,-1.0004,0.0733,1.5559,-1.5856
307,-1.1089,-0.1425,1.047,0.4619
308,-0.0853,0.4912,-1.8286,1.3095
309,-0.4386,0.7283,-1.1372,0.1083
310,0.8368,-0.3999,1.2912,-1.1282
311,-0.3284,0.0832,1.0174,-1.6018
312,-0.4546,1.7633,1.3137,-0.7059
313,-0.0363,0.547,0.3326,-0.3185
314,-0.4785,-0.3219,1.705,0.0492
315,1.6122,0.3659,0.0066,-1.2176
316,0.1347,0.4529,1.069,-0.5621
317,0.2799,0.3112,1.0274,-0.3492
318,-0.5863,-0.154,-0.3852,1.4451
319,-0.7858,0.6126,0.8086,0.1371
320,-0.5506,-1.2276,-1.3294,0.8977
321,-0.7216,0.8201,0.5287,-0.4228
322,-1.241,0.3876,0.1433,0.062
323,0.14,0.6231,0.9064,-1.0275
324,-0.9835,0.4643,0.9824,-0.5309
325,-0.7929,0.7661,1.3261,-0.3529
326,-0.0454,-0.0591,1.2067,-0.0565
327,-0.6327,0.4592,1.0144,0.1605
328,1.1121,0.739,-0.016,-0.3682
329,0.0296,-0.5096,0.1434,1.2054
330,0.1911,1.188,-0.321,-0.5514
331,-0.5984,0.4505,1.2819,0.1218
332,0.0751,0.8761,0.9763,-0.5188
333,-0.609,-0.0022,-0.9954,0.0284
334,-0.6918,1.5054,1.0188,-0.4026
335,-1.0847,-0.0848,0.1576,-0.3037
336,-0.8535,-0.1645,0.799,2.1389
337,-0.5716,1.1216,0.5904,-0.1039
338,1.9785,1.2728,-0.2397,-0.8959
339,0.0156,-1.3378,-1.4992,1.5299
340,-0.6128,0.6945,0.0229,-0.3405
341,-0.3565,0.7697,1.3623,0.2375
342,-0.8116,0.4148,0.5448,-0.0717
343,0.5671,0.6527,1.1778,-0.5729
344,-1.0063,0.6775,0.9282,-0.2734
345,-0.5101,0.8667,1.2456,0.1037
346,-0.3447,0.0494,1.0372,1.1957
347,-1.2946,0.5552,0.0848,0.6117
348,0.9713,0.8645,-0.1231,0.3812
349,-0.7534,0.5241,1.306,0.3244
350,-1.1648,0.7382,1.1093,-0.0562
351,-0.6451,0.6531,1.462,-0.9696
352,-0.3837,0.6196,0.9874,0.4144
353,0.0576,0.4172,1.2481,0.0374
354,0.8608,0.6358,0.5421,-1.1359
355,-0.7886,1.2442,1.0481,-1.1348
356,0.453,1.0557,0.8442,0.1434
357,-0.5736,1.0256,1.3147,-0.6666
358,-0.2989,0.6615,-1.4466,0.4946
359,-0.69,1.2164,1.4065,0.3406
360,-0.126,0.6533,0.7419,-0.8617
361,0.436,0.8551,-1.6698,-0.1983
362,-1.1866,-0.1289,0.7153,1.5585
363,-0.8679,0.8402,0.4619,-0.7131
364,-0.5003,0.8536,1.4209,-0.6805
365,-0.3252,-3.1648,0.8997,-0.1843
366,-0.6288,0.2127,-0.7264,-0.2669
367,1.0762,0.8368,0.298,-0.0521
368,-0.7222,0.61,1.0362,-0.827
369,-0.0903,-0.2272,0.8183,0.2753
370,-0.8802,0.8723,1.4388,-0.4303
371,-0.6779,-0.1428,-0.6357,-0.0562
372,-0.3427,0.3861,1.2501,0.8374
373,-0.9411,0.7159,0.6529,0.2796
374,-0.703,-0.1054,1.3493,1.0552
375,0.3924,0.729,1.3811,-0.1054
376,-0.2408,0.2143,1.0813,0.9017
377,0.3623,0.6602,0.916,-0.3865
378,2.0378,0.0722,0.0614,0.4456
379,-0.4407,0.496,1.5282,-0.8963
380,-1.0365,0.3074,1.4334,1.1013
381,1.2079,0.8235,-1.2964,-0.8036
382,1.4558,0.5634,0.9269,-0.6076
383,-0.95,0.4005,1.0635,-0.2244
384,0.4864,-2.0339,-0.4511,-0.1506
385,0.8332,0.3205,-1.4128,0.8139
386,-0.6502,0.716,2.0575,-0.4594
387,-1.1139,0.3585,0.7103,0.6731
388,0.0365,0.7269,-0.1257,-0.1689
389,-0.4784,1.2185,-0.5556,-0.1044
390,-1.2632,0.3036,1.2445,0.9477
391,-0.3658,0.3751,0.9813,0.3253
392,-0.0217,-1.8595,-1.634,-0.1144
393,-1.3154,-0.0935,0.8833,0.8309
394,-0.9476,-0.1223,0.7578,0.3563
395,-1.1338,0.2997,-0.6636,0.4016
396,-0.6934,0.1463,0.0219,-0.4766
397,-1.6464,0.2604,1.316,0.6235
398,-1.089,1.4195,-1.6513,-0.0377
399,-0.9205,1.0036,1.1923,0.1686
400,0.22,0.3238,-0.7825,-0.161
401,-1.1046,0.6348,-0.9619,-0.2071
402,-0.0075,0.5622,-0.7317,-0.6243
403,0.9769,0.6255,1.0086,-0.3679
404,0.3371,-1.0749,-1.3422,1.4069
405,0.89,0.5428,-1.2615,-0.393
406,-0.8566,0.9508,0.9715,-0.257
407,2.1023,0.8141,-0.6371,-0.813
408,-0.7124,0.8324,1.071,-0.0337
409,-0.3045,-0.9701,-1.2363,1.0294
410,-0.3559,0.6901,-1.3029,-0.409
411,0.2376,0.8494,0.6593,-0.5357
412,-0.9573,0.9169,0.6303,-0.2941
413,0.6143,0.8381,1.0551,-0.0773
414,-0.9667,0.0525,0.4264,-0.6958
415,-0.8584,0.9176,1.3583,-0.0813
416,-0.9502,0.0669,-0.2889,-0.1338
417,-1.0425,1.494,1.1119,-0.297
418,0.3187,0.7884,-0.0528,0.0366
419,0.7238,0.6678,-1.3608,-0.6194
420,0.2084,0.9023,1.643,-0.1975
421,-0.9041,0.8929,0.2443,0.2206
422,-0.9372,1.3623,0.8191,0.1812
423,1.4718,0.0914,0.9479,-0.0714
424,-0.3313,0.2352,-1.2611,0.0375
425,-0.86,0.4184,0.8359,1.1518
426,-1.2241,0.4868,0.1204,-0.3312
427,-0.5813,0.0555,1.3542,0.1696
428,0.021,-1.7698,-1.31,1.1372
429,-0.9111,1.0604,1.0279,0.7912
430,0.4845,1.0225,0.3042,-0.5934
431,-0.8681,-0.0431,1.1617,0.4565
432,-0.6405,0.0342,0.9793,0.5685
433,-0.6587,1.1965,1.5934,0.2029
434,-0.9638,0.7823,1.0732,-0.0241
435,-1.3023,-0.1922,1.5846,1.9799
436,-0.8683,0.2567,0.8786,-0.8037
437,0.7605,0.4017,0.8547,-1.3746
438,-0.5815,0.6246,-0.9266,1.1797
439,0.9273,0.5931,-1.6231,0.4043
440,1.0173,0.5316,0.1183,-0.4141
441,-0.7115,0.4573,-0.8504,0.5685
442,0.9535,0.4649,0.089,0.1
443,-1.0421,-0.8496,1.3425,1.5306
444,-0.8497,0.7521,0.3899,-0.4098
445,-0.6944,0.122,2.017,0.1973
446,-1.1025,0.6445,-0.3504,0.7694
447,-0.9162,1.3413,0.6663,0.6304
448,-0.8513,0.5108,0.7019,-0.8794
449,0.4438,0.8767,0.3742,0.283
450,1.9438,0.8253,-1.3862,-0.5244
451,-0.9389,0.967,0.9488,0.1297
452,1.5515,1.0293,-0.7299,-1.5951
453,-0.6208,0.3698,0.1617,-0.0902
454,-0.9571,-0.4074,-0.5269,0.6847
455,-0.0667,0.5589,0.5383,0.0815
456,-1.1307,0.5897,1.4709,0.3523
457,-0.4718,1.0582,-1.3249,-0.2153
458,-0.2575,0.2269,1.0546,0.6086
459,0.4642,-3.7514,-1.7022,2.541
460,-0.8293,-0.0318,1.1208,0.0613
461,0.0855,0.5758,-1.6163,0.0359
462,-0.4556,-0.2269,-1.0887,0.5337
463,0.3518,0.5927,0.2365,-0.74
464,-0.0101,0.9067,-0.077,-0.1775
465,1.6606,0.9023,0.1831,-0.8166
466,-0.2362,-3.1358,0.8049,0.3025
467,-0.5916,1.0666,1.2998,0.0172
468,0.5458,0.4205,-0.9936,0.3418
469,-0.4436,0.4009,-1.4576,0.2353
470,-1.0391,0.905,1.1085,-0.3981
471,1.1212,0.1739,1.3064,-0.6625
472,-0.0592,0.779,-0.9565,-0.0317
473,-1.0031,1.6067,0.2444,-0.1279
474,0.7288,0.5151,-1.4857,-0.466
475,1.2697,0.354,1.7186,-0.4644
476,0.4217,0.6902,0.3012,0.2453
477,-0.828,1.1674,0.8644,0.0806
478,-0.4691,-0.3126,-1.4018,2.5195
479,-0.7416,-2.1639,0.8451,0.0503
480,-0.495,-0.0514,0.6798,-0.1696
481,-0.87,1.2096,1.234,0.6042
482,-0.7974,0.7413,0.0962,0.2101
483,-0.35,0.5872,1.3035,-1.0726
484,0.5523,0.3991,-0.8357,0.658
485,-0.5285,0.7037,0.9634,-0.4568
486,-0.9022,-1.7697,-0.5816,0.0159
487,0.5936,-2.025,0.0174,0.0095
488,-0.9513,0.3492,0.5636,-0.1817
489,-0.9967,0.1969,0.6606,-0.045
490,-0.5065,0.7273,1.3364,0.2617
491,-0.4685,-0.0336,1.0485,0.3429
492,-0.0132,0.545,1.4033,-1.4107
493,0.8983,0.5703,0.134,-0.4056
494,-0.6158,0.302,0.0515,0.7526
495,-0.7114,0.4071,1.7942,0.3402
496,0.7601,-1.1499,1.2998,0.8655
497,-0.7042,0.3459,-1.5629,0.5174
498,-0.8509,0.5321,0.5532,-1.008
499,-1.2872,0.4993,-0.7529,0.5363
500,0.334,0.7906,0.5449,0.5287
501,1.5169,0.8225,-1.4243,-1.0907
502,-0.686,0.7869,1.0122,-0.6545
503,-0.6646,1.2188,0.9599,0.8093
504,-0.1405,-1.4973,0.2861,2.0248
505,-1.1222,-0.0513,0.9551,1.4475
506,1.9971,0.2162,1.087,-0.9736
507,-0.461,0.6774,1.2421,0.1099
508,-0.9444,0.6378,1.0291,-0.5042
509,-0.9094,0.313,1.2727,0.2701
510,-0.77,0.6932,1.0489,-0.3867
511,1.2656,0.2733,0.4213,-0.4965
512,-0.8058,0.8424,1.0843,0.0848
513,1.0292,0.8145,0.5529,-1.1744
514,-0.674,-1.3351,-0.8404,0.9546
515,0.9475,-0.0022,0.9061,0.1213
516,-0.9102,0.7612,0.8579,-0.009
517,-0.7307,0.5652,1.6439,0.4709
518,-0.9238,0.9928,0.1818,1.0332
519,1.5123,0.9007,-0.1138,-1.0005
520,0.402,-0.7158,-0.1788,1.1643
521,-0.1822,0.8155,-1.1389,-0.5086
522,1.2721,0.3147,-1.4995,0.2953
523,0.9527,-0.2281,0.9106,0.8759
524,-0.2418,-3.4705,1.3609,0.5534
525,-0.564,1.3608,0.3073,-0.3375
526,-0.9538,-0.4903,1.2019,1.4445
527,-0.9776,-0.0268,0.6575,-0.4957
528,1.2496,0.4932,0.9846,-0.7212
529,-0.8808,0.5935,0.4192,-0.7291
530,0.1507,-0.0709,1.0233,-0.833
531,-0.821,0.5362,-1.1856,0.5287
532,-0.4079,0.0193,0.9576,0.3148
533,-0.832,0.8782,0.6294,-0.1403
534,-0.6998,0.2141,-0.0859,0.1
535,-0.4779,0.785,-0.6359,-0.427
536,-0.4717,0.6928,1.155,0.649
537,-0.2639,0.541,-1.3146,0.9555
538,-1.2883,0.2244,1.2741,1.2438
539,0.4927,1.1964,0.9406,0.8178
540,-0.8046,-0.0442,-0.0645,0.0973
541,-0.7307,0.1791,1.1972,-0.5055
542,-1.0231,0.6334,-0.0248,0.613
543,0.4518,0.7143,1.2128,-1.1386
544,-1.0268,0.4774,1.3974,-1.2857
545,-0.8502,0.6942,0.892,-0.1058
546,-0.3632,0.8375,1.1523,-0.2119
547,-1.0471,0.5017,-0.8996,-0.0215
548,-0.765,0.638,-1.1323,0.1475
549,-0.8251,0.9115,1.6914,-1.0898
550,-1.287,0.6109,0.3033,0.1165
551,-1.0454,0.2093,1.3184,-0.3346
552,-0.629,0.7379,1.2616,-0.3235
553,-0.7323,0.6766,1.3444,-0.214
554,-0.169,0.4676,1.1635,0.1743
555,0.3001,-1.7995,1.2095,-0.7914
556,0.491,0.9265,0.9083,0.5779
557,-0.4581,0.1165,0.3328,-0.3815
558,-0.6545,0.7914,0.9245,0.976
559,1.1508,1.1031,1.5749,0.3419
560,-1.1523,-1.0203,0.108,0.0269
561,-1.1733,-0.0689,-0.0994,0.0666
562,-0.5879,0.761,0.8295,-0.1088
563,-0.386,-0.955,-0.87,0.1704
564,-0.9007,0.9307,0.9209,-0.505
565,-0.1915,0.7043,1.3315,0.7638
566,-0.7544,0.7118,1.2665,0.9155
567,-0.1918,0.7309,1.6418,-0.9205
568,-0.2629,0.3283,-1.3474,-0.5978
569,-0.8932,0.0042,0.8267,-0.3693
570,-0.8589,-0.9897,-0.356,0.8119
571,-0.8655,0.7716,1.1611,0.0657
572,1.2463,-0.8206,-1.0908,0.6393
573,-0.3756,1.0884,0.0474,0.746
574,0.5842,-1.2976,-0.6408,0.4007
575,-0.7413,1.0819,0.7991,-0.218
576,0.7011,-2.4342,-0.0306,1.0371
577,-0.3865,-2.4946,0.2251,1.5522
578,0.6683,-1.2323,1.3734,-0.0856
579,-0.1577,0.3051,-1.3495,-0.3346
580,0.4102,0.3504,-0.7527,-0.6562
581,-0.7673,1.0637,0.5791,0.4412
582,-0.2886,0.7557,1.1058,-0.6482
583,-0.7462,0.7639,0.7602,0.4401
584,1.0843,0.6037,-1.132,0.881
585,-1.4325,0.3744,1.0766,0.2962
586,-0.1921,1.1548,-1.0752,1.1814
587,-1.0689,0.6266,0.205,0.4548
588,-0.5786,0.2404,0.1481,-0.0637
589,-0.0761,0.784,0.4298,0.2034
590,-0.5092,0.4334,1.628,0.1898
591,-0.7234,1.1068,0.9391,-0.4991
592,-0.91,0.1975,1.2073,0.234
593,-0.98,0.4638,1.4115,-0.4359
594,-0.9727,-0.607,-1.2689,1.2516
595,-0.6446,-0.7788,-1.2726,0.8909
596,-1.3404,0.3077,1.0439,-0.8995
597,0.5134,0.9726,-0.1198,0.0525
