img_no,img_path,eyes_score,hair_color_score,hair_length_score,mouth_score,pose_score,background_mean_score,background_std_score
25,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000025.jpg,-0.9083,1.2912,-0.1864,1.9564,-0.4809,0.3054,0.9585
26,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000026.jpg,-0.2559,0.2955,0.7913,0.9677,-0.4323,1.2602,-0.534
27,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000027.jpg,0.5759,0.5452,0.7442,0.8822,-0.3176,0.2852,-0.4901
28,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000028.jpg,-0.8986,-0.3315,-1.189,0.6136,-0.3961,-1.5618,-0.5785
29,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000029.jpg,1.4944,-1.2866,0.4326,-1.0402,-0.3747,-0.2854,0.0088
30,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000030.jpg,-1.192,-0.7203,-2.6332,0.5273,0.0277,0.7408,0.6027
31,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000031.jpg,-1.1163,-1.5388,0.4278,0.7006,-0.5869,0.1181,-0.3636
32,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000032.jpg,-1.6952,0.2268,-0.6294,0.9654,-0.2661,1.3383,0.3624
33,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000033.jpg,-0.6367,1.0126,-0.8671,-0.5757,-0.6218,1.1062,-0.3754
35,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000035.jpg,0.0135,1.6036,0.4469,-0.9603,-0.5068,-0.7291,-0.7747
37,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000037.jpg,-0.6432,-1.0654,-1.0599,1.8046,2.2053,-1.7005,-0.9926
39,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000039.jpg,-1.4852,0.7691,1.2358,-0.4314,5.8423,0.0124,-0.4396
42,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000042.jpg,0.5379,-0.0473,0.5876,-0.1925,-0.3866,-0.7627,0.7847
44,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000044.jpg,0.6483,0.1237,-1.0667,0.9275,-0.4505,0.9478,1.8405
47,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000047.jpg,0.7593,-1.027,-1.7637,-0.9283,0.2256,1.0163,-0.0066
51,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000051.jpg,-0.7857,0.8293,0.8977,1.1286,0.8042,1.369,-0.9093
52,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000052.jpg,-0.8929,-0.7502,-0.7847,2.3191,-0.9987,-0.8502,0.9114
53,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000053.jpg,-0.0609,1.5698,0.8696,0.8301,0.1048,1.1422,-0.4436
56,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000056.jpg,-0.6949,0.0265,0.2575,0.8549,-0.2198,-0.3477,-0.769
57,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000057.jpg,-0.9158,-0.9567,-0.1803,-0.885,-0.5941,-1.303,1.1993
59,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000059.jpg,-0.9055,1.248,0.7547,1.1666,0.9026,0.361,1.1744
60,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000060.jpg,-0.6299,0.1701,-0.7556,1.1536,0.5492,-1.2317,0.4529
61,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000061.jpg,0.6421,-1.4085,-2.4055,0.1484,-0.3969,0.5189,1.5886
62,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000062.jpg,-0.4585,-0.8953,0.0292,1.2523,-0.2118,0.6777,-0.5553
63,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000063.jpg,-0.8164,0.6446,0.9316,-1.0286,1.8838,1.1594,0.75
64,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000064.jpg,-0.4043,1.097,0.8602,1.4722,-0.1841,-0.2524,2.6733
65,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000065.jpg,0.5126,-0.5459,-2.0261,-0.955,-0.4133,-1.2598,1.2174
66,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000066.jpg,0.6387,-0.4304,0.1194,-0.8787,-0.4215,0.1633,-0.4477
70,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000070.jpg,-1.9017,1.2691,0.5669,1.6517,0.279,-0.4565,2.3961
73,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000073.jpg,-0.6604,-0.5278,-0.5704,0.707,1.2297,0.4571,0.9955
75,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000075.jpg,-0.779,-0.3846,0.8087,1.4711,-0.4333,0.4493,1.0712
77,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000077.jpg,-0.8496,-0.6102,-0.0906,-0.4507,-0.5592,0.7745,-0.5791
80,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000080.jpg,1.4942,-0.773,0.9745,1.0017,-0.6364,-1.4146,-0.5424
84,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000084.jpg,1.6787,-0.4931,-1.7791,-0.8581,-0.5181,-0.1337,1.041
85,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000085.jpg,-0.0729,-0.4766,-2.913,0.7178,-0.3287,-0.3261,0.1775
86,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000086.jpg,2.1661,-0.3152,0.63,-0.7421,8.62,1.2572,-0.6678
88,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000088.jpg,-1.068,0.0508,0.7328,1.3968,-0.0837,0.8045,-0.3249
90,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000090.jpg,-0.7954,0.4343,-0.2498,0.7935,-0.9446,-0.5248,-0.5649
91,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000091.jpg,0.5394,-0.0074,0.4458,-0.8922,-0.6743,1.292,-0.6898
92,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000092.jpg,0.3769,-0.8187,0.5153,1.3565,-0.485,-1.3522,-0.6116
94,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000094.jpg,0.3763,-0.731,-0.1249,-0.7743,-0.4238,0.7683,-0.7206
97,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000097.jpg,0.0867,0.0188,0.8577,-1.0541,-0.5663,0.7251,-0.4477
98,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000098.jpg,1.7549,-1.123,-1.6119,-0.5699,-0.2647,-0.507,-0.1933
100,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000100.jpg,0.9328,-0.6061,0.1165,-1.0836,-0.541,1.7672,-0.3879
103,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000103.jpg,0.4406,-1.1898,0.9298,-1.0948,-0.4699,1.1856,-0.0839
105,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000105.jpg,-0.6782,-1.0437,-0.0962,1.5583,-0.5701,-1.0601,0.7714
106,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000106.jpg,0.2744,0.0844,0.5355,0.5443,0.1622,0.3736,0.4851
108,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000108.jpg,0.3363,0.1343,0.1249,0.6979,-0.5584,0.1421,-0.0882
109,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000109.jpg,-0.4735,-0.3453,0.4548,0.8427,-0.364,-1.3241,-0.6374
113,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000113.jpg,-0.703,1.0878,0.5427,-0.9541,1.1671,-1.3241,-0.0992
114,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000114.jpg,0.2866,0.463,1.2824,1.5914,-0.2923,0.6462,-0.5588
116,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000116.jpg,-0.4623,0.7708,0.5801,-0.8898,0.3279,-0.4749,1.1578
118,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000118.jpg,1.0529,2.3548,-2.485,-0.7528,-0.488,-0.1384,0.7766
119,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000119.jpg,0.0156,-0.5257,-3.4215,-1.1234,-0.5244,-0.0963,0.6685
121,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000121.jpg,-1.5544,-0.7031,0.7005,0.8953,-0.5854,0.3291,2.7328
124,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000124.jpg,0.1197,0.5022,0.816,1.7372,-0.4841,0.5783,-0.1756
127,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000127.jpg,1.1279,0.5119,-2.392,-0.9701,-0.5182,1.3116,-0.2264
130,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000130.jpg,1.6503,0.5853,-0.7306,-1.0318,0.1642,-1.013,0.6681
131,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000131.jpg,-0.5514,-1.1335,0.1175,0.4003,-0.2933,-0.2261,2.2924
133,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000133.jpg,1.1731,0.6316,-0.4946,-0.9393,3.5558,-0.6746,-0.5149
134,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000134.jpg,-1.0727,-1.2064,0.8305,1.5524,-0.466,-1.5446,-0.6791
135,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000135.jpg,0.2455,-0.8726,1.0262,-1.2603,-0.2304,0.8746,-0.5995
136,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000136.jpg,1.5219,-0.4359,-0.6094,-1.1478,-0.0716,1.1713,0.6148
137,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000137.jpg,-0.8229,-0.6083,0.6087,1.0826,-0.59,1.0447,-0.6771
140,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000140.jpg,0.1644,-0.526,1.0704,-0.9819,-0.1133,1.3162,-0.6673
141,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000141.jpg,0.5439,-0.4089,0.2898,1.1027,-0.6222,-0.9081,1.7783
142,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000142.jpg,0.1303,1.2747,0.3148,-0.9633,0.223,-0.1822,-0.361
143,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000143.jpg,0.4081,-0.2774,0.0305,1.2361,-0.4796,-0.8772,0.0133
148,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000148.jpg,0.5658,-1.2255,0.6765,0.4662,-0.5711,0.21,1.9276
151,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000151.jpg,0.2083,-0.3328,0.5741,-0.8616,0.3496,-0.3016,0.3957
154,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000154.jpg,0.1249,0.1494,-1.1021,-0.9693,-0.2957,-0.3158,0.3463
155,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000155.jpg,-0.1248,0.923,-0.1989,-0.9541,-0.4528,-0.3772,2.5432
157,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000157.jpg,-0.6598,1.165,-1.0147,0.1272,-0.0132,-1.9909,-0.8201
158,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000158.jpg,2.5147,-1.2563,0.1628,-0.0501,5.9499,0.6884,-0.2322
159,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000159.jpg,0.0565,-0.8436,0.9663,0.6339,-0.3349,-0.8779,-0.5546
160,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000160.jpg,1.5261,-0.0102,0.6851,-0.7716,-0.7094,-1.8,-0.6348
162,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000162.jpg,1.8383,0.6107,0.6253,-0.9517,-0.1703,1.4232,-0.6386
163,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000163.jpg,1.2088,2.7282,0.4413,-0.4753,-0.0428,1.3848,-0.8189
164,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000164.jpg,0.6384,0.5004,0.9376,-0.9947,0.1432,-0.7715,-0.9191
166,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000166.jpg,0.4099,-0.6588,0.3486,-1.2425,-0.4899,0.6533,-0.6282
167,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000167.jpg,1.7777,-0.471,-2.3339,-0.947,-0.3439,0.4643,-0.0362
169,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000169.jpg,1.3705,0.1514,-0.6958,-0.87,-0.6393,-0.725,-0.0971
171,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000171.jpg,-0.9678,-0.5754,-0.692,1.4437,0.7522,1.046,0.3903
172,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000172.jpg,1.4213,-0.1523,-2.7129,-1.0114,-0.1437,1.0016,1.1476
173,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000173.jpg,-0.7751,-0.9103,-0.5174,-0.6164,-0.2805,1.3345,-0.8272
175,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000175.jpg,-1.0235,0.2341,-1.0139,1.4029,-0.0968,0.7236,-0.7249
176,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000176.jpg,-1.187,1.8603,-1.9795,2.1398,-0.3906,0.921,-0.8485
179,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000179.jpg,-0.71,-0.8338,0.5676,-0.9408,-0.3971,0.3092,2.4751
180,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000180.jpg,0.869,2.1328,0.2398,0.5447,-0.7039,1.6476,-0.1989
182,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000182.jpg,-0.184,-0.3669,0.6886,1.4932,-0.4157,-0.7828,-0.3039
183,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000183.jpg,-0.007,-0.947,0.264,-0.9439,-0.5373,-0.878,0.6272
186,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000186.jpg,-0.6455,1.1905,-2.9253,1.0153,-0.5102,0.3782,0.7009
187,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000187.jpg,0.4532,1.3175,-1.1582,-0.8714,0.3194,0.0933,-0.5202
189,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000189.jpg,-0.1229,0.1955,0.3047,0.1656,-0.1896,0.756,-0.5501
191,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000191.jpg,0.4495,-0.6855,0.8453,-0.9984,-0.3797,1.1119,0.5199
197,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000197.jpg,-0.2827,1.0544,-0.8887,1.0734,-0.2139,0.4996,1.8629
199,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000199.jpg,-1.5054,0.673,0.4227,-0.2252,3.0596,-1.2599,-0.4806
202,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000202.jpg,1.3712,2.1854,-0.435,-0.974,-0.2994,-0.9369,0.9538
203,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000203.jpg,-0.155,1.4767,0.7416,1.0682,-0.478,1.5002,-0.6595
205,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000205.jpg,-0.2165,-0.3004,0.413,-0.9406,-0.422,0.782,-0.0716
207,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000207.jpg,0.0067,-0.7711,0.4165,0.1204,0.5725,1.3372,-0.8779
208,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000208.jpg,0.0329,-0.2651,-2.5978,-1.004,-0.6981,-0.2386,1.4205
213,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000213.jpg,-0.7212,0.9634,0.2271,0.0589,2.0471,-1.2948,-0.2683
214,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000214.jpg,-0.6922,0.8626,0.6457,0.4078,-0.508,-1.0687,0.0127
215,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000215.jpg,-1.148,-0.8211,-0.9114,0.1597,0.2503,-0.7855,1.4608
217,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000217.jpg,0.0161,-0.7333,-0.2278,-0.9765,1.1925,-0.074,-0.3372
218,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000218.jpg,0.685,-0.5688,0.5955,-0.3957,-0.5285,-0.4967,-0.2811
223,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000223.jpg,-1.2097,2.0434,0.6138,1.0088,0.0635,0.5445,0.5708
224,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000224.jpg,-0.4413,-0.6921,0.8668,1.6528,1.0135,-1.5679,-0.7302
226,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000226.jpg,-0.4246,-0.2021,0.0257,-0.3837,0.099,1.0685,0.5791
227,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000227.jpg,-0.3426,-0.3921,-2.7543,1.3742,-0.2582,0.2869,-0.34
236,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000236.jpg,-0.3615,-1.4073,-1.1207,-1.1207,0.3359,-0.281,0.9481
237,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000237.jpg,-0.0074,-1.2202,-2.7261,-1.0889,-0.3159,0.2497,0.3783
239,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000239.jpg,-0.3621,0.3351,0.4277,-1.129,0.251,0.4455,4.1172
