,img_no,img_path,eyes_score,hair_color_score,hair_length_score,mouth_score,pose_score,background_mean_score,background_std_score
20,32,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000032.jpg,-2.0638,2.1085,-0.7123,0.3164,-0.0435,1.1174,0.3372
21,33,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000033.jpg,-0.9932,1.4599,-0.4365,-0.4403,0.7003,0.8986,-0.4231
22,35,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000035.jpg,0.0774,0.4116,0.5565,-1.197,0.0751,-0.8688,-0.0572
23,37,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000037.jpg,-0.2795,-1.5016,-1.3191,1.9244,1.9797,-1.6096,-0.711
24,39,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000039.jpg,1.148,0.9685,1.0751,2.3028,4.9914,-0.0622,-0.4555
25,42,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000042.jpg,0.4343,-0.1322,0.7882,-0.1565,-1.5681,-1.0014,0.6884
26,44,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000044.jpg,0.4343,0.0578,-0.8999,0.411,-1.2954,1.0451,2.3309
27,47,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000047.jpg,1.148,-0.3026,-1.7384,-1.1024,0.0635,1.0405,-0.6025
28,51,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000051.jpg,-0.2795,1.1781,0.9096,0.6002,-0.2313,0.9521,-0.5756
29,52,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000052.jpg,-2.4207,-0.5974,-1.0985,7.3159,1.2489,-0.7742,0.0746
30,53,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000053.jpg,-0.2795,1.2174,0.6779,0.6002,-0.2299,1.3605,-0.7743
31,56,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000056.jpg,-0.6363,0.1364,0.2255,0.884,-0.028,-0.3941,-0.3746
32,57,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000057.jpg,-0.6363,-1.305,-0.5247,-1.2915,-0.6791,-1.6849,-0.566
33,59,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000059.jpg,-0.9932,0.8374,0.7882,0.884,0.2361,0.3498,-0.442
34,60,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000060.jpg,-0.9932,-0.6564,-1.3412,1.3569,-0.1053,-1.1276,0.0361
35,61,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000061.jpg,0.4343,-1.115,-2.3121,0.5056,-1.042,0.927,0.0361
36,62,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000062.jpg,-0.6363,-0.6105,-0.293,0.884,-0.2214,0.5574,-0.8391
37,63,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000063.jpg,-0.2795,2.3968,0.9868,-0.8186,1.9484,0.9067,0.8441
38,64,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000064.jpg,0.0774,0.7916,0.7662,0.884,-0.4689,0.1728,1.4084
39,65,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000065.jpg,0.4343,-1.0561,-1.3853,-0.724,-0.9304,-1.3331,1.2772
40,66,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000066.jpg,1.148,-0.1322,-0.2379,-0.724,-1.6752,0.0682,-0.1953
41,70,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000070.jpg,-2.0638,0.3985,0.8213,1.8299,-0.9365,-0.3562,2.1249
42,73,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000073.jpg,-0.6363,0.4771,-0.6792,0.411,0.9784,0.8833,0.2132
43,75,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000075.jpg,-0.9932,1.0274,1.3178,0.9786,0.2377,0.5007,2.0939
44,77,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000077.jpg,-0.9932,0.4378,-0.3923,0.2219,-0.2456,0.8947,-0.4617
45,80,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000080.jpg,0.7911,-1.043,1.042,0.5056,-0.2094,-1.2504,-0.2495
46,84,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000084.jpg,2.2186,-0.106,-1.2971,-0.4403,-0.5246,0.2435,-0.7333
47,85,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000085.jpg,-0.2795,-0.355,-3.3272,0.884,-0.792,-0.4908,0.1694
48,86,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000086.jpg,3.2892,2.4983,0.7441,1.7353,7.293,1.246,-0.7711
49,88,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000088.jpg,-0.9932,0.1036,0.8103,1.1677,-0.2367,0.6565,-0.6976
50,90,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000090.jpg,-0.9932,-0.0274,-0.3041,-0.0619,0.2577,-0.6055,-0.787
51,91,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000091.jpg,0.0774,1.604,0.8986,-0.8186,0.1263,0.9706,-0.6857
52,92,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000092.jpg,0.4343,-0.735,0.5455,1.3569,-1.2028,-0.856,-0.7193
53,94,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000094.jpg,0.7911,-0.9709,-0.2268,-0.6294,-1.6128,0.5515,-0.717
54,97,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000097.jpg,0.0774,0.1495,1.0861,-1.0078,-0.7543,0.7957,-0.5975
55,98,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000098.jpg,1.148,-1.0888,-1.0102,-0.2511,-0.1492,-0.9815,0.4473
56,100,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000100.jpg,0.7911,-0.3943,-0.1606,-0.8186,0.5058,1.5691,-0.8834
57,103,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000103.jpg,-0.6363,-1.0561,0.9537,-0.9132,0.2813,0.8785,1.3789
58,105,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000105.jpg,-1.3501,-1.0102,-0.2268,2.492,2.0582,-1.2237,0.7341
59,106,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000106.jpg,-0.2795,1.0078,0.6448,-0.3457,0.1865,0.2867,0.1427
60,108,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000108.jpg,0.7911,0.6998,-0.0503,0.411,-0.2891,0.204,0.0649
61,109,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000109.jpg,-0.9932,-0.7481,0.2807,0.6002,-0.968,-1.4037,-0.7268
62,113,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000113.jpg,-0.6363,-0.4795,0.6227,-1.1024,1.1054,-1.3207,0.1935
63,114,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000114.jpg,0.0774,0.3985,1.4613,1.5461,-0.9875,0.6465,-0.4571
64,116,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000116.jpg,-0.2795,0.0578,0.7441,-1.0078,1.0368,-0.2565,1.9485
65,118,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000118.jpg,0.7911,1.8399,-1.1205,-1.1024,-2.6655,-0.3045,2.4164
66,119,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000119.jpg,0.4343,-0.6171,-2.1356,-1.197,-1.0625,0.0097,1.2031
67,121,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000121.jpg,-2.0638,-0.4926,0.711,0.9786,0.1083,0.4875,3.1718
68,124,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000124.jpg,0.0774,0.3264,0.8213,1.6407,-0.6863,0.7465,-0.6582
69,127,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000127.jpg,1.5049,0.8374,-2.8197,-0.6294,-1.1764,1.344,-0.4571
70,130,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000130.jpg,1.148,-0.2633,-0.5799,-1.197,0.5985,-1.1888,0.1067
71,131,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000131.jpg,-0.6363,-0.7874,0.1814,0.3164,-0.1095,0.5132,1.9979
72,133,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000133.jpg,1.8617,0.0709,-0.5689,-0.724,3.6693,-0.5592,-0.0194
73,134,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000134.jpg,-0.9932,-1.4099,0.7551,1.1677,-0.1471,-1.582,-0.6697
74,135,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000135.jpg,0.4343,-0.7219,1.053,-0.9132,-0.802,0.9997,-0.347
75,136,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000136.jpg,1.148,-0.3026,-0.624,-0.9132,-0.525,1.1178,-0.0164
76,137,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000137.jpg,-0.2795,-0.165,0.7882,1.3569,0.1573,0.8794,-0.558
77,140,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000140.jpg,0.0774,0.2085,1.2627,-0.9132,-0.3098,1.1562,-0.823
78,141,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000141.jpg,0.7911,-0.5254,0.2035,1.6407,-1.3857,-0.0664,0.4375
79,142,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000142.jpg,0.4343,1.0799,0.1262,-1.0078,0.4638,-0.1456,-0.3661
80,143,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000143.jpg,0.4343,-0.6433,0.06,0.5056,-1.2898,-1.2591,-0.59
81,148,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000148.jpg,0.4343,-0.9971,0.9096,-0.0619,-0.3425,1.0651,1.2882
82,151,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000151.jpg,0.0774,0.0709,0.4683,-1.1024,1.8444,-0.0598,1.2246
83,154,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000154.jpg,0.7911,0.1167,-2.5107,-1.2915,-0.5383,-0.5779,0.392
84,155,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000155.jpg,0.0774,0.2707,-0.3372,-0.8186,-0.4028,-0.442,2.814
85,157,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000157.jpg,-0.2795,-1.5671,-1.0764,-0.1565,0.2079,-1.702,-0.8621
86,158,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000158.jpg,4.0029,2.5016,0.3579,0.9786,4.9851,0.7486,0.2549
87,159,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000159.jpg,-0.2795,-0.7416,0.9648,0.7894,-0.2063,-0.8173,-0.7625
88,160,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000160.jpg,1.5049,-1.0561,0.7662,-0.724,-0.439,-1.7016,-0.7434
89,162,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000162.jpg,1.8617,1.0799,0.4903,-1.197,-0.8878,1.5495,-0.8661
90,163,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000163.jpg,0.7911,2.1871,0.4793,-0.1565,0.7774,1.1988,-0.8505
91,164,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000164.jpg,0.7911,-0.1716,1.031,-1.197,0.467,-0.7488,-0.8176
92,166,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000166.jpg,0.7911,-0.6367,0.3028,-1.1024,-0.7443,0.6412,-0.8445
93,167,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000167.jpg,1.8617,0.0643,-3.261,-0.5348,0.2022,0.0208,1.6918
94,169,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000169.jpg,1.5049,-0.2567,-0.8557,-0.9132,-0.616,-1.1038,-0.1429
95,171,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000171.jpg,-1.3501,0.2412,-0.4475,1.2623,-0.1038,0.9885,1.2912
96,172,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000172.jpg,1.5049,0.8342,-1.6501,-1.0078,0.9469,0.8461,1.0108
97,173,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000173.jpg,-0.2795,0.595,-0.7454,-0.6294,-0.0421,1.4218,-0.8135
98,175,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000175.jpg,-1.3501,0.6147,-1.3853,0.9786,-0.3468,0.6894,-0.7427
99,176,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000176.jpg,-0.9932,1.9251,-2.0694,0.9786,-0.1254,0.9694,-0.6565
100,179,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000179.jpg,-0.9932,-0.7481,0.4683,-1.197,-0.7126,0.7797,0.9209
101,180,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000180.jpg,0.4343,1.5581,0.5676,0.0327,-0.385,1.4811,-0.5168
102,182,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000182.jpg,-0.2795,-0.604,0.711,1.0731,-0.7013,-0.767,-0.5829
103,183,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000183.jpg,0.0774,-0.925,0.5786,-1.0078,0.2788,-1.1251,0.0397
104,186,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000186.jpg,-0.6363,0.975,-1.4736,0.411,-0.59,0.4152,-0.1707
105,187,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000187.jpg,0.0774,0.9881,-1.5619,-1.0078,0.3067,0.0176,-0.7861
106,189,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000189.jpg,0.4343,0.2871,0.5014,0.411,0.0182,0.4695,-0.1074
107,191,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000191.jpg,0.4343,-0.4991,0.8434,-0.8186,-0.1328,1.0651,-0.3202
108,197,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000197.jpg,0.0774,1.0536,-1.2529,0.7894,-0.2243,0.6364,-0.3174
109,199,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000199.jpg,-0.9932,-0.676,0.1483,0.6948,2.7577,-1.3948,0.0588
110,202,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000202.jpg,1.148,0.8833,-0.7895,-1.197,0.0057,-0.9737,0.7746
111,203,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000203.jpg,-0.6363,1.2109,0.5124,1.2623,-0.0026,1.3067,-0.7274
112,205,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000205.jpg,0.0774,-0.2305,0.4021,-0.724,-0.5337,0.8172,0.3754
113,207,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000207.jpg,0.0774,-0.0536,0.3579,0.0327,-0.1074,1.5368,-0.7429
114,208,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000208.jpg,0.0774,-0.7612,-2.1135,-0.724,0.2497,-0.3031,1.4174
115,213,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000213.jpg,-0.2795,-0.2305,-0.0062,0.7894,2.2204,-1.3489,-0.2108
116,214,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000214.jpg,-0.9932,0.1757,0.5896,0.884,-0.2507,-1.2218,-0.6403
117,215,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000215.jpg,-0.6363,-0.735,-1.2971,0.1273,0.283,-0.9236,0.9588
118,217,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000217.jpg,0.4343,0.4247,-0.5137,-1.0078,1.3336,0.0032,-0.2171
119,218,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000218.jpg,0.7911,0.2478,0.049,-0.1565,-1.1045,-0.3788,-0.6888
120,223,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000223.jpg,-0.9932,1.9382,0.8324,0.411,-0.2611,0.8916,-0.3589
121,224,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000224.jpg,-0.6363,-1.0692,1.0089,1.8299,0.6214,-1.3545,-0.7056
122,226,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000226.jpg,-0.2795,-0.1126,0.0049,-0.5348,0.1592,0.9431,0.1053
123,227,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000227.jpg,0.0774,-0.2174,-3.1727,1.0731,-0.4476,0.5124,-0.2278
124,236,C:\Users\20151\Documents\AI_Projects\2025_04_08_OhLoRA/stylegan_and_segmentation/stylegan/synthesize_results_filtered/000236.jpg,-0.6363,-0.9578,-1.4736,-1.1024,0.038,0.4924,-0.4052
