0,1,2
-0.8481,0.8356,-0.2329
0.3328,0.0878,-1.2178
-1.5852,-0.5343,-0.0898
-0.2544,1.3716,-0.681
-0.4133,-0.108,1.1251
-1.3026,-0.4738,-0.1142
-0.3312,-0.9574,1.5499
0.0423,1.3322,-0.7938
-0.0242,0.8374,-0.095
0.1572,0.6374,1.2712
0.5739,1.1097,-0.5464
0.202,-0.3786,0.2793
0.6037,-2.4168,-0.9818
-0.1173,-0.0217,0.0965
0.9742,-1.2346,1.7488
-0.5256,-0.1028,0.2945
-0.1196,-0.1564,-0.7558
-1.7758,-0.4617,0.6038
1.447,-0.3865,-0.155
1.2014,-0.3871,-0.1159
0.3058,0.8741,-0.3409
1.2991,-0.552,-0.8452
-0.624,1.0064,0.1861
-1.9162,0.0688,-0.9216
0.3399,0.3352,1.187
0.0816,-0.5133,0.6051
-2.0088,1.077,1.6189
1.1263,1.3963,-0.271
2.4979,1.2514,-2.0766
0.7862,1.3465,0.0272
-0.5844,0.2687,0.3362
2.5515,-0.2673,-0.8344
-0.8735,-0.1,1.3208
1.0674,0.0563,0.4267
0.9654,0.6223,1.9826
-1.0215,1.0384,1.3411
0.5857,0.9058,0.2754
1.6119,-0.0012,1.2385
0.6839,0.0271,-0.0527
1.1446,0.3324,0.3325
0.2803,0.2621,-1.9249
0.0216,1.1808,-2.3921
-1.4742,-1.0766,0.3033
1.0529,0.2202,-0.0384
1.9902,-0.1722,0.2634
0.8875,-0.0217,0.0715
0.0493,1.9426,-1.8335
0.5012,2.6762,-0.3115
0.5328,-0.7548,1.4485
0.3275,-0.5301,0.3835
-0.5657,-0.5746,-0.2465
0.1909,-1.1175,-0.538
0.8953,-0.976,-0.0935
-1.2418,1.1982,0.8324
0.1993,-2.1656,2.007
0.6566,-1.1722,-1.0764
-0.3187,0.1229,-0.0143
-1.1189,-0.3465,-0.0312
0.8789,-0.3683,-1.4156
0.2367,-0.2126,1.0845
-0.329,-0.5638,-0.4963
0.0564,-1.5504,-2.3091
-0.383,-0.927,-1.4981
-0.0865,-0.6268,1.0553
-0.2739,-0.9255,1.3929
-0.6029,0.4641,-1.3248
0.167,-0.4615,-0.6397
1.0285,0.3733,0.1536
0.8448,0.6387,-1.0158
-0.0177,-0.8817,0.7776
-1.146,0.2139,-0.7194
0.8964,-0.0457,0.2288
0.0799,-1.5087,1.1936
0.1634,-0.054,-1.3614
-0.1559,-1.8485,-0.6334
-1.1811,-0.0146,0.0043
-0.6394,0.7118,1.9003
-1.2209,0.5478,0.7155
-1.0085,0.2703,1.0938
0.7354,1.0275,0.8124
-2.0009,-2.4271,-0.3357
0.5106,-0.6724,1.1258
-0.9135,-0.3862,0.7547
-0.1122,0.0354,-1.3733
-0.7561,-0.607,0.7401
0.7209,-2.6573,0.5331
-0.593,-1.0775,-0.1598
-1.08,0.8929,0.1977
-0.0186,-0.2144,-0.6924
0.4456,0.0863,1.1005
-1.3989,-1.2232,0.0122
-0.2499,-0.8576,0.7662
0.3286,0.6526,-1.2702
-0.15,0.735,0.4594
1.1251,0.2346,0.0644
0.9161,0.049,1.8676
-0.4611,1.3674,0.3462
0.9695,0.2785,0.5008
1.6409,-2.3903,1.2814
0.0118,-1.4774,-0.6931
0.0281,-0.3994,-0.3756
-0.6904,-0.7779,0.0799
1.1698,-2.7144,-0.6972
0.0889,-3.5618,-0.0114
-0.1578,-0.0015,-0.1436
-0.0985,0.189,1.6548
0.8701,-2.2629,0.3687
-0.0535,-0.8031,-0.4905
0.4314,-0.3248,0.7655
-0.3309,0.9266,-1.1898
1.4747,0.5414,-1.8774
1.0318,-0.5307,0.1803
1.0746,0.0622,-0.1186
-1.9768,-0.4725,-1.1152
-0.1771,-2.2252,-1.0585
0.4435,1.2495,-1.336
-0.0264,0.1417,0.8849
1.3422,-0.1418,0.6975
0.5747,0.2337,0.3309
-0.2243,0.9055,-0.6366
-2.0152,-0.7606,-0.1967
-0.0352,-0.3877,-1.58
-1.3668,1.5301,2.1391
0.3326,1.4879,1.4107
-0.6756,1.3915,-0.0661
1.1843,-0.0007,0.7137
0.2052,-0.415,1.234
-1.619,-0.69,0.8603
0.4774,-1.3891,-1.2445
-0.6697,1.3764,-0.9708
-0.0696,-0.226,-0.6804
-1.4786,0.3198,0.1356
-1.2529,2.5691,0.3347
-0.9309,-0.2871,0.0043
-1.7518,1.0307,-0.3978
0.5355,0.8562,-0.0645
-2.2653,-1.3474,1.5687
-0.1239,0.6207,-0.5258
1.73,0.8267,-0.4869
-0.2834,-0.571,-0.2919
-0.1335,-1.3903,-0.2201
2.1231,-1.4901,0.0964
-0.4956,-0.7374,0.3323
0.8115,-0.2146,-0.9356
0.2745,1.9897,1.4324
0.7022,-0.5838,0.733
0.8113,-1.2594,1.1615
-0.4205,0.815,-0.9015
0.2982,-0.0467,1.2254
1.4883,0.4015,-0.8783
1.289,0.6599,1.6081
1.3028,1.115,0.635
0.2161,-1.7584,2.1321
-0.3407,0.6881,0.2109
0.5895,0.088,0.3723
1.3606,-0.572,1.101
0.0793,0.1144,-0.3107
-2.0163,0.7955,1.4919
-0.7695,0.6702,-0.3869
-0.4552,0.531,-0.1403
-1.6998,-0.2561,-0.2781
-2.3304,0.3251,1.8998
-0.0995,-0.1071,1.6075
0.6205,1.8062,1.9004
0.0438,0.0317,1.0319
-0.0018,-2.0592,-0.2457
-0.685,0.014,-0.9836
-0.1842,1.0479,-0.2887
0.534,-2.7663,-0.6845
1.2816,-0.7112,-0.7981
0.2091,1.1454,-0.4295
0.0279,0.3625,0.9357
-0.3303,-3.0225,0.0615
-2.0371,0.1132,0.1744
-1.5879,-0.1198,-0.9466
0.646,-0.8111,0.9138
0.4599,1.4145,0.2324
-0.2165,0.6593,-0.127
0.6277,-2.621,-0.1652
1.2378,1.2652,-1.4112
2.6934,-0.5377,0.35
0.3381,0.935,-0.0816
-0.8019,0.0533,-0.2067
-1.7117,1.1528,0.3174
0.2168,-0.8432,-0.9292
0.7096,-0.3239,-0.557
-0.633,0.7073,-0.5022
-0.3506,-0.182,1.3062
-0.8038,0.6631,-1.3092
-2.429,-1.6479,-0.3143
1.1248,-0.5144,0.5223
-0.4359,-2.0215,-0.6825
-0.2926,1.2995,-0.593
-0.1789,-0.3382,0.146
0.8771,0.1826,-0.3988
-1.3629,-0.5695,0.6037
-0.8295,-0.2186,0.1395
0.4622,1.2144,-1.2335
-1.2597,-1.263,-1.4308
-0.7577,2.9093,-1.6684
1.4113,2.0793,-1.5083
-0.0996,0.4671,-0.5581
-0.357,0.3111,0.5445
-1.3187,0.4363,-0.3051
-0.9356,-1.4725,-0.807
-1.8868,-1.9688,-1.9323
-2.5959,0.1336,-1.5662
1.2027,0.7464,-0.8708
0.3531,0.244,1.095
0.1619,0.4896,0.4193
-0.8516,-0.8999,-0.0222
0.667,0.0599,-1.2786
-0.5728,0.5005,0.521
0.3465,0.8677,-2.6054
-0.0766,0.6418,1.2254
0.1264,-1.2905,1.4337
0.6972,-0.1108,1.51
-0.9578,0.7653,-0.7271
0.4568,-1.2669,-0.7935
-0.315,0.624,1.4366
0.4753,-0.5886,-1.2569
-2.4616,-0.5966,0.5872
-1.8063,0.2825,0.905
2.1013,-0.9755,0.0701
0.334,-0.4414,1.4253
-0.0259,-1.367,-1.2112
-0.5312,1.7285,1.0394
-0.2333,0.6103,-0.5834
1.4306,-1.84,-0.4432
1.7525,-0.3351,0.2244
1.2807,0.8536,-0.9818
-1.2317,1.1287,0.5236
-0.2936,0.9493,0.313
-0.8012,0.3701,0.5706
-2.8052,0.0893,-1.0862
0.3457,-1.5136,-1.1294
0.9972,1.4133,-0.0364
1.0877,1.2184,0.1364
0.4714,-1.6722,-0.9632
0.2259,0.2537,0.2917
0.3459,0.649,-0.7853
1.1224,0.0773,0.8428
0.3901,-1.0423,-0.195
0.7346,-1.1697,0.284
0.8424,-0.8023,0.492
2.0024,-0.6705,-0.5876
0.9646,-0.7287,-0.8833
0.6144,0.8903,-0.8264
-0.4588,-1.4025,0.3032
0.6611,0.3679,0.0541
-0.6851,-1.0699,-0.2271
-0.6538,-0.3336,-1.1724
-1.6561,1.0263,-0.0834
0.8035,0.1551,0.7018
-0.331,1.9141,-0.2825
-0.7387,1.1018,0.4699
-0.82,-2.5807,0.2394
0.995,-0.1195,0.0587
0.3019,-0.3215,-1.0104
-1.3547,-0.0664,-0.2771
0.4927,0.6276,2.3592
-0.7522,0.5069,1.1984
-0.0107,-1.6189,-0.1814
0.0963,-1.5419,0.6001
0.8002,0.7568,-0.7415
-0.3818,0.3312,-1.0059
1.033,-1.2268,1.1117
0.1844,-0.3181,-0.1694
-1.1352,-0.3509,-0.4668
-0.6778,0.4475,-0.2975
-1.2001,-0.4671,0.8089
-0.7253,1.0095,1.5999
0.3616,0.8248,-0.2351
-0.4556,-1.2179,0.2841
-2.1161,0.9157,-0.2198
-0.9076,-0.7666,-1.1651
-1.5191,0.4504,0.0758
-0.978,-1.637,-0.7555
-0.7767,-0.6711,-1.2203
-0.0079,-0.545,0.3952
2.0367,-0.2115,0.0303
-0.1112,-0.3556,-0.2454
-0.6787,1.252,-0.3212
